symbol,asset_class,report_week_ts,release_ts,entry_week_open_ts,entry_ts,exit_ts,direction,at_extreme,cot_index,net_change,net_change_sigma,limit_px,week_open_px,gap_pct,filled_at_open,entry_px,stop_px,exit_px,exit_reason,ret_pct,r_multiple,year,bars_held
ES,Index,1458518400,1458950400,1459116000,1459116000,1459720800,1,False,24.1,59516,1.447,2030.25,2030.25,0.0,True,2030.5,2010.195,2063.75,TIME,1.6375277025363213,1.637527702536321,2016,30
6A,FX,1460332800,1460764800,1460930400,1460973600,1461045600,-1,True,88.94,8277,0.809,0.7702,0.7648,-0.7011,False,0.7701,0.777801,0.777901,STOP,-1.0129853265809567,-1.0129853265809565,2016,6
6A,FX,1460937600,1461369600,1461535200,1461535200,1462140000,-1,True,96.08,8984,0.877,0.7694,0.7692,-0.026,False,0.7693,0.776993,0.7594,TIME,1.2868841804237645,1.2868841804237643,2016,30
6A,FX,1461542400,1461974400,1462140000,1462140000,1462226400,-1,True,100.0,15434,1.484,0.7595,0.7593,-0.0263,False,0.7594,0.766994,0.7670939999999999,STOP,-1.013168290755857,-1.013168290755857,2016,7
ES,Index,1461542400,1461974400,1462140000,1462140000,1462384800,1,False,58.18,67398,1.585,2060.25,2060.75,0.0243,False,2060.5,2039.895,2039.645,STOP,-1.0121329774326628,-1.0121329774326628,2016,18
6E,FX,1462147200,1462579200,1462744800,1462744800,1463148000,1,False,67.87,16048,1.019,1.14135,1.141,-0.0307,True,1.1411,1.129689,1.129589,STOP,-1.008763473841035,-1.0087634738410347,2016,29
6A,FX,1462752000,1463184000,1463349600,1463349600,1463652000,1,True,84.32,-14237,1.425,0.7258,0.7246,-0.1653,True,0.7247,0.717453,0.717353,STOP,-1.013798813302055,-1.013798813302055,2016,22
6A,FX,1463356800,1463788800,1463954400,1463954400,1464559200,-1,False,74.6,-13265,1.304,0.7218,0.7221,0.0416,True,0.722,0.72922,0.7178,TIME,0.5817174515235433,0.5817174515235431,2016,30
6A,FX,1463961600,1464393600,1464559200,1464559200,1464688800,-1,False,56.44,-24769,2.305,0.7183,0.7177,-0.0835,False,0.7182000000000001,0.7253820000000001,0.7254820000000001,STOP,-1.013923698134226,-1.013923698134226,2016,9
6E,FX,1463961600,1464393600,1464559200,1464559200,1464948000,-1,False,63.1,-15308,0.965,1.11175,1.1118,0.0045,True,1.1117,1.122817,1.122917,STOP,-1.008995232526764,-1.008995232526764,2016,27
ES,Index,1463961600,1464393600,1464559200,1464645600,1465164000,1,False,75.67,92275,2.127,2098.5,2100.0,0.0715,False,2098.75,2077.7625,2097.25,TIME,-0.07147111375818939,-0.07147111375818939,2016,24
ES,Index,1464566400,1464998400,1465164000,1465164000,1465380000,-1,False,70.57,-38998,0.899,2097.25,2097.5,0.0119,True,2097.25,2118.2225,2118.4725,STOP,-1.0119203719155967,-1.0119203719155967,2016,16
6A,FX,1465171200,1465603200,1465768800,1465768800,1466013600,-1,False,44.76,-11050,1.05,0.7347,0.7345,-0.0272,False,0.7346,0.741946,0.742046,STOP,-1.0136128505308948,-1.0136128505308946,2016,18
6E,FX,1465171200,1465603200,1465768800,1465768800,1466373600,-1,False,53.33,-29458,1.835,1.12885,1.1285,-0.031,False,1.12875,1.1400375,1.13545,TIME,-0.5935769656700023,-0.5935769656700023,2016,30
ES,Index,1465171200,1465603200,1465768800,1465812000,1466373600,-1,False,53.9,-76189,1.746,2095.75,2089.25,-0.3102,False,2095.5,2116.455,2071.25,TIME,1.1572417084228108,1.1572417084228108,2016,27
ES,Index,1465776000,1466208000,1466373600,1466373600,1466431200,-1,True,86.71,149960,3.107,2059.75,2071.0,0.5462,True,2070.75,2091.4575,2091.7075,STOP,-1.0120729204394534,-1.0120729204394534,2016,5
6A,FX,1465776000,1466208000,1466373600,1466733600,1466733600,1,False,51.38,9030,0.859,0.7365,0.74,0.4752,False,0.7366,0.729234,0.7291340000000001,STOP,-1.0135758892207403,-1.01357588922074,2016,1
ES,Index,1466380800,1466812800,1466978400,1467007200,1467180000,-1,False,72.85,-63375,1.29,2018.25,2013.75,-0.223,False,2018.0,2038.18,2038.43,STOP,-1.0123885034687843,-1.0123885034687843,2016,13
6E,FX,1467590400,1468022400,1468188000,1468188000,1468490400,-1,False,50.58,-13393,0.908,1.1077,1.10795,0.0226,True,1.10785,1.1189285,1.1190285,STOP,-1.0090264927562378,-1.0090264927562378,2016,22
6E,FX,1468195200,1468627200,1468792800,1468792800,1469397600,-1,False,46.46,-12333,0.833,1.1058,1.10795,0.1944,True,1.10785,1.1189285,1.09965,TIME,0.7401724060116428,0.7401724060116428,2016,30
6A,FX,1468195200,1468627200,1468792800,1468879200,1468908000,1,False,68.24,11313,1.087,0.7551,0.7573,0.2914,False,0.7552,0.747648,0.747548,STOP,-1.0132415254237277,-1.0132415254237277,2016,3
6A,FX,1468800000,1469232000,1469397600,1469397600,1469570400,-1,True,80.86,17215,1.628,0.7454,0.7446,-0.1073,False,0.7453,0.752753,0.752853,STOP,-1.01341741580572,-1.01341741580572,2016,13
ES,Index,1468800000,1469232000,1469397600,1469397600,1470002400,-1,True,92.84,75561,1.547,2167.5,2167.75,0.0115,True,2167.5,2189.175,2174.25,TIME,-0.31141868512110726,-0.31141868512110726,2016,30
