ticker,ts,ann_date,session,est,act,surp
ENPH,2021-02-09 16:00:00-05:00,2021-02-09,amc,0.4,0.51,26.63
ENPH,2021-04-27 16:00:00-04:00,2021-04-27,amc,0.44,0.56,26.59
ENPH,2021-07-27 16:00:00-04:00,2021-07-27,amc,0.42,0.53,25.74
ENPH,2021-10-26 16:00:00-04:00,2021-10-26,amc,0.49,0.6,22.11
ENPH,2022-02-08 16:00:00-05:00,2022-02-08,amc,0.59,0.73,22.84
ENPH,2022-04-26 16:00:00-04:00,2022-04-26,amc,0.69,0.79,15.33
ENPH,2022-07-26 16:00:00-04:00,2022-07-26,amc,0.85,1.07,25.74
ENPH,2022-10-25 16:00:00-04:00,2022-10-25,amc,1.09,1.25,14.54
ENPH,2023-02-07 16:00:00-05:00,2023-02-07,amc,1.26,1.51,19.9
ENPH,2023-04-25 16:00:00-04:00,2023-04-25,amc,1.22,1.37,12.21
ENPH,2023-07-27 16:00:00-04:00,2023-07-27,amc,1.27,1.47,15.95
ENPH,2023-10-26 16:00:00-04:00,2023-10-26,amc,1.0,1.02,1.66
ENPH,2024-02-06 16:00:00-05:00,2024-02-06,amc,0.55,0.54,-2.17
ENPH,2024-04-23 16:00:00-04:00,2024-04-23,amc,0.39,0.35,-10.23
ENPH,2024-07-23 16:00:00-04:00,2024-07-23,amc,0.48,0.43,-9.58
ENPH,2024-10-22 16:00:00-04:00,2024-10-22,amc,0.78,0.65,-16.78
ENPH,2025-02-04 16:00:00-05:00,2025-02-04,amc,0.75,0.94,24.73
ENPH,2025-04-22 16:00:00-04:00,2025-04-22,amc,0.72,0.68,-5.96
ENPH,2025-07-22 16:00:00-04:00,2025-07-22,amc,0.22,0.28,28.82
ENPH,2025-10-28 16:00:00-04:00,2025-10-28,amc,0.25,0.5,96.19
LOW,2022-02-23 06:00:00-05:00,2022-02-23,bmo,1.69,1.78,5.23
LOW,2022-05-18 06:00:00-04:00,2022-05-18,bmo,3.23,3.51,8.67
LOW,2022-08-17 06:00:00-04:00,2022-08-17,bmo,4.59,4.67,1.73
LOW,2022-11-16 06:00:00-05:00,2022-11-16,bmo,3.09,3.27,5.74
LOW,2023-03-01 06:00:00-05:00,2023-03-01,bmo,2.21,2.28,2.94
LOW,2023-05-23 06:00:00-04:00,2023-05-23,bmo,3.45,3.67,6.51
LOW,2023-08-22 06:00:00-04:00,2023-08-22,bmo,4.48,4.56,1.79
LOW,2023-11-21 06:00:00-05:00,2023-11-21,bmo,3.03,3.06,0.94
LOW,2024-02-27 06:00:00-05:00,2024-02-27,bmo,1.68,1.77,5.25
LOW,2024-05-21 06:00:00-04:00,2024-05-21,bmo,2.95,3.06,3.64
LOW,2024-08-20 06:00:00-04:00,2024-08-20,bmo,4.0,4.1,2.58
LOW,2024-11-19 06:00:00-05:00,2024-11-19,bmo,2.81,2.89,2.77
LOW,2025-02-26 06:00:00-05:00,2025-02-26,bmo,1.84,1.93,4.84
LOW,2025-05-21 06:00:00-04:00,2025-05-21,bmo,2.88,2.92,1.4
LOW,2025-08-20 06:00:00-04:00,2025-08-20,bmo,4.24,4.33,2.18
ALB,2021-02-17 16:00:00-05:00,2021-02-17,amc,1.12,1.17,4.47
ALB,2021-05-05 16:00:00-04:00,2021-05-05,amc,0.8,1.1,38.01
ALB,2021-08-04 16:00:00-04:00,2021-08-04,amc,0.83,0.89,6.79
ALB,2021-11-03 16:00:00-04:00,2021-11-03,amc,0.77,1.05,37.09
ALB,2022-02-16 16:00:00-05:00,2022-02-16,amc,0.99,1.01,1.85
ALB,2022-05-04 16:00:00-04:00,2022-05-04,amc,1.65,2.38,43.87
ALB,2022-08-03 16:00:00-04:00,2022-08-03,amc,3.25,3.45,6.02
ALB,2022-11-02 16:00:00-04:00,2022-11-02,amc,6.99,7.5,7.29
ALB,2023-02-15 16:00:00-05:00,2023-02-15,amc,8.37,8.62,3.02
ALB,2023-05-03 16:00:00-04:00,2023-05-03,amc,7.04,10.32,46.59
ALB,2023-08-02 16:00:00-04:00,2023-08-02,amc,4.52,7.33,62.22
ALB,2023-11-01 16:00:00-04:00,2023-11-01,amc,3.74,2.74,-26.71
ALB,2024-02-14 16:00:00-05:00,2024-02-14,amc,1.11,1.85,66.72
ALB,2024-05-01 16:00:00-04:00,2024-05-01,amc,0.23,0.26,11.7
ALB,2024-07-31 16:00:00-04:00,2024-07-31,amc,0.46,0.04,-91.27
ALB,2024-11-06 16:00:00-05:00,2024-11-06,amc,-4.94,-9.45,-91.3
ALB,2025-02-12 16:00:00-05:00,2025-02-12,amc,-0.67,-1.09,-63.0
ALB,2025-04-30 16:00:00-04:00,2025-04-30,amc,-0.68,-0.18,73.52
ALB,2025-07-30 16:00:00-04:00,2025-07-30,amc,-0.81,0.11,113.51
ALB,2025-11-05 16:00:00-05:00,2025-11-05,amc,-1.0,-1.72,-71.43
D,2021-02-12 07:00:00-05:00,2021-02-12,bmo,0.81,0.81,-0.47
