n,win_rate,avg_r,pf,sum_r,max_dd_pct,cagr_pct,final_equity,ret_dd,sharpe,max_loss_streak,avg_hold_days,cell
397,0.426,0.267,1.47,105.8,22.04,12.39,167881.0,3.08,1.31,15,46.4,HL-0.5A|2R
397,0.378,0.457,1.75,181.6,23.27,22.2,243365.0,6.16,1.75,17,62.7,HL-0.5A|3R
397,0.348,0.586,1.91,232.8,22.15,29.24,311942.0,9.57,1.89,17,75.3,HL-0.5A|4R
397,0.426,0.267,1.47,106.1,19.67,12.43,168144.0,3.46,1.31,16,36.8,HL|2R
397,0.335,0.301,1.45,119.4,25.52,13.97,178587.0,3.08,1.17,19,48.7,HL|3R
397,0.315,0.482,1.71,191.5,20.97,23.38,253942.0,7.34,1.56,21,59.9,HL|4R
397,0.355,0.065,1.1,26.0,15.97,2.74,112726.0,0.8,0.33,11,5.5,E-1.0A|2R
397,0.297,0.189,1.27,75.0,20.85,8.41,143098.0,2.07,0.75,15,7.5,E-1.0A|3R
397,0.262,0.304,1.41,120.7,24.41,13.96,178503.0,3.22,1.0,33,9.7,E-1.0A|4R
397,0.393,0.179,1.29,71.0,17.95,8.07,141090.0,2.29,0.88,14,11.8,E-1.5A|2R
397,0.315,0.255,1.37,101.1,23.56,11.64,162972.0,2.67,0.99,15,17.1,E-1.5A|3R
397,0.277,0.378,1.52,150.1,25.51,17.77,206580.0,4.18,1.22,25,20.8,E-1.5A|4R
397,0.577,0.246,1.59,97.8,15.12,11.47,161867.0,4.09,1.48,10,49.0,HL-0.5A|3R|partial
