instrument,ts,side,fcode,r,bars,reason,klass
USDJPY,2013-01-30 10:00:00+00:00,long,1,-1.0653777549711319,4,SL,fx_major
NZDJPY,2013-01-31 02:00:00+00:00,long,2,2.48089496855346,5,TP,fx_cross
AUDCHF,2013-01-31 06:00:00+00:00,short,4,2.461538218682114,6,TP,fx_cross
AUDJPY,2013-01-31 06:00:00+00:00,short,3,-1.018178144471072,3,SL,fx_cross
EURAUD,2013-01-31 06:00:00+00:00,long,1,-1.0643612174680201,3,SL,fx_cross
AUDUSD,2013-01-31 06:00:00+00:00,short,4,-1.0600046913580208,2,SL,fx_major
EURGBP,2013-01-31 06:00:00+00:00,long,2,2.47565633688483,8,TP,fx_cross
GBPAUD,2013-01-31 10:00:00+00:00,long,1,2.4537888060919237,4,TP,fx_cross
NQ,2013-01-31 11:00:00+00:00,short,3,2.472331338582677,1,TP,indices
YM,2013-01-31 11:00:00+00:00,short,4,2.4650267716535432,2,TP,indices
GBPUSD,2013-01-31 14:00:00+00:00,short,3,-1.0906916274309062,0,SAME_BAR_SL,fx_major
CL,2013-01-31 15:00:00+00:00,short,4,2.478001126760563,5,TP,commodities
ES,2013-01-31 15:00:00+00:00,long,2,2.475143896103896,6,TP,indices
EURCAD,2013-01-31 22:00:00+00:00,short,4,-1.094960199750327,2,SL,fx_cross
NZDUSD,2013-02-01 02:00:00+00:00,long,1,-1.0161446011322697,27,SL,fx_major
GBPUSD,2013-02-01 06:00:00+00:00,long,1,-1.0292730549595646,2,SL,fx_major
GBPJPY,2013-02-01 10:00:00+00:00,long,1,-1.041056515609265,1,SL,fx_cross
GBPCAD,2013-02-01 10:00:00+00:00,long,2,-1.0694301060070663,1,SL,fx_cross
NZDCHF,2013-02-01 10:00:00+00:00,short,3,-1.0175850607370807,3,SL,fx_cross
EURNZD,2013-02-01 10:00:00+00:00,long,2,-1.0244238265786993,1,SL,fx_cross
NQ,2013-02-01 11:00:00+00:00,short,3,-1.027668661417323,1,SL,indices
EURCAD,2013-02-01 14:00:00+00:00,long,1,-1.0738227740058224,4,SL,fx_cross
CADCHF,2013-02-01 18:00:00+00:00,short,3,-1.03660736275565,4,SL,fx_cross
AUDCHF,2013-02-03 22:00:00+00:00,short,3,-1.0178700185591363,50,SL,fx_cross
USDCHF,2013-02-04 06:00:00+00:00,short,3,-1.0784254349499651,1,SL,fx_major
EURUSD,2013-02-04 06:00:00+00:00,long,1,-1.1001732718893977,1,SL,fx_major
CL,2013-02-04 07:00:00+00:00,long,2,-1.0080446511627907,1,SL,commodities
EURCAD,2013-02-04 10:00:00+00:00,long,2,-1.0916555932203398,0,SAME_BAR_SL,fx_cross
GBPJPY,2013-02-04 10:00:00+00:00,long,2,-1.0163882551143202,48,SL,fx_cross
EURAUD,2013-02-04 10:00:00+00:00,long,2,-1.0388905970149265,0,SAME_BAR_SL,fx_cross
ES,2013-02-04 11:00:00+00:00,long,1,-1.0336561403508773,1,SL,indices
YM,2013-02-04 11:00:00+00:00,long,1,-1.0434823529411765,0,SAME_BAR_SL,indices
EURGBP,2013-02-04 18:00:00+00:00,long,1,-1.1115452436194944,0,SAME_BAR_SL,fx_cross
USDJPY,2013-02-04 18:00:00+00:00,long,1,2.476702787550744,6,TP,fx_major
EURUSD,2013-02-04 22:00:00+00:00,long,1,-1.1326875504828744,2,SL,fx_major
GBPAUD,2013-02-05 06:00:00+00:00,long,1,-1.0312952690956172,2,SL,fx_cross
AUDNZD,2013-02-05 06:00:00+00:00,long,1,-1.0480276399026769,2,SL,fx_cross
ES,2013-02-05 11:00:00+00:00,short,4,-1.0118538271604938,2,SL,indices
EURNZD,2013-02-05 14:00:00+00:00,long,2,-1.0170718498151132,30,SL,fx_cross
NQ,2013-02-05 15:00:00+00:00,short,4,-1.015489691629956,17,SL,indices
