instrument,ts,side,fcode,r,bars,reason,klass
EURGBP,2013-02-04 18:00:00+00:00,long,1,-1.1115452436194944,0,SAME_BAR_SL,fx_cross
GBPNZD,2013-02-07 10:00:00+00:00,short,4,-1.0235776157459184,7,SL,fx_cross
NZDUSD,2013-02-07 14:00:00+00:00,long,2,2.469517620137299,18,TP,fx_major
NZDJPY,2013-02-07 14:00:00+00:00,long,2,-1.0171031916976696,4,SL,fx_cross
CADCHF,2013-02-07 14:00:00+00:00,short,3,-1.08906516853932,1,SL,fx_cross
CHFJPY,2013-02-07 14:00:00+00:00,long,2,-1.0145070731707315,4,SL,fx_cross
GBPCAD,2013-02-08 10:00:00+00:00,short,3,2.3988710756972065,1,TP,fx_cross
GBPNZD,2013-02-11 02:00:00+00:00,short,3,2.4694530955120833,3,TP,fx_cross
EURAUD,2013-02-14 10:00:00+00:00,long,2,-1.0284621766561513,33,SL,fx_cross
CL,2013-02-14 11:00:00+00:00,short,3,2.490463608562691,24,TP,commodities
YM,2013-02-27 15:00:00+00:00,short,3,-1.0240017112299464,1,SL,indices
ES,2013-02-28 11:00:00+00:00,short,3,2.4799488659793814,6,TP,indices
NQ,2013-03-01 07:00:00+00:00,short,3,-1.0083116587677725,12,SL,indices
ES,2013-03-01 15:00:00+00:00,short,3,-1.0109595480225988,7,SL,indices
NZDCAD,2013-03-06 14:00:00+00:00,short,3,2.470887462144156,11,TP,fx_cross
CADJPY,2013-03-07 10:00:00+00:00,short,4,-1.031469012875536,1,SL,fx_cross
CHFJPY,2013-03-08 06:00:00+00:00,short,3,-1.0175105562422742,10,SL,fx_cross
EURGBP,2013-03-12 09:00:00+00:00,short,3,-1.0845909766637931,0,SAME_BAR_SL,fx_cross
AUDNZD,2013-03-12 21:00:00+00:00,short,3,-1.048244953560373,5,SL,fx_cross
GBPUSD,2013-03-15 05:00:00+00:00,short,3,-1.1845099455930308,1,SL,fx_major
