instrument,ts,side,fcode,r,bars,reason,klass
NQ,2015-08-24 18:00:00+00:00,long,1,2.498376052385407,258,TP,indices
ES,2016-03-04 15:00:00+00:00,short,3,2.488451171171171,24,TP,indices
YM,2016-06-03 18:00:00+00:00,short,3,-1.0375115789473683,4,SL,indices
EURUSD,2016-06-06 13:00:00+00:00,short,4,2.4699893308199816,26,TP,fx_major
GBPJPY,2016-06-20 13:00:00+00:00,short,4,2.4623859317585275,1,TP,fx_cross
USDCHF,2016-06-24 17:00:00+00:00,short,3,-1.016672372491959,5,SL,fx_major
NZDCAD,2016-07-15 09:00:00+00:00,long,2,-1.026604261026566,3,SL,fx_cross
AUDCAD,2016-08-15 09:00:00+00:00,long,2,-1.0162418032786886,12,SL,fx_cross
GBPAUD,2016-09-19 05:00:00+00:00,long,2,-1.0490490283400793,2,SL,fx_cross
AUDNZD,2016-09-22 21:00:00+00:00,short,4,-1.1065168784028843,1,SL,fx_cross
AUDNZD,2016-09-23 17:00:00+00:00,short,4,2.4184416309606145,5,TP,fx_cross
PL,2016-11-10 11:00:00+00:00,long,2,-1.0055421754385965,0,SAME_BAR_SL,metals
PL,2016-11-10 23:00:00+00:00,long,1,-1.0098702222222222,3,SL,metals
EURGBP,2016-11-11 06:00:00+00:00,long,1,-1.0181875018754685,0,SAME_BAR_SL,fx_cross
EURGBP,2016-11-11 10:00:00+00:00,long,2,2.46208245959795,11,TP,fx_cross
AUDCAD,2017-01-19 10:00:00+00:00,short,3,-1.0580697160557553,2,SL,fx_cross
USDCAD,2017-01-19 10:00:00+00:00,short,3,-1.0676927694406584,0,SAME_BAR_SL,fx_major
AUDNZD,2017-02-02 14:00:00+00:00,short,4,2.4491165397923846,15,TP,fx_cross
NZDCAD,2017-02-09 18:00:00+00:00,long,2,-1.0436705006206044,4,SL,fx_cross
EURCHF,2017-03-13 05:00:00+00:00,short,3,-1.0151227958062905,242,SL,fx_cross
GBPCAD,2017-03-30 05:00:00+00:00,long,2,2.4748531741725452,28,TP,fx_cross
GBPCHF,2017-03-31 09:00:00+00:00,short,3,-1.0491893596059103,1,SL,fx_cross
EURGBP,2017-03-31 09:00:00+00:00,long,2,-1.0548995535203196,1,SL,fx_cross
EURJPY,2017-04-25 13:00:00+00:00,short,3,-1.062665340699815,2,SL,fx_cross
USDCHF,2017-05-09 09:00:00+00:00,short,3,-1.0624401556420198,0,SAME_BAR_SL,fx_major
USDCHF,2017-05-09 13:00:00+00:00,short,4,-1.0406232155731774,11,SL,fx_major
CADJPY,2017-05-17 17:00:00+00:00,long,1,-1.0325108129215463,0,SAME_BAR_SL,fx_cross
NQ,2017-06-12 10:00:00+00:00,long,2,-1.0257043971631206,0,SAME_BAR_SL,indices
CADCHF,2017-06-13 05:00:00+00:00,short,4,-1.0645219889502764,2,SL,fx_cross
USDCAD,2017-06-13 09:00:00+00:00,long,2,-1.0542855888807632,1,SL,fx_major
EURCAD,2017-06-13 09:00:00+00:00,long,2,-1.0769178908418116,1,SL,fx_cross
CADCHF,2017-06-14 09:00:00+00:00,short,3,-1.0508928138528117,12,SL,fx_cross
EURNZD,2017-06-28 13:00:00+00:00,short,3,-1.01815746982938,7,SL,fx_cross
EURUSD,2017-06-28 13:00:00+00:00,short,3,-1.0248772100313468,3,SL,fx_major
EURCAD,2017-08-29 13:00:00+00:00,short,4,2.4063500998890026,1,TP,fx_cross
GBPCHF,2017-10-23 17:00:00+00:00,short,4,-1.059138224564243,9,SL,fx_cross
GBPCAD,2017-11-03 09:00:00+00:00,long,2,2.4652583172002993,13,TP,fx_cross
GBPJPY,2017-11-30 06:00:00+00:00,short,4,-1.040581476510067,2,SL,fx_cross
CADJPY,2017-12-04 10:00:00+00:00,short,3,2.4510957100881496,9,TP,fx_cross
EURCAD,2017-12-04 10:00:00+00:00,long,1,-1.0637302043906134,0,SAME_BAR_SL,fx_cross
AUDJPY,2018-02-06 02:00:00+00:00,long,2,-1.1003000000000003,0,SAME_BAR_SL,fx_cross
EURAUD,2018-03-16 13:00:00+00:00,short,3,-1.0274735723114958,4,SL,fx_cross
NKD,2018-03-29 10:00:00+00:00,short,3,-1.0157094252873564,1,SL,indices
NZDCHF,2018-04-04 21:00:00+00:00,short,4,2.459986049822063,10,TP,fx_cross
AUDJPY,2018-05-11 01:00:00+00:00,short,3,-1.0830552517985552,2,SL,fx_cross
AUDNZD,2018-05-11 05:00:00+00:00,short,3,-1.0724965550239338,4,SL,fx_cross
EURCHF,2018-05-16 05:00:00+00:00,long,1,-1.1651832418952224,1,SL,fx_cross
EURJPY,2018-05-24 09:00:00+00:00,long,2,-1.0321634347048319,1,SL,fx_cross
GBPJPY,2018-05-24 13:00:00+00:00,long,2,-1.019996632403329,15,SL,fx_cross
NZDCAD,2018-06-28 09:00:00+00:00,long,2,-1.1057564705882332,1,SL,fx_cross
EURJPY,2018-08-13 01:00:00+00:00,long,2,2.4663318120805373,3,TP,fx_cross
GBPCAD,2018-08-22 09:00:00+00:00,short,3,-1.1334180169971826,0,SAME_BAR_SL,fx_cross
EURAUD,2018-08-23 13:00:00+00:00,short,3,-1.051982750582749,22,SL,fx_cross
GBPCHF,2018-09-11 05:00:00+00:00,short,4,2.457052956050572,1,TP,fx_cross
EURAUD,2018-09-13 05:00:00+00:00,long,2,2.4564763479096587,16,TP,fx_cross
EURGBP,2018-09-24 13:00:00+00:00,short,3,2.4480173913043513,12,TP,fx_cross
EURCAD,2018-10-01 13:00:00+00:00,long,2,-1.0484109557109593,4,SL,fx_cross
ES,2018-10-08 18:00:00+00:00,short,4,-1.0315842735042735,5,SL,indices
GBPCHF,2018-11-01 13:00:00+00:00,short,3,-1.0408998090960138,8,SL,fx_cross
AUDUSD,2018-11-02 01:00:00+00:00,short,3,-1.072010818505333,0,SAME_BAR_SL,fx_major
AUDUSD,2018-11-02 09:00:00+00:00,short,3,-1.013812698844324,61,SL,fx_major
NZDCHF,2019-02-07 22:00:00+00:00,long,1,2.446462096317281,6,TP,fx_cross
PL,2019-03-28 06:00:00+00:00,short,3,-1.005488792079208,29,SL,metals
PA,2019-03-28 06:00:00+00:00,long,1,-1.009295,0,SAME_BAR_SL,metals
PA,2019-03-28 14:00:00+00:00,long,2,-1.0080283428571428,0,SAME_BAR_SL,metals
HG,2019-03-29 06:00:00+00:00,short,4,-1.0137623703703706,0,SAME_BAR_SL,metals
CL,2019-04-26 06:00:00+00:00,long,1,-1.0306101492537305,0,SAME_BAR_SL,commodities
NG,2019-04-26 10:00:00+00:00,short,4,-1.0132593548387099,0,SAME_BAR_SL,commodities
NZDCAD,2019-05-24 09:00:00+00:00,short,3,-1.0499990263691674,14,SL,fx_cross
USDCHF,2019-08-05 05:00:00+00:00,long,1,-1.0645976859504167,1,SL,fx_major
EURCAD,2019-08-05 17:00:00+00:00,short,4,-1.0996469795427217,0,SAME_BAR_SL,fx_cross
EURCAD,2019-08-07 01:00:00+00:00,short,3,-1.0675919093851076,3,SL,fx_cross
AUDUSD,2019-09-04 13:00:00+00:00,short,3,-1.2348888888888954,0,SAME_BAR_SL,fx_major
GBPUSD,2019-09-05 05:00:00+00:00,short,4,-1.0979377777777681,1,SL,fx_major
NZDJPY,2019-09-05 09:00:00+00:00,short,3,-1.0610113738019138,1,SL,fx_cross
YM,2019-09-25 18:00:00+00:00,short,3,2.4885272340425533,27,TP,indices
EURGBP,2019-10-11 05:00:00+00:00,long,2,-1.0479335014549,1,SL,fx_cross
GBPCHF,2019-10-11 09:00:00+00:00,short,4,-1.0485937482710936,0,SAME_BAR_SL,fx_cross
GBPUSD,2019-10-11 09:00:00+00:00,short,4,-1.0489941747572775,0,SAME_BAR_SL,fx_major
GBPCAD,2019-10-11 09:00:00+00:00,short,3,2.4624411173184355,3,TP,fx_cross
GBPJPY,2019-10-11 09:00:00+00:00,short,3,-1.0287278300455238,0,SAME_BAR_SL,fx_cross
NG,2019-10-29 10:00:00+00:00,short,3,-1.0102321951219513,0,SAME_BAR_SL,commodities
AUDCHF,2019-11-11 18:00:00+00:00,long,2,-1.0485190839694631,6,SL,fx_cross
AUDNZD,2019-11-14 10:00:00+00:00,long,1,2.408658064516123,2,TP,fx_cross
EURCHF,2019-11-18 14:00:00+00:00,short,3,-1.0458353293413127,4,SL,fx_cross
AUDJPY,2020-01-05 22:00:00+00:00,long,1,-1.0775077264325328,0,SAME_BAR_SL,fx_cross
EURJPY,2020-02-20 06:00:00+00:00,short,3,-1.0859493129770992,0,SAME_BAR_SL,fx_cross
