instrument,ts,side,fcode,r,bars,reason,klass
YM,2013-10-10 10:00:00+00:00,short,3,-1.0346814598540146,0,SAME_BAR_SL,indices
ES,2016-03-04 15:00:00+00:00,short,3,2.488451171171171,24,TP,indices
CHFJPY,2016-04-07 13:00:00+00:00,long,2,-1.0104108839960566,39,SL,fx_cross
AUDCAD,2016-04-17 21:00:00+00:00,short,3,2.4677190136350458,27,TP,fx_cross
GBPNZD,2016-04-25 13:00:00+00:00,short,3,-1.054501384863125,5,SL,fx_cross
GBPNZD,2016-06-01 01:00:00+00:00,long,2,-1.043490475669767,2,SL,fx_cross
USDJPY,2016-06-02 01:00:00+00:00,long,2,-1.0376491245376076,3,SL,fx_major
YM,2016-06-03 18:00:00+00:00,short,3,-1.0375115789473683,4,SL,indices
GBPCAD,2016-06-20 05:00:00+00:00,short,4,-1.0265493158293362,7,SL,fx_cross
GBPJPY,2016-06-20 13:00:00+00:00,short,4,2.4623859317585275,1,TP,fx_cross
GBPJPY,2016-06-21 05:00:00+00:00,short,4,-1.0376140682414725,0,SAME_BAR_SL,fx_cross
AUDJPY,2016-06-23 21:00:00+00:00,short,3,2.4840008285062316,1,TP,fx_cross
DAX,2016-07-11 06:00:00+00:00,short,4,-1.0143733333333333,0,SAME_BAR_SL,indices
EURNZD,2016-07-14 21:00:00+00:00,short,4,-1.03912624943719,1,SL,fx_cross
NZDCAD,2016-07-15 09:00:00+00:00,long,2,-1.026604261026566,3,SL,fx_cross
NZDCHF,2016-07-17 21:00:00+00:00,long,1,-1.0218302935420742,6,SL,fx_cross
NQ,2016-08-09 22:00:00+00:00,long,2,2.4815595180722894,22,TP,indices
AUDCAD,2016-08-15 09:00:00+00:00,long,2,-1.0162418032786886,12,SL,fx_cross
EURAUD,2016-09-06 05:00:00+00:00,long,1,2.4743671332393915,19,TP,fx_cross
AUDCHF,2016-09-13 01:00:00+00:00,long,2,-1.0333584402924445,2,SL,fx_cross
GBPAUD,2016-09-19 01:00:00+00:00,long,2,-1.0490490283400793,3,SL,fx_cross
NZDCAD,2016-09-23 13:00:00+00:00,long,2,-1.0173657440573105,48,SL,fx_cross
NZDCHF,2016-09-23 13:00:00+00:00,long,2,-1.0323710855263166,4,SL,fx_cross
AUDNZD,2016-09-23 17:00:00+00:00,short,4,2.4184416309606145,5,TP,fx_cross
EURNZD,2016-09-25 21:00:00+00:00,short,4,2.470396450187011,8,TP,fx_cross
NG,2016-10-27 14:00:00+00:00,short,4,-1.0072245255474452,8,SL,commodities
DAX,2016-11-01 15:00:00+00:00,long,2,-1.0302832432432432,0,SAME_BAR_SL,indices
DAX,2016-11-02 11:00:00+00:00,long,2,-1.0159294004796162,1,SL,indices
GBPCAD,2016-11-04 09:00:00+00:00,short,4,-1.0627948663101592,1,SL,fx_cross
DAX,2016-11-10 07:00:00+00:00,short,4,2.4897538095238096,52,TP,indices
PL,2016-11-10 11:00:00+00:00,long,2,-1.0055421754385965,0,SAME_BAR_SL,metals
PL,2016-11-10 23:00:00+00:00,long,1,-1.0098702222222222,3,SL,metals
EURGBP,2016-11-11 06:00:00+00:00,long,1,-1.0181875018754685,0,SAME_BAR_SL,fx_cross
EURGBP,2016-11-11 10:00:00+00:00,long,2,2.46208245959795,11,TP,fx_cross
GBPAUD,2016-11-11 14:00:00+00:00,short,3,2.478247821436875,10,TP,fx_cross
EURNZD,2016-12-16 14:00:00+00:00,short,4,-1.0114650814956856,21,SL,fx_cross
EURAUD,2016-12-19 10:00:00+00:00,short,4,-1.0110095532599028,24,SL,fx_cross
AUDCAD,2017-01-19 10:00:00+00:00,short,3,-1.0580697160557553,2,SL,fx_cross
NZDCAD,2017-01-19 22:00:00+00:00,short,3,2.475061992105874,54,TP,fx_cross
EURAUD,2017-01-23 14:00:00+00:00,short,3,-1.0563373493975883,8,SL,fx_cross
AUDNZD,2017-02-02 14:00:00+00:00,short,4,2.4491165397923846,15,TP,fx_cross
NZDCAD,2017-02-09 18:00:00+00:00,long,2,-1.0436705006206044,4,SL,fx_cross
CADJPY,2017-03-22 13:00:00+00:00,long,1,2.4541725024728005,1,TP,fx_cross
GBPCAD,2017-03-30 05:00:00+00:00,long,2,2.4748531741725452,28,TP,fx_cross
EURCAD,2017-03-30 17:00:00+00:00,long,1,-1.0469729716981129,6,SL,fx_cross
CADCHF,2017-04-19 09:00:00+00:00,long,1,-1.0633354878048833,2,SL,fx_cross
EURCAD,2017-04-20 05:00:00+00:00,short,4,-1.070699755671905,0,SAME_BAR_SL,fx_cross
EURGBP,2017-04-25 13:00:00+00:00,short,4,2.463529170806267,12,TP,fx_cross
USDCHF,2017-05-09 09:00:00+00:00,short,3,-1.0624401556420198,0,SAME_BAR_SL,fx_major
USDCHF,2017-05-09 13:00:00+00:00,short,4,-1.0406232155731774,11,SL,fx_major
CADJPY,2017-05-17 17:00:00+00:00,long,1,-1.0325108129215463,0,SAME_BAR_SL,fx_cross
CHFJPY,2017-05-18 09:00:00+00:00,long,2,-1.0640955780933106,0,SAME_BAR_SL,fx_cross
AUDUSD,2017-06-05 17:00:00+00:00,short,4,-1.0344001640016396,5,SL,fx_major
AUDCAD,2017-06-13 09:00:00+00:00,long,1,-1.0554838671293993,0,SAME_BAR_SL,fx_cross
USDCAD,2017-06-14 09:00:00+00:00,long,2,2.3925753711790554,1,TP,fx_major
EURAUD,2017-06-28 13:00:00+00:00,short,4,-1.0223838757198336,35,SL,fx_cross
EURUSD,2017-06-28 13:00:00+00:00,short,3,-1.0248772100313468,3,SL,fx_major
