instrument,ts,side,fcode,r,bars,reason,klass
YM,2016-06-03 18:00:00+00:00,short,3,-1.0375115789473683,4,SL,indices
USDCHF,2016-06-06 13:00:00+00:00,long,1,-1.0864241461477402,0,SAME_BAR_SL,fx_major
NG,2016-10-27 14:00:00+00:00,short,4,-1.0072245255474452,8,SL,commodities
DAX,2016-11-10 07:00:00+00:00,short,4,2.4897538095238096,52,TP,indices
PL,2016-11-10 11:00:00+00:00,long,2,-1.0055421754385965,0,SAME_BAR_SL,metals
GBPAUD,2016-11-11 14:00:00+00:00,short,3,2.478247821436875,10,TP,fx_cross
EURNZD,2016-12-16 14:00:00+00:00,short,4,-1.0114650814956856,21,SL,fx_cross
CADJPY,2017-03-22 13:00:00+00:00,long,1,2.4541725024728005,1,TP,fx_cross
DAX,2017-09-05 14:00:00+00:00,long,1,-1.0237367584097858,0,SAME_BAR_SL,indices
CADJPY,2017-10-18 17:00:00+00:00,short,3,-1.0833056368118335,1,SL,fx_cross
EURCAD,2017-12-04 10:00:00+00:00,long,1,-1.0637302043906134,0,SAME_BAR_SL,fx_cross
DAX,2018-01-16 15:00:00+00:00,long,1,-1.035656371308017,0,SAME_BAR_SL,indices
GBPAUD,2018-01-29 14:00:00+00:00,long,2,2.4357369012223358,5,TP,fx_cross
RTY,2018-02-09 19:00:00+00:00,short,3,-1.0199372151898736,0,SAME_BAR_SL,indices
GBPNZD,2018-06-15 13:00:00+00:00,short,4,-1.0415426268888044,19,SL,fx_cross
CADJPY,2018-07-20 01:00:00+00:00,long,1,-1.0382031909750207,12,SL,fx_cross
DAX,2018-09-10 10:00:00+00:00,short,4,-1.0106530747922438,12,SL,indices
ES,2018-10-08 18:00:00+00:00,short,4,-1.0315842735042735,5,SL,indices
USDCHF,2019-03-18 05:00:00+00:00,long,1,-1.0771205502063261,8,SL,fx_major
NG,2019-04-26 10:00:00+00:00,short,4,-1.0132593548387099,0,SAME_BAR_SL,commodities
GBPCAD,2019-09-13 17:00:00+00:00,short,4,-1.0563419198055881,0,SAME_BAR_SL,fx_cross
AUDCHF,2019-09-19 21:00:00+00:00,long,1,-1.0435390300230953,5,SL,fx_cross
EURCAD,2020-01-23 10:00:00+00:00,short,4,2.447796628352492,5,TP,fx_cross
EURCHF,2020-01-29 14:00:00+00:00,short,4,2.428554387633773,12,TP,fx_cross
NG,2020-03-09 10:00:00+00:00,short,4,-1.0076266666666667,0,SAME_BAR_SL,commodities
ES,2020-03-23 14:00:00+00:00,long,2,2.496965976520811,5,TP,indices
GBPAUD,2020-05-01 05:00:00+00:00,short,4,2.4807402894458175,25,TP,fx_cross
HG,2020-07-22 06:00:00+00:00,long,1,-1.0103448888888888,11,SL,metals
HG,2020-07-30 18:00:00+00:00,short,4,-1.01492736,2,SL,metals
AUDCHF,2021-02-26 10:00:00+00:00,long,1,-1.0641709090909097,0,SAME_BAR_SL,fx_cross
AUDCAD,2021-02-26 14:00:00+00:00,long,1,2.4523109643788024,11,TP,fx_cross
AUDUSD,2021-02-26 14:00:00+00:00,long,2,-1.103769208633088,0,SAME_BAR_SL,fx_major
ES,2021-10-05 14:00:00+00:00,short,4,-1.0137854726368158,0,SAME_BAR_SL,indices
EURGBP,2022-02-04 06:00:00+00:00,short,3,-1.0464877165354314,1,SL,fx_cross
PL,2022-04-26 14:00:00+00:00,short,3,-1.0057173333333334,5,SL,metals
EURCHF,2022-05-19 05:00:00+00:00,long,2,-1.0727015075376907,0,SAME_BAR_SL,fx_cross
EURJPY,2022-12-20 14:00:00+00:00,long,2,-1.0276414104372364,0,SAME_BAR_SL,fx_cross
NKD,2023-07-03 22:00:00+00:00,long,1,-1.024680459770115,0,SAME_BAR_SL,indices
AUDCAD,2023-07-13 13:00:00+00:00,short,4,2.4449813680781753,11,TP,fx_cross
AUDJPY,2023-09-18 01:00:00+00:00,long,1,2.465352916666668,15,TP,fx_cross
GBPCHF,2023-10-16 09:00:00+00:00,long,2,-1.0246041025641024,13,SL,fx_cross
GBPAUD,2024-04-16 09:00:00+00:00,short,3,-1.0580981293425988,1,SL,fx_cross
CL,2024-05-27 06:00:00+00:00,short,3,-1.0081344625407165,4,SL,commodities
AUDCHF,2024-08-07 13:00:00+00:00,short,3,2.467276622039134,1,TP,fx_cross
PL,2024-09-09 06:00:00+00:00,short,3,-1.004489552238806,14,SL,metals
NG,2024-10-29 22:00:00+00:00,short,3,2.4982982084095062,18,TP,commodities
GBPCAD,2024-12-20 14:00:00+00:00,long,2,-1.043555233160622,41,SL,fx_cross
GBPCHF,2024-12-20 14:00:00+00:00,long,2,2.473043603603604,29,TP,fx_cross
GBPAUD,2025-01-27 10:00:00+00:00,short,4,-1.0914347368421073,1,SL,fx_cross
ES,2025-06-16 02:00:00+00:00,short,3,-1.0413552941176472,1,SL,indices
AUDCHF,2025-09-14 21:00:00+00:00,long,1,-1.0306713043478253,10,SL,fx_cross
ES,2025-11-05 11:00:00+00:00,short,3,2.490010275229358,13,TP,indices
CADCHF,2025-11-14 06:00:00+00:00,long,2,2.47952856586632,19,TP,fx_cross
ES,2025-12-16 11:00:00+00:00,short,3,2.483732546125461,7,TP,indices
