instrument,ts,side,fcode,r,bars,reason,klass
YM,2016-06-03 18:00:00+00:00,short,3,-1.0375115789473683,4,SL,indices
NG,2016-10-27 14:00:00+00:00,short,4,-1.0072245255474452,8,SL,commodities
DAX,2016-11-10 07:00:00+00:00,short,4,2.4897538095238096,52,TP,indices
GBPAUD,2016-11-11 14:00:00+00:00,short,3,2.478247821436875,10,TP,fx_cross
EURNZD,2016-12-16 14:00:00+00:00,short,4,-1.0114650814956856,21,SL,fx_cross
CADJPY,2017-03-22 13:00:00+00:00,long,1,2.4541725024728005,1,TP,fx_cross
RTY,2018-02-09 19:00:00+00:00,short,3,-1.0199372151898736,0,SAME_BAR_SL,indices
GBPNZD,2018-06-15 13:00:00+00:00,short,4,-1.0415426268888044,19,SL,fx_cross
EURCAD,2020-01-23 10:00:00+00:00,short,4,2.447796628352492,5,TP,fx_cross
NG,2020-03-09 10:00:00+00:00,short,4,-1.0076266666666667,0,SAME_BAR_SL,commodities
ES,2020-03-23 14:00:00+00:00,long,2,2.496965976520811,5,TP,indices
AUDUSD,2021-02-26 14:00:00+00:00,long,2,-1.103769208633088,0,SAME_BAR_SL,fx_major
AUDCAD,2021-02-26 14:00:00+00:00,long,1,2.4523109643788024,11,TP,fx_cross
AUDCAD,2023-07-13 13:00:00+00:00,short,4,2.4449813680781753,11,TP,fx_cross
GBPCHF,2023-10-16 09:00:00+00:00,long,2,-1.0246041025641024,13,SL,fx_cross
GBPAUD,2024-04-16 09:00:00+00:00,short,3,-1.0580981293425988,1,SL,fx_cross
AUDCHF,2024-08-07 13:00:00+00:00,short,3,2.467276622039134,1,TP,fx_cross
GBPAUD,2025-01-27 10:00:00+00:00,short,4,-1.0914347368421073,1,SL,fx_cross
ES,2025-06-16 02:00:00+00:00,short,3,-1.0413552941176472,1,SL,indices
CADCHF,2025-11-14 06:00:00+00:00,long,2,2.47952856586632,19,TP,fx_cross
ES,2025-12-16 11:00:00+00:00,short,3,2.483732546125461,7,TP,indices
