instrument,ts,side,fcode,r,bars,reason,klass
YM,2016-06-03 18:00:00+00:00,short,3,-1.0375115789473683,4,SL,indices
GBPAUD,2016-11-11 14:00:00+00:00,short,3,2.478247821436875,10,TP,fx_cross
RTY,2018-02-09 19:00:00+00:00,short,3,-1.0199372151898736,0,SAME_BAR_SL,indices
ES,2020-03-23 14:00:00+00:00,long,2,2.496965976520811,5,TP,indices
AUDUSD,2021-02-26 14:00:00+00:00,long,2,-1.103769208633088,0,SAME_BAR_SL,fx_major
GBPCHF,2023-10-16 09:00:00+00:00,long,2,-1.0246041025641024,13,SL,fx_cross
GBPAUD,2024-04-16 09:00:00+00:00,short,3,-1.0580981293425988,1,SL,fx_cross
AUDCHF,2024-08-07 13:00:00+00:00,short,3,2.467276622039134,1,TP,fx_cross
ES,2025-06-16 02:00:00+00:00,short,3,-1.0413552941176472,1,SL,indices
CADCHF,2025-11-14 06:00:00+00:00,long,2,2.47952856586632,19,TP,fx_cross
ES,2025-12-16 11:00:00+00:00,short,3,2.483732546125461,7,TP,indices
