instrument,ts,side,fcode,r,bars,reason,klass
GBPAUD,2013-05-22 00:00:00+00:00,short,3,-1.0158522763265676,2,SL,fx_cross
USDCAD,2013-05-23 00:00:00+00:00,long,1,-1.0143732402791623,13,SL,fx_major
AUDUSD,2013-05-23 00:00:00+00:00,short,4,2.4902293706293706,16,TP,fx_major
USDJPY,2013-05-23 00:00:00+00:00,long,1,-1.009443528258739,0,SAME_BAR_SL,fx_major
USDCHF,2013-05-23 00:00:00+00:00,long,1,-1.0137496819787986,1,SL,fx_major
NZDUSD,2013-05-23 00:00:00+00:00,short,3,2.4872093926216863,12,TP,fx_major
EURCHF,2013-05-24 00:00:00+00:00,short,3,2.4881893351287663,239,TP,fx_cross
YM,2013-05-24 00:00:00+00:00,short,3,2.495636934046346,26,TP,indices
NQ,2013-05-28 00:00:00+00:00,short,3,2.4943333724340175,8,TP,indices
AUDCHF,2013-05-28 00:00:00+00:00,short,4,2.492969916427091,8,TP,fx_cross
AUDJPY,2013-05-28 00:00:00+00:00,short,4,2.4943270312579937,8,TP,fx_cross
USDJPY,2013-05-28 00:00:00+00:00,short,3,2.4905604216073782,8,TP,fx_major
ES,2013-05-28 00:00:00+00:00,short,3,2.4955407966457024,20,TP,indices
GBPCHF,2013-05-28 00:00:00+00:00,short,4,2.4822143709468225,12,TP,fx_cross
NZDCHF,2013-05-28 00:00:00+00:00,short,3,2.4874036311814165,3,TP,fx_cross
CL,2013-05-30 00:00:00+00:00,short,4,-1.0023394831636647,12,SL,commodities
AUDNZD,2013-05-31 00:00:00+00:00,long,2,-1.0122207244785948,16,SL,fx_cross
NZDCAD,2013-06-06 00:00:00+00:00,short,4,-1.0077645600740928,61,SL,fx_cross
EURCAD,2013-06-07 00:00:00+00:00,long,1,-1.0332991705069139,0,SAME_BAR_SL,fx_cross
GBPJPY,2013-06-09 00:00:00+00:00,short,3,-1.0168171765631149,1,SL,fx_cross
CHFJPY,2013-06-09 00:00:00+00:00,short,3,-1.0096307854091358,33,SL,fx_cross
NZDCHF,2013-06-12 00:00:00+00:00,short,4,-1.0093224275362318,1,SL,fx_cross
AUDJPY,2013-06-12 00:00:00+00:00,short,4,2.4922295850529,42,TP,fx_cross
NQ,2013-06-13 00:00:00+00:00,short,3,2.494738614958449,7,TP,indices
NZDCHF,2013-06-14 00:00:00+00:00,long,2,-1.0035311454267775,63,SL,fx_cross
AUDCHF,2013-06-14 00:00:00+00:00,long,2,-1.0051969598992232,4,SL,fx_cross
EURAUD,2013-06-18 00:00:00+00:00,short,3,-1.0083889833128965,1,SL,fx_cross
EURGBP,2013-06-20 00:00:00+00:00,long,1,2.4827860825671535,22,TP,fx_cross
USDCAD,2013-06-20 00:00:00+00:00,short,3,-1.0428026873384995,0,SAME_BAR_SL,fx_major
EURUSD,2013-06-24 00:00:00+00:00,long,1,-1.010641342145399,9,SL,fx_major
CL,2013-06-25 00:00:00+00:00,long,2,2.4975385610347614,9,TP,commodities
GBPNZD,2013-06-26 00:00:00+00:00,long,1,-1.010940484408415,7,SL,fx_cross
GBPUSD,2013-06-27 00:00:00+00:00,long,1,-1.0203024169543993,6,SL,fx_major
EURNZD,2013-06-28 00:00:00+00:00,short,3,-1.0058027315086246,48,SL,fx_cross
EURCAD,2013-06-28 00:00:00+00:00,short,3,-1.0155791523017643,34,SL,fx_cross
AUDCHF,2013-07-05 00:00:00+00:00,long,1,-1.005541722184455,21,SL,fx_cross
GBPCHF,2013-07-05 00:00:00+00:00,short,3,2.4824849473798416,22,TP,fx_cross
EURAUD,2013-07-05 00:00:00+00:00,short,4,-1.0061210530792128,6,SL,fx_cross
CADCHF,2013-07-10 00:00:00+00:00,long,1,-1.0167249305214976,5,SL,fx_cross
GBPCAD,2013-07-10 00:00:00+00:00,short,4,-1.0219103307634916,6,SL,fx_cross
EURUSD,2013-07-10 00:00:00+00:00,short,4,-1.0214515822130292,0,SAME_BAR_SL,fx_major
USDCHF,2013-07-10 00:00:00+00:00,long,1,-1.039117337192475,0,SAME_BAR_SL,fx_major
GBPAUD,2013-07-11 00:00:00+00:00,short,3,-1.0052343614920152,17,SL,fx_cross
NZDJPY,2013-07-12 00:00:00+00:00,short,3,-1.0049064898578413,11,SL,fx_cross
AUDCAD,2013-07-16 00:00:00+00:00,short,3,2.48778955969133,12,TP,fx_cross
CADCHF,2013-07-17 00:00:00+00:00,long,1,-1.0162343343504099,14,SL,fx_cross
EURJPY,2013-07-19 00:00:00+00:00,short,3,-1.009154607964383,53,SL,fx_cross
NQ,2013-07-22 00:00:00+00:00,short,3,-1.0059045317220543,8,SL,indices
USDCAD,2013-07-23 00:00:00+00:00,long,1,2.4893507305344924,111,TP,fx_major
GBPCAD,2013-07-24 00:00:00+00:00,long,1,-1.0137725382453948,6,SL,fx_cross
AUDUSD,2013-07-25 00:00:00+00:00,short,3,2.482801340189086,4,TP,fx_major
EURAUD,2013-07-25 00:00:00+00:00,long,2,2.4903220980285767,5,TP,fx_cross
GBPNZD,2013-07-25 00:00:00+00:00,long,2,2.490047868882991,9,TP,fx_cross
YM,2013-07-28 00:00:00+00:00,short,3,-1.0118791366906474,4,SL,indices
EURUSD,2013-07-31 00:00:00+00:00,short,3,-1.0143733873144398,17,SL,fx_major
GBPCAD,2013-08-01 00:00:00+00:00,short,4,-1.0171040965732088,1,SL,fx_cross
CL,2013-08-01 00:00:00+00:00,short,3,-1.0033633038348082,22,SL,commodities
USDCHF,2013-08-02 00:00:00+00:00,long,1,-1.0122451930977814,5,SL,fx_major
AUDNZD,2013-08-04 00:00:00+00:00,short,4,-1.0315414802065401,0,SAME_BAR_SL,fx_cross
USDJPY,2013-08-05 00:00:00+00:00,long,2,-1.0156615165741925,1,SL,fx_major
GBPCAD,2013-08-07 00:00:00+00:00,short,4,-1.012724209927464,0,SAME_BAR_SL,fx_cross
NZDUSD,2013-08-07 00:00:00+00:00,short,4,-1.0181952039151714,1,SL,fx_major
NQ,2013-08-08 00:00:00+00:00,short,3,2.4796613197969544,3,TP,indices
CADCHF,2013-08-08 00:00:00+00:00,short,4,-1.0151541764080767,3,SL,fx_cross
GBPAUD,2013-08-09 00:00:00+00:00,long,1,2.482534725983237,9,TP,fx_cross
EURCAD,2013-08-15 00:00:00+00:00,long,1,2.478349966063349,4,TP,fx_cross
AUDCHF,2013-08-15 00:00:00+00:00,short,4,2.4854607124450507,4,TP,fx_cross
NQ,2013-08-15 00:00:00+00:00,short,4,-1.0056756695156694,21,SL,indices
GBPCAD,2013-08-20 00:00:00+00:00,short,3,-1.0354407184693475,0,SAME_BAR_SL,fx_cross
EURUSD,2013-08-21 00:00:00+00:00,long,1,-1.0347116825249454,1,SL,fx_major
GBPNZD,2013-08-21 00:00:00+00:00,short,3,-1.0199662155388471,2,SL,fx_cross
CHFJPY,2013-08-22 00:00:00+00:00,short,3,-1.0464704199066852,0,SAME_BAR_SL,fx_cross
USDCHF,2013-08-22 00:00:00+00:00,short,4,-1.02236019874703,6,SL,fx_major
ES,2013-08-22 00:00:00+00:00,short,4,-1.007098181818182,3,SL,indices
CHFJPY,2013-08-27 00:00:00+00:00,long,2,2.493341915846016,76,TP,fx_cross
AUDCAD,2013-08-27 00:00:00+00:00,long,2,-1.014721160066927,1,SL,fx_cross
GBPCHF,2013-08-28 00:00:00+00:00,long,1,2.486457200135916,5,TP,fx_cross
NZDJPY,2013-08-29 00:00:00+00:00,short,3,-1.0084480535327691,3,SL,fx_cross
GBPUSD,2013-08-29 00:00:00+00:00,short,4,-1.017543824982357,6,SL,fx_major
EURUSD,2013-08-29 00:00:00+00:00,long,2,-1.0167511126110922,1,SL,fx_major
CL,2013-08-29 00:00:00+00:00,long,1,-1.0025983902809414,21,SL,commodities
USDCHF,2013-08-30 00:00:00+00:00,short,3,-1.014660460415497,5,SL,fx_major
EURAUD,2013-09-03 00:00:00+00:00,long,2,-1.02292312464749,1,SL,fx_cross
AUDNZD,2013-09-03 00:00:00+00:00,short,3,-1.027189014025539,1,SL,fx_cross
EURGBP,2013-09-03 00:00:00+00:00,long,1,-1.038050112359551,1,SL,fx_cross
AUDCHF,2013-09-04 00:00:00+00:00,short,3,-1.0227537616431812,0,SAME_BAR_SL,fx_cross
EURUSD,2013-09-06 00:00:00+00:00,short,4,-1.0168556863641558,2,SL,fx_major
AUDNZD,2013-09-06 00:00:00+00:00,long,1,-1.026888513119534,4,SL,fx_cross
USDCHF,2013-09-06 00:00:00+00:00,long,1,-1.0434591549295773,2,SL,fx_major
EURCAD,2013-09-06 00:00:00+00:00,long,1,2.478349966063349,11,TP,fx_cross
EURNZD,2013-09-06 00:00:00+00:00,long,2,-1.0077099995844934,6,SL,fx_cross
NZDCHF,2013-09-06 00:00:00+00:00,short,3,-1.0099651640513552,5,SL,fx_cross
USDJPY,2013-09-08 00:00:00+00:00,short,3,-1.0161589911581388,2,SL,fx_major
ES,2013-09-11 00:00:00+00:00,short,4,-1.010166037735849,3,SL,indices
GBPCAD,2013-09-11 00:00:00+00:00,short,3,-1.0196291641663093,6,SL,fx_cross
AUDCAD,2013-09-12 00:00:00+00:00,long,1,2.4840322175732217,19,TP,fx_cross
GBPNZD,2013-09-17 00:00:00+00:00,long,2,-1.011915642845354,2,SL,fx_cross
NZDJPY,2013-09-17 00:00:00+00:00,short,3,-1.0072014714667505,2,SL,fx_cross
GBPCAD,2013-09-19 00:00:00+00:00,long,1,2.481464518727346,10,TP,fx_cross
EURGBP,2013-09-19 00:00:00+00:00,short,4,-1.0219462068965524,2,SL,fx_cross
USDJPY,2013-09-19 00:00:00+00:00,short,3,-1.0376963315217411,0,SAME_BAR_SL,fx_major
CADJPY,2013-09-22 00:00:00+00:00,long,2,-1.0133982712369596,3,SL,fx_cross
