instrument,ts,side,fcode,r,bars,reason,klass
USDCHF,2013-05-23 00:00:00+00:00,long,1,-1.0137496819787986,1,SL,fx_major
USDCAD,2013-05-23 00:00:00+00:00,long,1,-1.0143732402791623,13,SL,fx_major
AUDUSD,2013-05-23 00:00:00+00:00,short,4,2.4902293706293706,16,TP,fx_major
NZDUSD,2013-05-23 00:00:00+00:00,short,3,2.4872093926216863,12,TP,fx_major
EURCHF,2013-05-23 00:00:00+00:00,long,1,-1.0270171605176746,0,SAME_BAR_SL,fx_cross
USDJPY,2013-05-23 00:00:00+00:00,long,1,-1.009443528258739,0,SAME_BAR_SL,fx_major
CADCHF,2013-05-28 00:00:00+00:00,short,3,2.490475437675387,8,TP,fx_cross
NZDCHF,2013-05-28 00:00:00+00:00,short,3,2.492552906671188,7,TP,fx_cross
AUDCHF,2013-05-28 00:00:00+00:00,short,4,2.492969916427091,8,TP,fx_cross
EURCHF,2013-05-28 00:00:00+00:00,short,3,2.4881893351287663,236,TP,fx_cross
AUDJPY,2013-05-28 00:00:00+00:00,short,4,2.4943270312579937,8,TP,fx_cross
GBPCHF,2013-05-28 00:00:00+00:00,short,4,2.488906148744671,54,TP,fx_cross
USDCHF,2013-05-29 00:00:00+00:00,long,2,-1.0153003336160589,1,SL,fx_major
GBPUSD,2013-05-30 00:00:00+00:00,short,3,-1.0159700893781165,3,SL,fx_major
CL,2013-05-30 00:00:00+00:00,short,4,-1.0023394831636647,12,SL,commodities
CHFJPY,2013-05-31 00:00:00+00:00,long,0,-1.0125927102005976,2,SL,fx_cross
GBPAUD,2013-06-03 00:00:00+00:00,long,1,2.4893618906372463,3,TP,fx_cross
NQ,2013-06-04 00:00:00+00:00,short,3,2.495335474452555,15,TP,indices
NZDCAD,2013-06-06 00:00:00+00:00,short,4,-1.0077645600740928,61,SL,fx_cross
EURGBP,2013-06-07 00:00:00+00:00,short,3,-1.0173488040712468,20,SL,fx_cross
ES,2013-06-07 00:00:00+00:00,short,4,2.493813649851632,12,TP,indices
EURCAD,2013-06-07 00:00:00+00:00,long,1,2.48544938547486,14,TP,fx_cross
YM,2013-06-07 00:00:00+00:00,short,4,2.49469649122807,14,TP,indices
CADJPY,2013-06-10 00:00:00+00:00,short,4,2.4849082654768546,1,TP,fx_cross
AUDNZD,2013-06-10 00:00:00+00:00,long,2,-1.0264023659305983,2,SL,fx_cross
GBPJPY,2013-06-11 00:00:00+00:00,long,1,2.4966879765576806,155,TP,fx_cross
CHFJPY,2013-06-11 00:00:00+00:00,long,1,-1.0038480072793448,2,SL,fx_cross
EURJPY,2013-06-11 00:00:00+00:00,long,2,-1.0039035329469843,2,SL,fx_cross
EURNZD,2013-06-12 00:00:00+00:00,long,1,2.488147679734389,7,TP,fx_cross
AUDCAD,2013-06-13 00:00:00+00:00,short,4,2.4846064385866518,5,TP,fx_cross
CHFJPY,2013-06-18 00:00:00+00:00,short,4,-1.0097027998663548,2,SL,fx_cross
EURAUD,2013-06-19 00:00:00+00:00,long,1,2.4945009353344707,59,TP,fx_cross
USDCAD,2013-06-19 00:00:00+00:00,short,3,-1.0108256129457145,2,SL,fx_major
USDCHF,2013-06-19 00:00:00+00:00,short,4,-1.0085245259538236,7,SL,fx_major
GBPCAD,2013-06-20 00:00:00+00:00,short,3,-1.028249242927138,0,SAME_BAR_SL,fx_cross
GBPAUD,2013-06-23 00:00:00+00:00,long,1,-1.0073780947480904,11,SL,fx_cross
EURUSD,2013-06-24 00:00:00+00:00,long,1,-1.0115927399319564,8,SL,fx_major
GBPNZD,2013-06-26 00:00:00+00:00,long,1,-1.010940484408415,7,SL,fx_cross
GBPCAD,2013-06-26 00:00:00+00:00,long,1,-1.0160142535660492,1,SL,fx_cross
GBPUSD,2013-06-26 00:00:00+00:00,long,1,-1.024783028554947,1,SL,fx_major
CADCHF,2013-06-26 00:00:00+00:00,short,4,-1.0122363945578232,7,SL,fx_cross
AUDCHF,2013-06-27 00:00:00+00:00,short,3,-1.0100841769694493,10,SL,fx_cross
EURCAD,2013-06-28 00:00:00+00:00,short,3,-1.0155791523017643,34,SL,fx_cross
EURGBP,2013-07-03 00:00:00+00:00,long,2,2.4811479573291195,6,TP,fx_cross
EURUSD,2013-07-04 00:00:00+00:00,long,1,-1.0151699654414073,1,SL,fx_major
GBPUSD,2013-07-04 00:00:00+00:00,long,2,-1.0235764377442769,1,SL,fx_major
AUDNZD,2013-07-08 00:00:00+00:00,long,2,-1.0315162665383704,3,SL,fx_cross
NZDUSD,2013-07-08 00:00:00+00:00,short,4,-1.007650353646706,2,SL,fx_major
GBPCAD,2013-07-09 00:00:00+00:00,long,2,2.4847838227146815,25,TP,fx_cross
CADCHF,2013-07-09 00:00:00+00:00,short,3,-1.0127648904382471,0,SAME_BAR_SL,fx_cross
CADCHF,2013-07-10 00:00:00+00:00,long,1,-1.0167249305214976,5,SL,fx_cross
YM,2013-07-10 00:00:00+00:00,short,3,-1.0048395256916995,12,SL,indices
GBPAUD,2013-07-10 00:00:00+00:00,short,4,-1.015357796014068,1,SL,fx_cross
USDCHF,2013-07-10 00:00:00+00:00,long,1,-1.039117337192475,0,SAME_BAR_SL,fx_major
EURUSD,2013-07-10 00:00:00+00:00,short,4,-1.0214515822130292,0,SAME_BAR_SL,fx_major
ES,2013-07-10 00:00:00+00:00,short,3,-1.0044243186582809,4,SL,indices
EURNZD,2013-07-11 00:00:00+00:00,short,4,-1.0149067920618475,19,SL,fx_cross
NZDCHF,2013-07-11 00:00:00+00:00,long,1,-1.0124788790116015,19,SL,fx_cross
GBPNZD,2013-07-11 00:00:00+00:00,short,4,-1.0072867045682563,35,SL,fx_cross
GBPAUD,2013-07-12 00:00:00+00:00,short,3,-1.0052343614920152,16,SL,fx_cross
AUDCAD,2013-07-16 00:00:00+00:00,short,3,2.48778955969133,12,TP,fx_cross
AUDJPY,2013-07-16 00:00:00+00:00,short,3,2.4925569964485033,13,TP,fx_cross
EURGBP,2013-07-17 00:00:00+00:00,long,2,-1.0235170111596312,1,SL,fx_cross
AUDUSD,2013-07-17 00:00:00+00:00,long,1,-1.0045503791448325,12,SL,fx_major
USDCHF,2013-07-18 00:00:00+00:00,short,4,2.4854304536706078,11,TP,fx_major
NZDJPY,2013-07-19 00:00:00+00:00,short,4,2.4914371075093507,14,TP,fx_cross
GBPUSD,2013-07-23 00:00:00+00:00,short,4,-1.0122820920621347,14,SL,fx_major
CL,2013-07-23 00:00:00+00:00,long,1,-1.0039045871559633,2,SL,commodities
USDCAD,2013-07-23 00:00:00+00:00,long,1,2.4893507305344924,111,TP,fx_major
CADJPY,2013-07-24 00:00:00+00:00,short,4,2.4922201366353542,12,TP,fx_cross
CL,2013-07-26 00:00:00+00:00,long,1,2.4963911496746203,27,TP,commodities
AUDCHF,2013-07-26 00:00:00+00:00,short,3,2.4884935572228177,4,TP,fx_cross
NZDUSD,2013-07-30 00:00:00+00:00,long,1,-1.0083976915870339,2,SL,fx_major
EURUSD,2013-07-31 00:00:00+00:00,short,3,-1.0176947790022512,17,SL,fx_major
USDCHF,2013-08-01 00:00:00+00:00,short,4,-1.0153521630737645,30,SL,fx_major
EURJPY,2013-08-02 00:00:00+00:00,short,3,2.4760909397278033,3,TP,fx_cross
AUDNZD,2013-08-04 00:00:00+00:00,short,4,-1.0315414802065401,0,SAME_BAR_SL,fx_cross
EURGBP,2013-08-05 00:00:00+00:00,long,2,-1.016384641407307,7,SL,fx_cross
USDJPY,2013-08-05 00:00:00+00:00,long,2,-1.0156615165741925,1,SL,fx_major
EURNZD,2013-08-07 00:00:00+00:00,long,1,-1.0128788062164764,4,SL,fx_cross
ES,2013-08-07 00:00:00+00:00,long,1,-1.0085803174603174,7,SL,indices
CADCHF,2013-08-08 00:00:00+00:00,short,4,-1.0151541764080767,3,SL,fx_cross
NZDCHF,2013-08-08 00:00:00+00:00,short,4,-1.0180457616761236,3,SL,fx_cross
GBPAUD,2013-08-09 00:00:00+00:00,long,1,2.482534725983237,9,TP,fx_cross
EURCAD,2013-08-15 00:00:00+00:00,long,1,2.478349966063349,4,TP,fx_cross
NQ,2013-08-15 00:00:00+00:00,short,4,-1.0056756695156694,21,SL,indices
AUDCAD,2013-08-19 00:00:00+00:00,long,1,-1.012817883149873,1,SL,fx_cross
EURNZD,2013-08-20 00:00:00+00:00,short,4,-1.0177907527293624,0,SAME_BAR_SL,fx_cross
NZDUSD,2013-08-20 00:00:00+00:00,long,2,-1.018535257048093,1,SL,fx_major
AUDCHF,2013-08-20 00:00:00+00:00,long,2,-1.0061836069029113,6,SL,fx_cross
NZDCAD,2013-08-20 00:00:00+00:00,long,1,-1.014394531614106,3,SL,fx_cross
NZDCHF,2013-08-20 00:00:00+00:00,long,1,-1.017482301553969,0,SAME_BAR_SL,fx_cross
GBPCAD,2013-08-20 00:00:00+00:00,short,3,-1.0354407184693475,0,SAME_BAR_SL,fx_cross
EURUSD,2013-08-21 00:00:00+00:00,long,1,-1.0347116825249454,1,SL,fx_major
