instrument,entry_model,variant,side,entry_ts,r,bars_held,reason
EURUSD,LIMIT,M1_fix2R,short,2013-03-28 13:00:00+00:00,-1.0,15,SL
EURUSD,LIMIT,M2_fix3R,short,2013-03-28 13:00:00+00:00,-1.0,15,SL
EURUSD,LIMIT,M3_partial,short,2013-03-28 13:00:00+00:00,0.5,12,STOP_MOVED
EURUSD,LIMIT,M4_chandelier,short,2013-03-28 13:00:00+00:00,0.0,12,STOP_MOVED
EURUSD,LIMIT,M5_mp1,short,2013-03-28 13:00:00+00:00,0.7734184278440109,11,EMA_TRAIL
EURUSD,LIMIT,M6_time10,short,2013-03-28 13:00:00+00:00,-1.0,15,SL
EURUSD,LIMIT,M1_fix2R,short,2013-04-15 09:00:00+00:00,2.0,2,TP
EURUSD,LIMIT,M2_fix3R,short,2013-04-15 09:00:00+00:00,-1.0,6,SL
EURUSD,LIMIT,M3_partial,short,2013-04-15 09:00:00+00:00,0.5,6,STOP_MOVED
EURUSD,LIMIT,M4_chandelier,short,2013-04-15 09:00:00+00:00,0.0,6,STOP_MOVED
EURUSD,LIMIT,M5_mp1,short,2013-04-15 09:00:00+00:00,0.7682774421995313,4,EMA_TRAIL
EURUSD,LIMIT,M6_time10,short,2013-04-15 09:00:00+00:00,2.0,2,TP
EURUSD,LIMIT,M1_fix2R,short,2013-05-16 13:00:00+00:00,2.0,4,TP
EURUSD,LIMIT,M2_fix3R,short,2013-05-16 13:00:00+00:00,3.0,5,TP
EURUSD,LIMIT,M3_partial,short,2013-05-16 13:00:00+00:00,2.0,5,TP
EURUSD,LIMIT,M4_chandelier,short,2013-05-16 13:00:00+00:00,0.6066606165606605,13,STOP_MOVED
EURUSD,LIMIT,M5_mp1,short,2013-05-16 13:00:00+00:00,1.2505064671964714,13,EMA_TRAIL
EURUSD,LIMIT,M6_time10,short,2013-05-16 13:00:00+00:00,2.0,4,TP
EURUSD,LIMIT,M1_fix2R,short,2013-07-09 05:00:00+00:00,2.0,2,TP
EURUSD,LIMIT,M2_fix3R,short,2013-07-09 05:00:00+00:00,3.0,2,TP
EURUSD,LIMIT,M3_partial,short,2013-07-09 05:00:00+00:00,2.0,2,TP
EURUSD,LIMIT,M4_chandelier,short,2013-07-09 05:00:00+00:00,2.212214838955379,8,STOP_MOVED
EURUSD,LIMIT,M5_mp1,short,2013-07-09 05:00:00+00:00,1.7704109704997992,8,EMA_TRAIL
EURUSD,LIMIT,M6_time10,short,2013-07-09 05:00:00+00:00,2.0,2,TP
EURUSD,LIMIT,M1_fix2R,long,2013-08-28 09:00:00+00:00,-1.0,1,SL
EURUSD,LIMIT,M2_fix3R,long,2013-08-28 09:00:00+00:00,-1.0,1,SL
EURUSD,LIMIT,M3_partial,long,2013-08-28 09:00:00+00:00,-1.0,1,SL
EURUSD,LIMIT,M4_chandelier,long,2013-08-28 09:00:00+00:00,-1.0,1,SL
EURUSD,LIMIT,M5_mp1,long,2013-08-28 09:00:00+00:00,-1.0,1,SL
EURUSD,LIMIT,M6_time10,long,2013-08-28 09:00:00+00:00,-1.0,1,SL
EURUSD,LIMIT,M1_fix2R,long,2013-09-29 21:00:00+00:00,2.0,3,TP
EURUSD,LIMIT,M2_fix3R,long,2013-09-29 21:00:00+00:00,3.0,8,TP
EURUSD,LIMIT,M3_partial,long,2013-09-29 21:00:00+00:00,2.0,8,TP
EURUSD,LIMIT,M4_chandelier,long,2013-09-29 21:00:00+00:00,3.1719745222927185,28,STOP_MOVED
EURUSD,LIMIT,M5_mp1,long,2013-09-29 21:00:00+00:00,1.0857801253171,12,EMA_TRAIL
EURUSD,LIMIT,M6_time10,long,2013-09-29 21:00:00+00:00,2.0,3,TP
EURUSD,LIMIT,M1_fix2R,long,2013-10-31 09:00:00+00:00,-1.0,0,SAME_BAR_SL
EURUSD,LIMIT,M2_fix3R,long,2013-10-31 09:00:00+00:00,-1.0,0,SAME_BAR_SL
EURUSD,LIMIT,M3_partial,long,2013-10-31 09:00:00+00:00,-1.0,0,SAME_BAR_SL
EURUSD,LIMIT,M4_chandelier,long,2013-10-31 09:00:00+00:00,-1.0,0,SAME_BAR_SL
EURUSD,LIMIT,M5_mp1,long,2013-10-31 09:00:00+00:00,-1.0,0,SAME_BAR_SL
EURUSD,LIMIT,M6_time10,long,2013-10-31 09:00:00+00:00,-1.0,0,SAME_BAR_SL
EURUSD,LIMIT,M1_fix2R,long,2013-11-01 01:00:00+00:00,-1.0,1,SL
EURUSD,LIMIT,M2_fix3R,long,2013-11-01 01:00:00+00:00,-1.0,1,SL
EURUSD,LIMIT,M3_partial,long,2013-11-01 01:00:00+00:00,-1.0,1,SL
EURUSD,LIMIT,M4_chandelier,long,2013-11-01 01:00:00+00:00,-1.0,1,SL
EURUSD,LIMIT,M5_mp1,long,2013-11-01 01:00:00+00:00,-1.0,1,SL
EURUSD,LIMIT,M6_time10,long,2013-11-01 01:00:00+00:00,-1.0,1,SL
EURUSD,LIMIT,M1_fix2R,long,2013-12-04 10:00:00+00:00,2.0,1,TP
EURUSD,LIMIT,M2_fix3R,long,2013-12-04 10:00:00+00:00,3.0,5,TP
EURUSD,LIMIT,M3_partial,long,2013-12-04 10:00:00+00:00,2.0,5,TP
EURUSD,LIMIT,M4_chandelier,long,2013-12-04 10:00:00+00:00,0.0,6,STOP_MOVED
EURUSD,LIMIT,M5_mp1,long,2013-12-04 10:00:00+00:00,0.5,6,STOP_MOVED
EURUSD,LIMIT,M6_time10,long,2013-12-04 10:00:00+00:00,2.0,1,TP
