signal_id,instrument,week,entry_model,variant,filled,r,reason
EURUSD#0,EURUSD,2013-13,LIMIT,M2_fix3R,1,-1.0469051615008136,SL
EURUSD#0,EURUSD,2013-13,LIMIT,M4_chandelier,1,-0.046905161500813516,STOP_MOVED
EURUSD#0,EURUSD,2013-13,STOP_HIGH,M2_fix3R,0,0.0,NO_FILL
EURUSD#0,EURUSD,2013-13,STOP_HIGH,M4_chandelier,0,0.0,NO_FILL
EURUSD#0,EURUSD,2013-13,STOP_RECLAIM,M2_fix3R,1,-1.0302484973656472,SL
EURUSD#0,EURUSD,2013-13,STOP_RECLAIM,M4_chandelier,1,-1.0302484973656472,SL
EURUSD#0,EURUSD,2013-13,CLOSE_CONFIRM,M2_fix3R,1,-1.0302484973656472,SL
EURUSD#0,EURUSD,2013-13,CLOSE_CONFIRM,M4_chandelier,1,-1.0302484973656472,SL
EURUSD#1,EURUSD,2013-14,LIMIT,M2_fix3R,1,-1.0778879900955562,SAME_BAR_SL
EURUSD#1,EURUSD,2013-14,LIMIT,M4_chandelier,1,-1.0778879900955562,SAME_BAR_SL
EURUSD#1,EURUSD,2013-14,STOP_HIGH,M2_fix3R,0,0.0,NO_FILL
EURUSD#1,EURUSD,2013-14,STOP_HIGH,M4_chandelier,0,0.0,NO_FILL
EURUSD#1,EURUSD,2013-14,STOP_RECLAIM,M2_fix3R,0,0.0,NO_FILL
EURUSD#1,EURUSD,2013-14,STOP_RECLAIM,M4_chandelier,0,0.0,NO_FILL
EURUSD#1,EURUSD,2013-14,CLOSE_CONFIRM,M2_fix3R,0,0.0,NO_FILL
EURUSD#1,EURUSD,2013-14,CLOSE_CONFIRM,M4_chandelier,0,0.0,NO_FILL
EURUSD#2,EURUSD,2013-14,LIMIT,M2_fix3R,1,-1.0657307936093032,SAME_BAR_SL
EURUSD#2,EURUSD,2013-14,LIMIT,M4_chandelier,1,-1.0657307936093032,SAME_BAR_SL
EURUSD#2,EURUSD,2013-14,STOP_HIGH,M2_fix3R,0,0.0,NO_FILL
EURUSD#2,EURUSD,2013-14,STOP_HIGH,M4_chandelier,0,0.0,NO_FILL
