instrument,model,side,bias,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
CL,S5,long,DEFENSIVE,2013-04-05 00:00:00+00:00,2013-04-07 00:00:00+00:00,93.05,92.83,-0.09649122807017489,-0.00048245614035087445,1,SMA50_BREAK,False
CL,S3,long,RISK_ON,2013-05-13 00:00:00+00:00,2013-05-15 00:00:00+00:00,95.46000000000001,93.52785714285714,-1.0,-0.005,2,SL,False
CL,S3,long,RISK_ON,2013-05-21 00:00:00+00:00,2013-05-22 00:00:00+00:00,95.79,94.62678571428572,-1.0,-0.005,1,SL,False
CL,S3,long,RISK_ON,2013-06-30 00:00:00+00:00,2013-07-26 00:00:00+00:00,96.21000000000001,104.64,6.839852398523885,0.034199261992619426,23,EMA_TRAIL,True
CL,S3,long,RISK_ON,2013-07-31 00:00:00+00:00,2013-08-21 00:00:00+00:00,105.57000000000001,103.91,-0.43795345331197827,-0.0021897672665598914,18,SMA50_BREAK,False
CL,S3,long,RISK_ON,2013-08-26 00:00:00+00:00,2013-09-01 00:00:00+00:00,106.5,106.5,0.45158109726037293,0.002257905486301865,5,STOP_AFTER_TP1,True
CL,S3,long,RISK_ON,2013-09-02 00:00:00+00:00,2013-09-16 00:00:00+00:00,106.9,105.91,-0.2629981024667952,-0.001314990512333976,12,SMA50_BREAK,False
CL,S3,long,RISK_ON,2013-12-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,99.36,98.7025,-1.0,-0.005,1,SL,False
CL,S3,long,RISK_ON,2013-12-31 00:00:00+00:00,2014-01-02 00:00:00+00:00,98.69,97.68964285714286,-1.0,-0.005,2,SL,False
CL,S2,long,RISK_ON,2014-02-18 00:00:00+00:00,2014-03-12 00:00:00+00:00,102.15,98.72928571428572,-1.0,-0.005,19,SL,False
CL,S3,long,RISK_ON,2014-04-16 00:00:00+00:00,2014-04-22 00:00:00+00:00,103.29,102.24071428571429,-1.0,-0.005,4,SL,False
CL,S3,long,RISK_ON,2014-05-30 00:00:00+00:00,2014-06-05 00:00:00+00:00,102.9,101.92821428571429,-1.0,-0.005,5,SL,False
CL,S3,long,RISK_ON,2014-06-06 00:00:00+00:00,2014-06-29 00:00:00+00:00,102.79,105.48,1.426149425287341,0.0071307471264367055,19,EMA_TRAIL,True
CL,S3,long,RISK_ON,2014-06-30 00:00:00+00:00,2014-07-02 00:00:00+00:00,105.61,104.06357142857142,-1.0,-0.005,2,SL,False
CL,S3,long,RISK_ON,2015-04-27 00:00:00+00:00,2015-05-19 00:00:00+00:00,56.22,58.48,2.296875000000005,0.011484375000000024,19,EMA_TRAIL,True
CL,S3,long,RISK_ON,2015-05-22 00:00:00+00:00,2015-05-26 00:00:00+00:00,59.94,58.09321428571428,-1.0,-0.005,3,SL,False
CL,S3,long,RISK_ON,2015-06-01 00:00:00+00:00,2015-06-04 00:00:00+00:00,60.160000000000004,58.58035714285714,-1.0,-0.005,3,SL,False
CL,S3,long,RISK_ON,2015-09-18 00:00:00+00:00,2015-10-13 00:00:00+00:00,45.27,46.71,1.4545998952017338,0.00727299947600867,21,EMA_TRAIL,True
CL,S3,long,RISK_ON,2016-03-15 00:00:00+00:00,2016-03-30 00:00:00+00:00,36.96,38.0,0.7976878612716779,0.00398843930635839,12,EMA_TRAIL,True
CL,S3,long,RISK_ON,2016-04-25 00:00:00+00:00,2016-05-09 00:00:00+00:00,43.18,43.18,0.3105579544492425,0.0015527897722462125,12,STOP_AFTER_TP1,True
CL,S3,long,RISK_ON,2016-05-10 00:00:00+00:00,2016-06-10 00:00:00+00:00,44.6,48.88,1.4799940941975485,0.007399970470987742,27,EMA_TRAIL,True
NG,S3,long,RISK_ON,2016-06-22 00:00:00+00:00,2016-06-23 00:00:00+00:00,2.677,2.6171785714285716,-1.0,-0.005,1,SL,False
NG,S3,long,RISK_ON,2016-06-23 00:00:00+00:00,2016-07-11 00:00:00+00:00,2.684,2.711,1.2984721325586346,0.006492360662793173,15,EMA_TRAIL,True
SI,S3,long,RISK_ON,2016-06-27 00:00:00+00:00,2016-07-20 00:00:00+00:00,17.745,19.35,4.551310861423218,0.02275655430711609,20,EMA_TRAIL,True
HG,S3,long,RISK_ON,2016-07-06 00:00:00+00:00,2016-07-27 00:00:00+00:00,2.158,2.206,1.265767407947511,0.006328837039737555,18,EMA_TRAIL,True
NG,S3,long,RISK_ON,2016-07-13 00:00:00+00:00,2016-07-21 00:00:00+00:00,2.759,2.6336785714285713,-1.0,-0.005,7,SL,False
PA,S2,long,RISK_ON,2016-07-13 00:00:00+00:00,2016-08-31 00:00:00+00:00,645.6,676.45,0.9801944018124669,0.004900972009062334,42,SMA50_BREAK,False
PL,S3,long,RISK_ON,2016-07-17 00:00:00+00:00,2016-07-20 00:00:00+00:00,1092.8,1074.9142857142858,-1.0,-0.005,3,SL,False
PL,S3,long,RISK_ON,2016-07-20 00:00:00+00:00,2016-08-12 00:00:00+00:00,1085.6,1129.0,1.4336547602879428,0.007168273801439714,20,EMA_TRAIL,True
SI,S3,long,RISK_ON,2016-07-21 00:00:00+00:00,2016-08-18 00:00:00+00:00,20.005000000000003,19.605,-0.3942273847236898,-0.001971136923618449,24,SMA50_BREAK,False
HG,S3,long,RISK_ON,2016-07-28 00:00:00+00:00,2016-08-04 00:00:00+00:00,2.222,2.1630535714285717,-1.0,-0.005,6,SL,False
PL,S3,long,RISK_ON,2016-08-17 00:00:00+00:00,2016-08-22 00:00:00+00:00,1138.5,1105.0,-0.769104624467037,-0.003845523122335185,4,SMA50_BREAK,False
CL,S3,long,RISK_ON,2016-08-29 00:00:00+00:00,2016-08-30 00:00:00+00:00,47.13,46.02964285714285,-1.0,-0.005,1,SL,False
CL,S3,long,RISK_ON,2016-08-30 00:00:00+00:00,2016-08-31 00:00:00+00:00,46.29,45.11214285714286,-1.0,-0.005,1,SL,False
NG,S3,long,RISK_ON,2016-09-14 00:00:00+00:00,2016-09-16 00:00:00+00:00,2.884,2.884,0.27369118621603705,0.0013684559310801854,2,STOP_AFTER_TP1,True
NG,S3,long,RISK_ON,2016-09-22 00:00:00+00:00,2016-09-23 00:00:00+00:00,2.9970000000000003,2.9379285714285714,-1.0,-0.005,1,SL,False
NG,S3,long,RISK_ON,2016-09-23 00:00:00+00:00,2016-10-02 00:00:00+00:00,2.979,2.8895714285714282,-1.0,-0.005,7,SL,False
HG,S3,long,RISK_ON,2016-10-04 00:00:00+00:00,2016-10-06 00:00:00+00:00,2.1745,2.149660714285714,-1.0,-0.005,2,SL,False
HG,S3,long,RISK_ON,2016-10-12 00:00:00+00:00,2016-10-13 00:00:00+00:00,2.181,2.1556785714285716,-1.0,-0.005,1,SL,False
CL,S3,long,RISK_ON,2016-10-12 00:00:00+00:00,2016-10-24 00:00:00+00:00,49.83,49.83,0.7723235156615249,0.003861617578307625,10,STOP_AFTER_TP1,True
NG,S3,long,RISK_ON,2016-10-18 00:00:00+00:00,2016-10-19 00:00:00+00:00,3.248,3.1594285714285713,-1.0,-0.005,1,SL,False
NG,S3,long,RISK_ON,2016-10-19 00:00:00+00:00,2016-10-20 00:00:00+00:00,3.186,3.090857142857143,-1.0,-0.005,1,SL,False
CL,S3,long,RISK_ON,2016-10-24 00:00:00+00:00,2016-10-26 00:00:00+00:00,50.44,49.03821428571428,-1.0,-0.005,2,SL,False
NG,S1,long,RISK_ON,2016-10-26 00:00:00+00:00,2016-10-31 00:00:00+00:00,3.0580000000000003,2.991,-0.30239296642986796,-0.0015119648321493399,4,SMA50_BREAK,False
CL,S3,long,RISK_ON,2016-10-27 00:00:00+00:00,2016-10-30 00:00:00+00:00,49.77,48.293571428571425,-1.0,-0.005,2,SL,False
HG,S3,long,RISK_ON,2016-11-17 00:00:00+00:00,2016-12-13 00:00:00+00:00,2.4625,2.5915,2.934352441613603,0.014671762208068016,22,EMA_TRAIL,True
PA,S3,long,RISK_ON,2016-12-01 00:00:00+00:00,2016-12-02 00:00:00+00:00,757.75,738.3607142857144,-1.0,-0.005,1,SL,False
PA,S3,long,RISK_ON,2016-12-02 00:00:00+00:00,2016-12-05 00:00:00+00:00,743.7,728.9196428571429,-1.0,-0.005,2,SL,False
PA,S3,long,RISK_ON,2016-12-05 00:00:00+00:00,2016-12-08 00:00:00+00:00,750.1,719.2142857142858,-1.0,-0.005,3,SL,False
PA,S3,long,RISK_ON,2016-12-08 00:00:00+00:00,2016-12-15 00:00:00+00:00,737.05,707.3982142857143,-1.0,-0.005,6,SL,False
NG,S3,long,RISK_ON,2016-12-11 00:00:00+00:00,2016-12-13 00:00:00+00:00,3.56,3.4593214285714287,-1.0,-0.005,2,SL,False
NG,S3,long,RISK_ON,2016-12-13 00:00:00+00:00,2016-12-16 00:00:00+00:00,3.4810000000000003,3.3738571428571427,-1.0,-0.005,3,SL,False
HG,S3,long,RISK_ON,2016-12-14 00:00:00+00:00,2016-12-19 00:00:00+00:00,2.617,2.535589285714286,-1.0,-0.005,4,SL,False
CL,S3,long,RISK_ON,2016-12-14 00:00:00+00:00,2017-01-09 00:00:00+00:00,50.910000000000004,52.08,1.6509827278141698,0.00825491363907085,20,EMA_TRAIL,True
NG,S3,long,RISK_ON,2016-12-30 00:00:00+00:00,2017-01-02 00:00:00+00:00,3.7470000000000003,3.6179642857142857,-1.0,-0.005,1,SL,False
HG,S3,long,RISK_ON,2017-01-20 00:00:00+00:00,2017-02-02 00:00:00+00:00,2.618,2.6475,0.8594330400782048,0.004297165200391024,11,EMA_TRAIL,True
SI,S3,long,RISK_ON,2017-01-24 00:00:00+00:00,2017-01-25 00:00:00+00:00,17.1,16.88285714285714,-1.0,-0.005,1,SL,False
SI,S3,long,RISK_ON,2017-01-25 00:00:00+00:00,2017-01-27 00:00:00+00:00,16.975,16.63732142857143,-1.0,-0.005,2,SL,False
PL,S3,long,RISK_ON,2017-01-25 00:00:00+00:00,2017-01-27 00:00:00+00:00,986.0,966.3714285714285,-1.0,-0.005,2,SL,False
PA,S1,long,RISK_ON,2017-01-27 00:00:00+00:00,2017-03-09 00:00:00+00:00,741.5,746.5,0.10183278649126988,0.0005091639324563494,35,SMA50_BREAK,False
PL,S3,long,RISK_ON,2017-02-02 00:00:00+00:00,2017-02-10 00:00:00+00:00,998.0,998.0,0.27825763908238177,0.001391288195411909,7,STOP_AFTER_TP1,True
SI,S3,long,RISK_ON,2017-02-02 00:00:00+00:00,2017-03-02 00:00:00+00:00,17.37,17.79,1.6721915285451094,0.008360957642725547,24,EMA_TRAIL,True
HG,S3,long,RISK_ON,2017-02-07 00:00:00+00:00,2017-02-23 00:00:00+00:00,2.667,2.667,0.34105335392005737,0.001705266769600287,14,STOP_AFTER_TP1,True
PL,S3,long,RISK_ON,2017-02-14 00:00:00+00:00,2017-03-02 00:00:00+00:00,1003.1,1003.1,0.6395715185885275,0.0031978575929426374,14,STOP_AFTER_TP1,True
CL,S3,long,RISK_ON,2017-02-24 00:00:00+00:00,2017-02-28 00:00:00+00:00,54.050000000000004,53.354642857142856,-1.0,-0.005,3,SL,False
NG,S3,long,RISK_ON,2017-03-27 00:00:00+00:00,2017-04-17 00:00:00+00:00,3.036,3.158,1.9633970799917642,0.009816985399958822,17,EMA_TRAIL,True
PA,S3,long,RISK_ON,2017-04-02 00:00:00+00:00,2017-04-06 00:00:00+00:00,801.75,801.75,0.27853299348626404,0.0013926649674313202,4,STOP_AFTER_TP1,True
PA,S3,long,RISK_ON,2017-04-07 00:00:00+00:00,2017-04-10 00:00:00+00:00,802.45,789.2214285714285,-1.0,-0.005,2,SL,False
SI,S3,long,RISK_ON,2017-04-17 00:00:00+00:00,2017-04-18 00:00:00+00:00,18.455000000000002,18.224821428571428,-1.0,-0.005,1,SL,False
SI,S3,long,RISK_ON,2017-04-18 00:00:00+00:00,2017-04-20 00:00:00+00:00,18.285,17.930178571428574,-1.0,-0.005,2,SL,False
CL,S3,long,RISK_ON,2017-04-18 00:00:00+00:00,2017-04-19 00:00:00+00:00,52.79,52.10142857142857,-1.0,-0.005,1,SL,False
NG,S3,long,RISK_ON,2017-04-19 00:00:00+00:00,2017-04-24 00:00:00+00:00,3.193,3.068857142857143,-1.0,-0.005,4,SL,False
PA,S3,long,RISK_ON,2017-05-12 00:00:00+00:00,2017-05-15 00:00:00+00:00,805.4,798.8,-0.3559322033898328,-0.001779661016949164,2,SMA50_BREAK,False
PL,S3,long,RISK_ON,2017-06-05 00:00:00+00:00,2017-06-07 00:00:00+00:00,956.6,956.6,0.3179487179487174,0.0015897435897435869,2,STOP_AFTER_TP1,True
SI,S3,long,RISK_ON,2017-06-08 00:00:00+00:00,2017-06-09 00:00:00+00:00,17.405,17.16875,-1.0,-0.005,1,SL,False
HG,S3,long,RISK_ON,2017-06-13 00:00:00+00:00,2017-06-14 00:00:00+00:00,2.5895,2.561107142857143,-1.0,-0.005,1,SL,False
PA,S3,long,RISK_ON,2017-06-13 00:00:00+00:00,2017-06-30 00:00:00+00:00,856.7,842.8696428571428,-1.0,-0.005,15,SL,False
PA,S3,long,RISK_ON,2017-07-03 00:00:00+00:00,2017-07-07 00:00:00+00:00,856.45,826.0,-1.0,-0.005,4,SL,False
HG,S3,long,RISK_ON,2017-07-04 00:00:00+00:00,2017-07-05 00:00:00+00:00,2.6865,2.6466964285714285,-1.0,-0.005,1,SL,False
HG,S3,long,RISK_ON,2017-07-05 00:00:00+00:00,2017-09-08 00:00:00+00:00,2.658,3.0405,7.829945799458002,0.039149728997290016,56,EMA_TRAIL,True
CL,S3,long,RISK_ON,2017-08-01 00:00:00+00:00,2017-08-14 00:00:00+00:00,48.79,47.79535714285714,-1.0,-0.005,11,SL,False
PA,S3,long,RISK_ON,2017-08-03 00:00:00+00:00,2017-08-07 00:00:00+00:00,883.55,871.7035714285714,-1.0,-0.005,3,SL,False
PA,S3,long,RISK_ON,2017-08-14 00:00:00+00:00,2017-08-15 00:00:00+00:00,893.8,886.8017857142858,-1.0,-0.005,1,SL,False
PL,S3,long,RISK_ON,2017-08-14 00:00:00+00:00,2017-08-15 00:00:00+00:00,967.5,959.1214285714286,-1.0,-0.005,1,SL,False
SI,S3,long,RISK_ON,2017-08-14 00:00:00+00:00,2017-08-15 00:00:00+00:00,16.965000000000003,16.635714285714286,-1.0,-0.005,1,SL,False
PA,S3,long,RISK_ON,2017-08-15 00:00:00+00:00,2017-09-06 00:00:00+00:00,889.55,933.7,2.021783763092888,0.01010891881546444,19,EMA_TRAIL,True
SI,S3,long,RISK_ON,2017-08-15 00:00:00+00:00,2017-08-25 00:00:00+00:00,16.725,16.725,0.5308301122768191,0.0026541505613840955,9,STOP_AFTER_TP1,True
PL,S3,long,RISK_ON,2017-08-15 00:00:00+00:00,2017-09-11 00:00:00+00:00,967.0,989.6,1.3410064582134433,0.006705032291067217,23,EMA_TRAIL,True
NG,S3,long,RISK_ON,2017-09-05 00:00:00+00:00,2017-09-08 00:00:00+00:00,2.974,2.9279642857142854,-1.0,-0.005,3,SL,False
PA,S3,long,RISK_ON,2017-09-07 00:00:00+00:00,2017-09-14 00:00:00+00:00,952.75,920.4017857142857,-1.0,-0.005,6,SL,False
SI,S2,long,RISK_ON,2017-09-07 00:00:00+00:00,2017-09-14 00:00:00+00:00,18.225,17.691607142857144,-1.0,-0.005,6,SL,False
SI,S3,long,RISK_ON,2017-09-14 00:00:00+00:00,2017-09-18 00:00:00+00:00,17.91,17.52732142857143,-1.0,-0.005,3,SL,False
NG,S3,long,RISK_ON,2017-09-15 00:00:00+00:00,2017-09-21 00:00:00+00:00,3.0380000000000003,3.0380000000000003,0.3243059104070825,0.0016215295520354126,5,STOP_AFTER_TP1,True
CL,S2,long,RISK_ON,2017-09-25 00:00:00+00:00,2017-10-06 00:00:00+00:00,52.13,49.61392857142857,-1.0,-0.005,10,SL,False
PA,S3,long,RISK_ON,2017-10-20 00:00:00+00:00,2017-11-15 00:00:00+00:00,971.25,982.75,0.4910914344876616,0.0024554571724383083,22,EMA_TRAIL,True
HG,S3,long,RISK_ON,2017-10-24 00:00:00+00:00,2017-10-27 00:00:00+00:00,3.195,3.12525,-1.0,-0.005,3,SL,False
HG,S3,long,RISK_ON,2017-10-31 00:00:00+00:00,2017-11-09 00:00:00+00:00,3.151,3.0594107142857143,-1.0,-0.005,8,SL,False
CL,S3,long,RISK_ON,2017-11-13 00:00:00+00:00,2017-11-14 00:00:00+00:00,56.660000000000004,55.83642857142857,-1.0,-0.005,1,SL,False
NG,S3,long,RISK_ON,2017-11-13 00:00:00+00:00,2017-11-14 00:00:00+00:00,3.138,3.0896071428571426,-1.0,-0.005,1,SL,False
NG,S3,long,RISK_ON,2017-11-14 00:00:00+00:00,2017-11-21 00:00:00+00:00,3.085,3.0249642857142858,-1.0,-0.005,6,SL,False
CL,S3,long,RISK_ON,2017-11-15 00:00:00+00:00,2017-12-06 00:00:00+00:00,55.57,56.14,0.9086006508600664,0.004543003254300332,18,EMA_TRAIL,True
PA,S3,long,RISK_ON,2017-11-16 00:00:00+00:00,2017-12-04 00:00:00+00:00,990.45,990.45,0.4439610373915333,0.0022198051869576664,15,STOP_AFTER_TP1,True
NG,S1,long,RISK_ON,2017-11-27 00:00:00+00:00,2017-12-04 00:00:00+00:00,3.043,2.984,-0.2937003758369225,-0.0014685018791846126,6,SMA50_BREAK,False
PL,S3,long,RISK_ON,2017-11-29 00:00:00+00:00,2017-12-01 00:00:00+00:00,947.0,933.9892857142856,-1.0,-0.005,2,SL,False
PL,S3,long,RISK_ON,2017-12-01 00:00:00+00:00,2017-12-04 00:00:00+00:00,941.4,926.7821428571428,-1.0,-0.005,2,SL,False
CL,S3,long,RISK_ON,2017-12-08 00:00:00+00:00,2018-01-30 00:00:00+00:00,57.370000000000005,63.92,2.417148531043741,0.012085742655218706,43,EMA_TRAIL,True
PA,S3,long,RISK_ON,2017-12-08 00:00:00+00:00,2018-01-26 00:00:00+00:00,998.8,1086.15,3.022632744557885,0.015113163722789424,40,EMA_TRAIL,True
HG,S3,long,RISK_ON,2018-01-03 00:00:00+00:00,2018-01-09 00:00:00+00:00,3.254,3.214875,-1.0,-0.005,5,SL,False
HG,S3,long,RISK_ON,2018-01-09 00:00:00+00:00,2018-01-16 00:00:00+00:00,3.233,3.19175,-1.0,-0.005,6,SL,False
SI,S3,long,RISK_ON,2018-01-10 00:00:00+00:00,2018-01-16 00:00:00+00:00,17.1,17.1,0.2714932126696797,0.0013574660633483985,5,STOP_AFTER_TP1,True
SI,S3,long,RISK_ON,2018-01-17 00:00:00+00:00,2018-01-29 00:00:00+00:00,17.075000000000003,17.135,0.41342281879194026,0.0020671140939597012,10,EMA_TRAIL,True
PL,S3,long,RISK_ON,2018-01-22 00:00:00+00:00,2018-01-29 00:00:00+00:00,1002.9,1002.9,0.40530759951749046,0.0020265379975874524,6,STOP_AFTER_TP1,True
PL,S3,long,RISK_ON,2018-01-29 00:00:00+00:00,2018-02-02 00:00:00+00:00,1004.7,994.9428571428572,-1.0,-0.005,4,SL,False
SI,S3,long,RISK_ON,2018-01-31 00:00:00+00:00,2018-02-02 00:00:00+00:00,17.315,16.887857142857143,-1.0,-0.005,2,SL,False
CL,S3,long,RISK_ON,2018-01-31 00:00:00+00:00,2018-02-07 00:00:00+00:00,64.8,63.089285714285715,-1.0,-0.005,6,SL,False
