instrument,model,side,bias,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
NQ,S2,long,RISK_ON,2013-05-14 00:00:00+00:00,2013-06-05 00:00:00+00:00,2996.0,2945.2410714285716,-1.0,-0.005,19,SL,False
ES,S2,long,RISK_ON,2013-05-14 00:00:00+00:00,2013-06-05 00:00:00+00:00,1647.25,1613.5,-1.0,-0.005,19,SL,False
YM,S2,long,RISK_ON,2013-05-14 00:00:00+00:00,2013-06-05 00:00:00+00:00,15176.0,14941.964285714286,-1.0,-0.005,19,SL,False
NQ,S3,long,RISK_ON,2013-06-09 00:00:00+00:00,2013-06-12 00:00:00+00:00,2987.5,2922.464285714286,-1.0,-0.005,3,SL,False
YM,S3,long,RISK_ON,2013-06-09 00:00:00+00:00,2013-06-12 00:00:00+00:00,15226.0,14914.82142857143,-1.0,-0.005,3,SL,False
NQ,S3,long,RISK_ON,2013-07-18 00:00:00+00:00,2013-07-23 00:00:00+00:00,3045.5,3029.0089285714284,-1.0,-0.005,4,SL,False
NQ,S3,long,RISK_ON,2013-07-23 00:00:00+00:00,2013-08-15 00:00:00+00:00,3038.25,3071.5,1.4144203374972641,0.007072101687486321,20,EMA_TRAIL,True
ES,S3,long,RISK_ON,2013-07-24 00:00:00+00:00,2013-07-26 00:00:00+00:00,1683.0,1671.4732142857142,-1.0,-0.005,2,SL,False
YM,S3,long,RISK_ON,2013-08-05 00:00:00+00:00,2013-08-06 00:00:00+00:00,15526.0,15474.17857142857,-1.0,-0.005,1,SL,False
ES,S3,long,RISK_ON,2013-08-06 00:00:00+00:00,2013-08-07 00:00:00+00:00,1691.25,1683.1160714285713,-1.0,-0.005,1,SL,False
ES,S3,long,RISK_ON,2013-08-09 00:00:00+00:00,2013-08-12 00:00:00+00:00,1686.25,1676.75,-1.0,-0.005,2,SL,False
ES,S3,long,RISK_ON,2013-08-12 00:00:00+00:00,2013-08-15 00:00:00+00:00,1688.0,1670.1160714285713,-1.0,-0.005,3,SL,False
NQ,S2,long,RISK_ON,2013-09-04 00:00:00+00:00,2013-10-09 00:00:00+00:00,3130.5,3140.5,0.1378631216149681,0.0006893156080748406,30,SMA50_BREAK,False
ES,S3,long,RISK_ON,2013-09-23 00:00:00+00:00,2013-09-27 00:00:00+00:00,1691.25,1682.017857142857,-1.0,-0.005,4,SL,False
ES,S3,long,RISK_ON,2013-10-01 00:00:00+00:00,2013-10-03 00:00:00+00:00,1688.75,1670.0,-0.6325301204819284,-0.003162650602409642,2,SMA50_BREAK,False
NQ,S3,long,RISK_ON,2013-10-13 00:00:00+00:00,2013-11-07 00:00:00+00:00,3211.0,3324.5,2.238073874682212,0.01119036937341106,22,EMA_TRAIL,True
YM,S3,long,RISK_ON,2013-10-30 00:00:00+00:00,2013-11-08 00:00:00+00:00,15496.0,15496.0,0.5709698137443822,0.002854849068721911,8,STOP_AFTER_TP1,True
ES,S3,long,RISK_ON,2013-10-30 00:00:00+00:00,2013-11-07 00:00:00+00:00,1753.5,1753.5,0.5556676757484064,0.002778338378742032,7,STOP_AFTER_TP1,True
ES,S3,long,RISK_ON,2013-11-07 00:00:00+00:00,2013-12-05 00:00:00+00:00,1748.5,1786.0,2.540245566166427,0.012701227830832136,24,EMA_TRAIL,True
NQ,S3,long,RISK_ON,2013-11-11 00:00:00+00:00,2013-11-20 00:00:00+00:00,3354.75,3364.5,0.9087359687652441,0.004543679843826221,8,EMA_TRAIL,True
YM,S3,long,RISK_ON,2013-11-12 00:00:00+00:00,2013-12-03 00:00:00+00:00,15692.0,15903.0,1.768677091089615,0.008843385455448076,18,EMA_TRAIL,True
NQ,S3,long,RISK_ON,2013-12-03 00:00:00+00:00,2013-12-04 00:00:00+00:00,3479.25,3453.4553571428573,-1.0,-0.005,1,SL,False
YM,S3,long,RISK_ON,2013-12-09 00:00:00+00:00,2013-12-11 00:00:00+00:00,16038.0,15955.392857142857,-1.0,-0.005,2,SL,False
NQ,S3,long,RISK_ON,2013-12-11 00:00:00+00:00,2013-12-13 00:00:00+00:00,3467.75,3452.4196428571427,-1.0,-0.005,2,SL,False
NQ,S3,long,RISK_ON,2013-12-16 00:00:00+00:00,2013-12-18 00:00:00+00:00,3468.75,3421.1964285714284,-1.0,-0.005,2,SL,False
NQ,S3,long,RISK_ON,2013-12-30 00:00:00+00:00,2014-01-02 00:00:00+00:00,3566.25,3566.25,0.29081133919843827,0.0014540566959921914,2,STOP_AFTER_TP1,True
NQ,S3,long,RISK_ON,2014-01-02 00:00:00+00:00,2014-01-03 00:00:00+00:00,3559.5,3533.625,-1.0,-0.005,1,SL,False
ES,S3,long,RISK_ON,2014-01-07 00:00:00+00:00,2014-01-13 00:00:00+00:00,1831.25,1812.294642857143,-1.0,-0.005,5,SL,False
NQ,S3,long,RISK_ON,2014-01-07 00:00:00+00:00,2014-01-13 00:00:00+00:00,3549.75,3493.6428571428573,-1.0,-0.005,5,SL,False
YM,S3,long,RISK_ON,2014-01-08 00:00:00+00:00,2014-01-13 00:00:00+00:00,16413.0,16311.785714285714,-1.0,-0.005,4,SL,False
YM,S3,long,RISK_ON,2014-01-16 00:00:00+00:00,2014-01-23 00:00:00+00:00,16335.0,16228.035714285714,-1.0,-0.005,6,SL,False
ES,S3,long,RISK_ON,2014-01-17 00:00:00+00:00,2014-01-23 00:00:00+00:00,1834.5,1821.9910714285713,-1.0,-0.005,5,SL,False
NQ,S3,long,RISK_ON,2014-01-17 00:00:00+00:00,2014-01-23 00:00:00+00:00,3585.5,3585.5,0.2763984445109189,0.0013819922225545944,5,STOP_AFTER_TP1,True
YM,S3,long,RISK_ON,2014-03-02 00:00:00+00:00,2014-03-03 00:00:00+00:00,16217.0,16071.607142857143,-1.0,-0.005,1,SL,False
ES,S3,long,RISK_ON,2014-03-02 00:00:00+00:00,2014-03-13 00:00:00+00:00,1845.0,1845.0,0.42179015589420454,0.002108950779471023,10,STOP_AFTER_TP1,True
NQ,S3,long,RISK_ON,2014-03-02 00:00:00+00:00,2014-03-12 00:00:00+00:00,3670.25,3670.25,0.5013278505953891,0.0025066392529769456,9,STOP_AFTER_TP1,True
YM,S3,long,RISK_ON,2014-03-03 00:00:00+00:00,2014-03-13 00:00:00+00:00,16167.0,16167.0,0.40748057421309214,0.002037402871065461,9,STOP_AFTER_TP1,True
YM,S5,long,RISK_ON,2014-03-16 00:00:00+00:00,2014-03-24 00:00:00+00:00,16048.0,16208.0,3.1062801932367154,0.015531400966183578,7,EMA_TRAIL,True
NQ,S3,long,RISK_ON,2014-03-20 00:00:00+00:00,2014-03-24 00:00:00+00:00,3688.75,3631.1964285714284,-1.0,-0.005,3,SL,False
ES,S3,long,RISK_ON,2014-03-21 00:00:00+00:00,2014-03-27 00:00:00+00:00,1859.5,1835.5357142857142,-1.0,-0.005,5,SL,False
ES,S3,long,RISK_ON,2014-05-14 00:00:00+00:00,2014-05-15 00:00:00+00:00,1886.75,1875.3839285714287,-1.0,-0.005,1,SL,False
YM,S3,long,RISK_ON,2014-05-14 00:00:00+00:00,2014-05-15 00:00:00+00:00,16595.0,16503.5,-1.0,-0.005,1,SL,False
ES,S3,long,RISK_ON,2014-05-16 00:00:00+00:00,2014-07-17 00:00:00+00:00,1876.0,1952.0,2.3663881825886945,0.011831940912943473,53,EMA_TRAIL,True
YM,S3,long,RISK_ON,2014-05-19 00:00:00+00:00,2014-05-20 00:00:00+00:00,16486.0,16330.357142857143,-1.0,-0.005,1,SL,False
YM,S2,long,RISK_ON,2014-06-05 00:00:00+00:00,2014-07-29 00:00:00+00:00,16832.0,16867.0,0.16649677200135873,0.0008324838600067937,46,SMA50_BREAK,False
NQ,S3,long,RISK_ON,2014-06-12 00:00:00+00:00,2014-07-17 00:00:00+00:00,3771.75,3876.0,2.439906860111066,0.01219953430055533,30,EMA_TRAIL,True
NQ,S2,long,RISK_ON,2014-07-23 00:00:00+00:00,2014-07-31 00:00:00+00:00,3981.25,3890.4464285714284,-1.0,-0.005,7,SL,False
ES,S3,long,RISK_ON,2014-07-25 00:00:00+00:00,2014-07-28 00:00:00+00:00,1972.0,1961.2589285714287,-1.0,-0.005,2,SL,False
NQ,S3,long,RISK_ON,2014-09-03 00:00:00+00:00,2014-09-05 00:00:00+00:00,4074.75,4074.75,0.31270529496780886,0.0015635264748390444,2,STOP_AFTER_TP1,True
ES,S3,long,RISK_ON,2014-09-04 00:00:00+00:00,2014-09-09 00:00:00+00:00,1996.5,1985.267857142857,-1.0,-0.005,4,SL,False
YM,S3,long,RISK_ON,2014-09-04 00:00:00+00:00,2014-09-10 00:00:00+00:00,17066.0,16970.928571428572,-1.0,-0.005,5,SL,False
NQ,S3,long,RISK_ON,2014-09-08 00:00:00+00:00,2014-09-09 00:00:00+00:00,4089.5,4063.839285714286,-1.0,-0.005,1,SL,False
NQ,S3,long,RISK_ON,2014-09-09 00:00:00+00:00,2014-09-15 00:00:00+00:00,4062.5,4040.4196428571427,-1.0,-0.005,5,SL,False
YM,S3,long,RISK_ON,2014-09-10 00:00:00+00:00,2014-09-16 00:00:00+00:00,17049.0,16922.14285714286,-1.0,-0.005,5,SL,False
ES,S3,long,RISK_ON,2014-09-10 00:00:00+00:00,2014-09-14 00:00:00+00:00,1993.75,1975.5982142857142,-1.0,-0.005,3,SL,False
NQ,S3,long,RISK_ON,2014-09-21 00:00:00+00:00,2014-09-22 00:00:00+00:00,4081.75,4056.848214285714,-1.0,-0.005,1,SL,False
ES,S3,long,RISK_ON,2014-09-21 00:00:00+00:00,2014-09-22 00:00:00+00:00,1998.5,1988.455357142857,-1.0,-0.005,1,SL,False
YM,S3,long,RISK_ON,2014-09-22 00:00:00+00:00,2014-09-23 00:00:00+00:00,17104.0,17022.25,-1.0,-0.005,1,SL,False
ES,S3,long,RISK_ON,2014-11-16 00:00:00+00:00,2014-12-08 00:00:00+00:00,2028.0,2055.75,2.550335570469799,0.012751677852348995,19,EMA_TRAIL,True
YM,S3,long,RISK_ON,2014-11-16 00:00:00+00:00,2014-12-10 00:00:00+00:00,17523.0,17523.0,0.7215686274509803,0.0036078431372549014,21,STOP_AFTER_TP1,True
NQ,S3,long,RISK_ON,2014-12-01 00:00:00+00:00,2014-12-09 00:00:00+00:00,4288.75,4256.669642857143,-1.0,-0.005,7,SL,False
YM,S2,long,RISK_ON,2015-02-20 00:00:00+00:00,2015-03-06 00:00:00+00:00,18113.0,17816.75,-1.0,-0.005,12,SL,False
ES,S3,long,RISK_ON,2015-02-27 00:00:00+00:00,2015-03-04 00:00:00+00:00,2106.0,2094.3660714285716,-1.0,-0.005,4,SL,False
NQ,S3,long,RISK_ON,2015-03-04 00:00:00+00:00,2015-03-06 00:00:00+00:00,4444.75,4404.741071428572,-1.0,-0.005,2,SL,False
ES,S3,long,RISK_ON,2015-03-04 00:00:00+00:00,2015-03-06 00:00:00+00:00,2097.5,2078.8125,-1.0,-0.005,2,SL,False
NQ,S3,long,RISK_ON,2015-03-06 00:00:00+00:00,2015-03-10 00:00:00+00:00,4408.5,4372.580357142857,-1.0,-0.005,3,SL,False
ES,S3,long,RISK_ON,2015-04-27 00:00:00+00:00,2015-04-28 00:00:00+00:00,2103.0,2092.0,-1.0,-0.005,1,SL,False
YM,S3,long,RISK_ON,2015-04-27 00:00:00+00:00,2015-04-28 00:00:00+00:00,17979.0,17868.428571428572,-1.0,-0.005,1,SL,False
NQ,S3,long,RISK_ON,2015-04-29 00:00:00+00:00,2015-04-30 00:00:00+00:00,4471.0,4432.473214285715,-1.0,-0.005,1,SL,False
ES,S3,long,RISK_ON,2015-04-29 00:00:00+00:00,2015-04-30 00:00:00+00:00,2099.0,2079.0446428571427,-1.0,-0.005,1,SL,False
NQ,S3,long,RISK_ON,2015-05-03 00:00:00+00:00,2015-05-06 00:00:00+00:00,4463.0,4384.517857142857,-1.0,-0.005,3,SL,False
YM,S3,long,RISK_ON,2015-05-03 00:00:00+00:00,2015-05-06 00:00:00+00:00,17925.0,17694.75,-1.0,-0.005,3,SL,False
ES,S3,long,RISK_ON,2015-05-11 00:00:00+00:00,2015-05-12 00:00:00+00:00,2098.5,2085.660714285714,-1.0,-0.005,1,SL,False
YM,S3,long,RISK_ON,2015-05-20 00:00:00+00:00,2015-05-26 00:00:00+00:00,18222.0,18117.5,-1.0,-0.005,5,SL,False
ES,S3,long,RISK_ON,2015-05-20 00:00:00+00:00,2015-05-26 00:00:00+00:00,2118.0,2105.348214285714,-1.0,-0.005,5,SL,False
YM,S3,long,RISK_ON,2015-05-27 00:00:00+00:00,2015-06-02 00:00:00+00:00,18139.0,18009.0,-0.5510976532929562,-0.002755488266464781,5,SMA50_BREAK,False
NQ,S3,long,RISK_ON,2015-06-02 00:00:00+00:00,2015-06-05 00:00:00+00:00,4504.5,4460.616071428572,-1.0,-0.005,3,SL,False
NQ,S5,long,DEFENSIVE,2015-06-28 00:00:00+00:00,2015-06-29 00:00:00+00:00,4422.0,4400.0,-0.5,-0.0025,1,SL,False
NQ,S3,long,RISK_ON,2015-07-31 00:00:00+00:00,2015-08-06 00:00:00+00:00,4584.75,4505.428571428572,-1.0,-0.005,5,SL,False
NQ,S3,long,RISK_ON,2015-08-10 00:00:00+00:00,2015-08-11 00:00:00+00:00,4578.0,4487.946428571428,-1.0,-0.005,1,SL,False
YM,S5,long,DEFENSIVE,2015-08-24 00:00:00+00:00,2015-08-25 00:00:00+00:00,16015.0,15728.0,-0.19657534246575342,-0.000982876712328767,1,SMA50_BREAK,False
ES,S3,long,RISK_ON,2015-10-21 00:00:00+00:00,2015-11-12 00:00:00+00:00,2015.0,2043.5,1.4093477144324524,0.007046738572162262,19,EMA_TRAIL,True
