instrument,model,side,bias,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
AUDCAD,B,short,NEUTRAL,2013-02-20 10:00:00+00:00,2013-02-22 06:00:00+00:00,1.04663,1.0502080357142856,-1.078205811894161,-0.005391029059470805,11,SL,False
EURUSD,B,long,NEUTRAL,2013-02-27 06:00:00+00:00,2013-03-01 10:00:00+00:00,1.3084950000000002,1.300784821428571,-1.0437246052539246,-0.005218623026269623,13,SL,False
CADCHF,B,short,NEUTRAL,2013-03-04 06:00:00+00:00,2013-03-07 02:00:00+00:00,0.916425,0.9199433928571429,-1.0592222921444203,-0.005296111460722102,17,SL,False
NZDJPY,B,short,NEUTRAL,2013-03-13 09:00:00+00:00,2013-03-14 13:00:00+00:00,79.071,79.088,0.5956981193740437,0.0029784905968702185,7,BE_STOP,True
NZDCAD,B,long,NEUTRAL,2013-03-14 13:00:00+00:00,2013-03-28 13:00:00+00:00,0.84136,0.850015,1.5566235442110072,0.007783117721055036,60,TIME,True
AUDCHF,B,long,NEUTRAL,2013-04-08 09:00:00+00:00,2013-04-15 01:00:00+00:00,0.973085,0.972915,0.5590755945912483,0.0027953779729562415,28,BE_STOP,True
CADCHF,B,long,NEUTRAL,2013-04-08 21:00:00+00:00,2013-04-15 01:00:00+00:00,0.91725,0.9129428571428571,-1.1204732389502743,-0.005602366194751371,25,SL,False
GBPCAD,B,short,NEUTRAL,2013-04-10 05:00:00+00:00,2013-04-15 01:00:00+00:00,1.554765,1.5605876785714285,-1.050890404675407,-0.005254452023377035,17,SL,False
EURAUD,B,short,NEUTRAL,2013-04-17 09:00:00+00:00,2013-04-23 01:00:00+00:00,1.27039,1.276562857142857,-1.0329600713945744,-0.005164800356972872,22,SL,False
EURCHF,B,short,NEUTRAL,2013-04-25 13:00:00+00:00,2013-05-07 05:00:00+00:00,1.230025,1.230195,0.6598751627225501,0.0032993758136127503,46,BE_STOP,True
USDJPY,B,long,NEUTRAL,2013-05-01 05:00:00+00:00,2013-05-09 17:00:00+00:00,97.613,99.75710312499999,2.474576015999212,0.012372880079996061,39,TP2,True
USDCHF,B,long,NEUTRAL,2013-05-02 05:00:00+00:00,2013-05-09 17:00:00+00:00,0.9278200000000001,0.9440106562499999,3.9992501631556294,0.019996250815778147,33,TP2,True
EURGBP,B,short,NEUTRAL,2013-05-23 05:00:00+00:00,2013-05-24 05:00:00+00:00,0.85548,0.8575341071428572,-1.1272577310207583,-0.005636288655103792,6,SL,False
NZDJPY,B,long,NEUTRAL,2013-05-27 21:00:00+00:00,2013-05-29 05:00:00+00:00,82.0115,81.9945,0.6560834014350412,0.003280417007175206,8,BE_STOP,True
CADJPY,B,short,NEUTRAL,2013-07-02 01:00:00+00:00,2013-07-02 13:00:00+00:00,94.72850000000001,95.23253571428572,-1.0621350531641778,-0.005310675265820889,3,SL,False
EURJPY,B,short,NEUTRAL,2013-07-02 05:00:00+00:00,2013-07-02 13:00:00+00:00,129.903,130.89199999999997,-1.0362000205761284,-0.005181000102880642,2,SL,False
AUDCAD,B,long,NEUTRAL,2013-07-04 05:00:00+00:00,2013-07-11 13:00:00+00:00,0.9595,0.9514133928571429,-1.0700211580538206,-0.005350105790269103,32,SL,False
EURJPY,B,short,NEUTRAL,2013-07-04 05:00:00+00:00,2013-07-09 05:00:00+00:00,129.583,130.56199999999998,-1.0209372349272308,-0.005104686174636154,18,SL,False
CADJPY,B,short,NEUTRAL,2013-07-04 05:00:00+00:00,2013-07-05 09:00:00+00:00,94.849,95.52355357142856,-1.0384438030578655,-0.005192219015289328,7,SL,False
ES,B,short,NEUTRAL,2013-07-10 06:00:00+00:00,2013-07-10 18:00:00+00:00,1643.375,1651.6785714285713,-1.0638790990990998,-0.005319395495495499,3,SL,False
AUDCHF,B,long,NEUTRAL,2013-07-15 01:00:00+00:00,2013-07-29 01:00:00+00:00,0.861925,0.859575,-0.3174094980061515,-0.0015870474900307574,60,TIME,False
EURNZD,B,short,NEUTRAL,2013-08-01 09:00:00+00:00,2013-08-01 13:00:00+00:00,1.672365,1.6789798214285714,-1.0627063301100017,-0.005313531650550009,1,SL,False
CHFJPY,B,short,NEUTRAL,2013-08-05 01:00:00+00:00,2013-08-07 05:00:00+00:00,106.21300000000001,104.39354,2.065691260983728,0.01032845630491864,13,TP2,True
CL,B,short,NEUTRAL,2013-08-15 10:00:00+00:00,2013-08-25 22:00:00+00:00,107.155,107.17,0.7460398816178854,0.003730199408089427,39,BE_STOP,True
GBPAUD,B,long,NEUTRAL,2013-09-05 05:00:00+00:00,2013-09-06 09:00:00+00:00,1.709295,1.6959324999999998,-1.034815334470343,-0.005174076672351715,7,SL,False
NZDUSD,B,short,NEUTRAL,2013-09-09 01:00:00+00:00,2013-09-10 01:00:00+00:00,0.79799,0.8033603571428571,-1.0325202624281433,-0.005162601312140717,6,SL,False
ES,B,short,NEUTRAL,2013-09-12 14:00:00+00:00,2013-09-15 22:00:00+00:00,1685.375,1692.7232142857142,-1.0731126248399494,-0.005365563124199747,8,SL,False
EURCAD,B,short,NEUTRAL,2013-09-23 05:00:00+00:00,2013-09-27 09:00:00+00:00,1.391815,1.3985473214285713,-1.025121308334922,-0.00512560654167461,25,SL,False
CADCHF,B,long,NEUTRAL,2013-09-23 05:00:00+00:00,2013-09-27 05:00:00+00:00,0.88565,0.8799308928571429,-1.0890217087691072,-0.005445108543845536,24,SL,False
NQ,B,long,NEUTRAL,2013-10-09 06:00:00+00:00,2013-10-09 10:00:00+00:00,3160.375,3137.2678571428573,-1.0276186017282012,-0.005138093008641006,1,SL,False
NQ,B,long,NEUTRAL,2013-10-10 06:00:00+00:00,2013-10-14 14:00:00+00:00,3157.375,3238.282978723404,1.9672728335004295,0.009836364167502148,14,TP2,True
EURJPY,B,short,NEUTRAL,2013-10-15 05:00:00+00:00,2013-10-17 21:00:00+00:00,133.453,133.99557142857142,-1.048867610763787,-0.005244338053818936,16,SL,False
EURNZD,B,long,NEUTRAL,2013-10-15 17:00:00+00:00,2013-10-16 05:00:00+00:00,1.614425,1.60390125,-1.0382488953277804,-0.005191244476638902,3,SL,False
NZDJPY,B,short,NEUTRAL,2013-10-17 05:00:00+00:00,2013-10-22 13:00:00+00:00,82.912,83.69689285714286,-1.0177208055439229,-0.005088604027719614,20,SL,False
GBPUSD,B,short,NEUTRAL,2013-10-21 01:00:00+00:00,2013-10-22 09:00:00+00:00,1.6164199999999997,1.62007625,-1.0802800701016835,-0.005401400350508417,8,SL,False
USDCHF,B,long,NEUTRAL,2013-10-21 05:00:00+00:00,2013-10-22 09:00:00+00:00,0.9038200000000001,0.9003669642857142,-1.073307220304791,-0.005366536101523956,7,SL,False
AUDNZD,B,short,NEUTRAL,2013-10-23 17:00:00+00:00,2013-10-24 09:00:00+00:00,1.146025,1.151967857142857,-1.0572408933432336,-0.0052862044667161675,4,SL,False
GBPUSD,B,short,NEUTRAL,2013-10-24 09:00:00+00:00,2013-10-25 01:00:00+00:00,1.6146249999999998,1.6245275000000001,-1.032208662420396,-0.00516104331210198,4,SL,False
EURNZD,B,long,NEUTRAL,2013-11-06 14:00:00+00:00,2013-11-07 10:00:00+00:00,1.61269,1.6021407142857143,-1.0381313908196275,-0.005190656954098137,5,SL,False
NZDCAD,B,short,NEUTRAL,2013-11-06 14:00:00+00:00,2013-11-12 18:00:00+00:00,0.87419,0.8592977800000001,2.037727936657557,0.010188639683287785,25,TP2,True
EURNZD,B,short,NEUTRAL,2013-11-25 10:00:00+00:00,2013-11-26 14:00:00+00:00,1.64681,1.6577144642857142,-1.0326568136675935,-0.005163284068337968,7,SL,False
CL,B,short,NEUTRAL,2013-12-03 11:00:00+00:00,2013-12-03 15:00:00+00:00,94.935,95.39642857142856,-1.050612352000003,-0.005253061760000015,1,SL,False
CADJPY,B,short,NEUTRAL,2013-12-09 10:00:00+00:00,2013-12-09 14:00:00+00:00,96.616,97.05314285714286,-1.0726568106086258,-0.005363284053043129,1,SL,False
CADJPY,B,short,NEUTRAL,2013-12-10 10:00:00+00:00,2013-12-12 22:00:00+00:00,96.797,97.44332142857142,-1.0326567300380163,-0.005163283650190082,15,SL,False
AUDCHF,B,short,NEUTRAL,2014-01-06 06:00:00+00:00,2014-01-13 06:00:00+00:00,0.809555,0.8154191071428571,-1.0058547721642055,-0.005029273860821027,30,SL,False
AUDCAD,B,short,NEUTRAL,2014-01-08 14:00:00+00:00,2014-01-10 10:00:00+00:00,0.96219,0.9685155357142857,-1.0413784618955069,-0.005206892309477534,11,SL,False
AUDUSD,B,short,NEUTRAL,2014-01-14 02:00:00+00:00,2014-01-15 22:00:00+00:00,0.90386,0.882185,3.122481367037318,0.01561240683518659,11,TP2,True
GBPUSD,B,short,NEUTRAL,2014-01-20 22:00:00+00:00,2014-01-21 10:00:00+00:00,1.641765,1.6456773214285714,-1.0836787554310148,-0.005418393777155074,3,SL,False
EURJPY,B,long,NEUTRAL,2014-01-30 02:00:00+00:00,2014-01-31 02:00:00+00:00,139.837,138.73907142857144,-1.038464317716246,-0.00519232158858123,6,SL,False
AUDCHF,B,long,NEUTRAL,2014-01-30 06:00:00+00:00,2014-02-05 22:00:00+00:00,0.7856650000000001,0.8102369166666666,2.0847531929681042,0.010423765964840521,28,TP2,True
GBPCHF,B,long,NEUTRAL,2014-02-05 02:00:00+00:00,2014-02-05 06:00:00+00:00,1.4771050000000001,1.4718457142857142,-1.0740368533333313,-0.005370184266666657,1,SL,False
AUDUSD,B,short,NEUTRAL,2014-02-05 02:00:00+00:00,2014-02-05 22:00:00+00:00,0.8891549999999999,0.8964741071428571,-1.0296691826198696,-0.005148345913099348,5,SL,False
NZDUSD,B,short,NEUTRAL,2014-02-11 14:00:00+00:00,2014-02-12 06:00:00+00:00,0.83339,0.8358619642857144,-1.086766456256103,-0.005433832281280515,4,SL,False
