instrument,model,side,bias,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
EURCAD,C,long,BULL_STRONG,2013-02-06 14:00:00+00:00,2013-02-07 10:00:00+00:00,1.34726,1.3419235357142858,-1.0694123447231836,-0.005347061723615918,5,SL,False
EURCHF,C,short,BEAR_STRONG,2013-02-06 14:00:00+00:00,2013-02-11 18:00:00+00:00,1.22947,1.2341086224489797,-1.0429944131986075,-0.0052149720659930374,19,SL,False
EURCAD,C,long,BULL_STRONG,2013-02-07 14:00:00+00:00,2013-02-14 06:00:00+00:00,1.338655,1.338485,1.4059745132695127,0.007029872566347564,28,BE_STOP,True
EURGBP,C,long,BULL_STRONG,2013-02-11 02:00:00+00:00,2013-02-11 22:00:00+00:00,0.846835,0.8562035637755103,2.5344899970121273,0.012672449985060636,5,TP2,True
EURCAD,C,long,BULL_STRONG,2013-02-14 10:00:00+00:00,2013-02-19 22:00:00+00:00,1.334855,1.3585824642857145,4.086799048047561,0.020433995240237805,21,TP2,True
EURCAD,C,long,BULL_STRONG,2013-02-21 06:00:00+00:00,2013-02-25 10:00:00+00:00,1.344925,1.3582038928571432,2.363933756756695,0.011819668783783474,13,TP2,True
EURCHF,C,short,BEAR_STRONG,2013-02-21 14:00:00+00:00,2013-02-25 14:00:00+00:00,1.2296,1.232134030612245,-1.1024284536527438,-0.005512142268263719,12,SL,False
EURCHF,C,short,BEAR_STRONG,2013-02-25 14:00:00+00:00,2013-03-06 02:00:00+00:00,1.22606,1.2293591836734694,-1.0133096693406385,-0.005066548346703193,39,SL,False
EURCAD,C,long,BULL_STRONG,2013-02-25 18:00:00+00:00,2013-03-01 14:00:00+00:00,1.34039,1.3342095714285716,-1.0844622964846842,-0.005422311482423421,23,SL,False
CL,C,short,BEAR_STRONG,2013-03-18 14:00:00+00:00,2013-03-19 18:00:00+00:00,93.915,92.42175649350649,1.8361598667878536,0.009180799333939269,7,TP2,True
GBPUSD,C,long,BULL_STRONG,2013-06-25 13:00:00+00:00,2013-06-26 05:00:00+00:00,1.5427300000000002,1.5373620907142858,-1.0579741301784684,-0.005289870650892342,4,SL,False
AUDNZD,C,long,BULL_STRONG,2014-08-04 01:00:00+00:00,2014-08-05 21:00:00+00:00,1.09507,1.1010498414285714,1.9567399082595,0.0097836995412975,11,TP2,True
AUDNZD,C,long,BULL_STRONG,2014-08-07 05:00:00+00:00,2014-08-12 21:00:00+00:00,1.0953600000000001,1.1016823414285712,1.5543824568151514,0.0077719122840757575,22,TP2,True
AUDNZD,C,long,BULL_STRONG,2014-08-14 05:00:00+00:00,2014-08-14 09:00:00+00:00,1.095675,1.092803237142857,-1.119697588981587,-0.005598487944907935,1,SL,False
AUDNZD,C,long,BULL_STRONG,2014-08-14 09:00:00+00:00,2014-08-18 13:00:00+00:00,1.095775,1.1010934128571428,1.4701242739380775,0.007350621369690388,13,TP2,True
ES,C,long,BULL_STRONG,2014-09-10 02:00:00+00:00,2014-09-12 14:00:00+00:00,1986.875,1986.5,0.5498892067415501,0.0027494460337077506,15,BE_STOP,True
AUDNZD,C,long,BULL_STRONG,2014-09-10 09:00:00+00:00,2014-09-11 01:00:00+00:00,1.11228,1.1183094308510642,1.5243136907503336,0.007621568453751669,4,TP2,True
YM,C,long,BULL_STRONG,2014-09-15 02:00:00+00:00,2014-09-16 02:00:00+00:00,16942.5,16941.0,1.0018453588338687,0.0050092267941693434,6,BE_STOP,True
ES,C,long,BULL_STRONG,2014-09-15 02:00:00+00:00,2014-09-16 10:00:00+00:00,1978.375,1970.6387034161492,-1.0724424011348603,-0.005362212005674302,8,SL,False
NQ,C,long,BULL_STRONG,2014-09-15 14:00:00+00:00,2014-09-17 22:00:00+00:00,4021.375,4069.4282608695653,2.4224719632617333,0.012112359816308666,14,TP2,True
YM,C,long,BULL_STRONG,2014-09-16 02:00:00+00:00,2014-09-16 10:00:00+00:00,16945.5,16893.114285714288,-1.0561186973610353,-0.005280593486805176,2,SL,False
YM,C,long,BULL_STRONG,2014-09-16 10:00:00+00:00,2014-09-17 10:00:00+00:00,16945.5,17077.646739130432,2.107238915496648,0.01053619457748324,6,TP2,True
ES,C,long,BULL_STRONG,2014-09-16 10:00:00+00:00,2014-09-17 18:00:00+00:00,1978.875,2002.8638586956522,2.5379455883836344,0.012689727941918172,8,TP2,True
ES,C,long,BULL_STRONG,2014-09-22 14:00:00+00:00,2014-09-23 06:00:00+00:00,1985.875,1978.2675077639751,-1.0738154957624158,-0.005369077478812079,4,SL,False
ES,C,long,BULL_STRONG,2014-09-23 06:00:00+00:00,2014-09-23 18:00:00+00:00,1980.875,1972.8005046583853,-1.069286359213268,-0.00534643179606634,3,SL,False
ES,C,long,BULL_STRONG,2014-09-23 22:00:00+00:00,2014-09-25 14:00:00+00:00,1975.375,1966.7263586956524,-1.0644250796466006,-0.0053221253982330035,10,SL,False
YM,C,long,BULL_STRONG,2014-09-25 14:00:00+00:00,2014-09-29 10:00:00+00:00,16873.5,16872.0,1.0395254758413202,0.005197627379206601,11,BE_STOP,True
NQ,C,long,BULL_STRONG,2014-09-25 22:00:00+00:00,2014-10-01 14:00:00+00:00,4012.375,3990.8353260869567,-1.0328845132629743,-0.005164422566314871,22,SL,False
YM,C,long,BULL_STRONG,2014-09-29 10:00:00+00:00,2014-10-01 10:00:00+00:00,16899.5,16898.0,0.8699576626380017,0.004349788313190008,12,BE_STOP,True
ES,C,long,BULL_STRONG,2014-12-08 23:00:00+00:00,2014-12-09 11:00:00+00:00,2056.125,2048.5476190476193,-1.0749043966942171,-0.005374521983471086,3,SL,False
USDCHF,C,long,BULL_STRONG,2015-02-24 02:00:00+00:00,2015-02-26 10:00:00+00:00,0.95023,0.945004065349544,-1.0551082167634092,-0.005275541083817046,14,SL,False
GBPCHF,C,short,BEAR_STRONG,2015-04-01 01:00:00+00:00,2015-04-02 09:00:00+00:00,1.4406349999999999,1.424964862244898,1.5650227772133585,0.007825113886066793,8,TP2,True
GBPCHF,C,short,BEAR_STRONG,2015-04-08 21:00:00+00:00,2015-04-13 09:00:00+00:00,1.438,1.43817,0.6057391265707726,0.0030286956328538627,15,BE_STOP,True
GBPCHF,C,short,BEAR_STRONG,2015-04-13 09:00:00+00:00,2015-04-14 17:00:00+00:00,1.437975,1.438145,0.5732517468112202,0.0028662587340561006,8,BE_STOP,True
GBPCHF,C,short,BEAR_STRONG,2015-04-15 09:00:00+00:00,2015-04-16 05:00:00+00:00,1.439435,1.439605,0.7029960869157689,0.0035149804345788443,5,BE_STOP,True
GBPCHF,C,short,BEAR_STRONG,2015-04-16 05:00:00+00:00,2015-04-17 13:00:00+00:00,1.4386349999999999,1.4255630765306122,1.819766878947661,0.009098834394738306,8,TP2,True
NZDCHF,C,long,BULL_STRONG,2015-11-09 02:00:00+00:00,2015-11-09 06:00:00+00:00,0.659135,0.6558111361607143,-1.0831611361064348,-0.005415805680532174,1,SL,False
NZDCHF,C,long,BULL_STRONG,2015-11-09 10:00:00+00:00,2015-11-12 14:00:00+00:00,0.65689,0.6532301183035715,-1.1180454341537143,-0.005590227170768572,19,SL,False
ES,C,long,BULL_STRONG,2015-11-12 19:00:00+00:00,2015-11-13 15:00:00+00:00,2040.875,2030.2205729166665,-1.0523638132394284,-0.005261819066197142,5,SL,False
YM,C,long,BULL_STRONG,2015-11-12 19:00:00+00:00,2015-11-13 11:00:00+00:00,17401.5,17317.284672619047,-1.0349647410168623,-0.0051748237050843115,4,SL,False
NQ,C,long,BULL_STRONG,2015-11-16 03:00:00+00:00,2015-11-18 19:00:00+00:00,4481.125,4633.749851190477,5.553890226016452,0.027769451130082258,16,TP2,True
EURGBP,C,short,BEAR_STRONG,2016-05-02 01:00:00+00:00,2016-05-03 05:00:00+00:00,0.784785,0.7878327119565217,-1.079879398450234,-0.00539939699225117,7,SL,False
GBPCHF,C,long,BULL_STRONG,2016-05-02 01:00:00+00:00,2016-05-03 05:00:00+00:00,1.40104,1.3957558618012422,-1.0813715984642496,-0.005406857992321248,7,SL,False
GBPCHF,C,long,BULL_STRONG,2016-05-09 01:00:00+00:00,2016-05-09 05:00:00+00:00,1.40195,1.3975333338509315,-1.086249539554773,-0.005431247697773866,1,SL,False
GBPCHF,C,long,BULL_STRONG,2016-05-09 05:00:00+00:00,2016-05-17 01:00:00+00:00,1.39878,1.4149715310559006,2.2398138368270195,0.011199069184135099,35,TP2,True
EURGBP,C,short,BEAR_STRONG,2016-05-17 13:00:00+00:00,2016-05-18 13:00:00+00:00,0.782835,0.7762243035714286,1.9755723471402757,0.009877861735701378,6,TP2,True
