instrument,model,side,bias,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
EURCAD,C,long,BULL_STRONG,2013-02-06 14:00:00+00:00,2013-02-07 10:00:00+00:00,1.34726,1.3419235357142858,-1.0694123447231836,-0.005347061723615918,5,SL,False
EURCHF,C,short,BEAR_STRONG,2013-02-06 14:00:00+00:00,2013-02-11 18:00:00+00:00,1.22947,1.2341086224489797,-1.0429944131986075,-0.0052149720659930374,19,SL,False
EURCAD,C,long,BULL_STRONG,2013-02-07 14:00:00+00:00,2013-02-14 06:00:00+00:00,1.338655,1.338485,1.4059745132695127,0.007029872566347564,28,BE_STOP,True
CADCHF,A,short,BEAR_STRONG,2013-02-07 14:00:00+00:00,2013-02-14 06:00:00+00:00,0.91843,0.9186,0.8398770196954914,0.004199385098477457,28,BE_STOP,True
EURGBP,C,long,BULL_STRONG,2013-02-11 02:00:00+00:00,2013-02-11 22:00:00+00:00,0.846835,0.8562035637755103,2.5344899970121273,0.012672449985060636,5,TP2,True
EURCAD,C,long,BULL_STRONG,2013-02-14 10:00:00+00:00,2013-02-19 22:00:00+00:00,1.334855,1.3585824642857145,4.086799048047561,0.020433995240237805,21,TP2,True
NZDUSD,A,long,BULL_STRONG,2013-02-19 10:00:00+00:00,2013-02-20 10:00:00+00:00,0.84402,0.8377633999999999,-1.0386214121233797,-0.005193107060616898,6,SL,False
EURCAD,C,long,BULL_STRONG,2013-02-21 06:00:00+00:00,2013-02-25 10:00:00+00:00,1.344925,1.3582038928571432,2.363933756756695,0.011819668783783474,13,TP2,True
EURCHF,C,short,BEAR_STRONG,2013-02-21 14:00:00+00:00,2013-02-25 14:00:00+00:00,1.2296,1.232134030612245,-1.1024284536527438,-0.005512142268263719,12,SL,False
EURCHF,C,short,BEAR_STRONG,2013-02-25 14:00:00+00:00,2013-03-06 02:00:00+00:00,1.22606,1.2293591836734694,-1.0133096693406385,-0.005066548346703193,39,SL,False
EURCAD,C,long,BULL_STRONG,2013-02-25 18:00:00+00:00,2013-03-01 14:00:00+00:00,1.34039,1.3342095714285716,-1.0844622964846842,-0.005422311482423421,23,SL,False
CL,C,short,BEAR_STRONG,2013-03-18 14:00:00+00:00,2013-03-19 18:00:00+00:00,93.915,92.42175649350649,1.8361598667878536,0.009180799333939269,7,TP2,True
AUDCHF,A,short,BEAR_STRONG,2013-06-17 21:00:00+00:00,2013-06-19 17:00:00+00:00,0.88257,0.8623676000000001,2.308349605866649,0.011541748029333245,11,TP2,True
GBPUSD,C,long,BULL_STRONG,2013-06-25 13:00:00+00:00,2013-06-26 05:00:00+00:00,1.5427300000000002,1.5373620907142858,-1.0579741301784684,-0.005289870650892342,4,SL,False
NZDCHF,A,short,BEAR_STRONG,2013-06-26 17:00:00+00:00,2013-06-27 09:00:00+00:00,0.73464,0.7415002666666668,-1.0407830679394938,-0.005203915339697469,4,SL,False
EURNZD,A,long,BULL_STRONG,2013-06-26 21:00:00+00:00,2013-06-27 09:00:00+00:00,1.67374,1.6602524892857142,-1.0303602984577502,-0.0051518014922887516,3,SL,False
EURNZD,A,long,BULL_STRONG,2013-06-27 13:00:00+00:00,2013-07-04 09:00:00+00:00,1.675305,1.660184275,-1.0404356778684647,-0.005202178389342323,29,SL,False
NZDCHF,A,short,BEAR_STRONG,2013-06-27 13:00:00+00:00,2013-07-04 09:00:00+00:00,0.73537,0.7413609809523811,-1.0125325611948897,-0.0050626628059744485,29,SL,False
GBPUSD,A,short,BEAR_STRONG,2013-07-15 09:00:00+00:00,2013-07-17 05:00:00+00:00,1.5099649999999998,1.519579166666667,-1.0284954169218796,-0.005142477084609398,11,SL,False
USDCHF,A,long,BULL_STRONG,2013-07-15 09:00:00+00:00,2013-07-16 13:00:00+00:00,0.949735,0.9404549999999999,-1.0275258868335184,-0.005137629434167592,7,SL,False
EURGBP,A,long,BULL_STRONG,2013-07-24 05:00:00+00:00,2013-07-25 05:00:00+00:00,0.861605,0.8594584488095237,-1.1723328500882044,-0.005861664250441022,6,SL,False
AUDJPY,A,short,BEAR_STRONG,2013-08-26 05:00:00+00:00,2013-08-27 17:00:00+00:00,88.917,86.95434333333333,2.468378911644709,0.012341894558223545,9,TP2,True
AUDNZD,A,long,BULL_STRONG,2013-09-09 21:00:00+00:00,2013-09-11 21:00:00+00:00,1.151965,1.1474285404761904,-1.0987699754568514,-0.005493849877284257,12,SL,False
EURJPY,A,long,BULL_STRONG,2013-09-16 01:00:00+00:00,2013-09-19 05:00:00+00:00,132.237,133.70980000000006,1.826961348955025,0.009134806744775124,19,TP2,True
CADJPY,A,long,BULL_STRONG,2013-09-17 05:00:00+00:00,2013-09-18 17:00:00+00:00,96.176,95.73301166666667,-1.0832526086395067,-0.005416263043197533,9,SL,False
CADJPY,A,long,BULL_STRONG,2013-09-24 01:00:00+00:00,2013-09-24 13:00:00+00:00,96.0855,95.70876642857142,-1.084651454350131,-0.005423257271750656,3,SL,False
GBPJPY,A,long,BULL_STRONG,2013-09-24 17:00:00+00:00,2013-09-29 21:00:00+00:00,158.047,158.03,0.587046663712638,0.0029352333185631903,19,BE_STOP,True
AUDJPY,A,long,BULL_STRONG,2013-09-24 17:00:00+00:00,2013-09-25 05:00:00+00:00,92.75,92.14332,-1.0508496133496061,-0.005254248066748031,3,SL,False
AUDJPY,A,long,BULL_STRONG,2013-09-26 05:00:00+00:00,2013-09-27 05:00:00+00:00,92.76599999999999,92.13275,-1.0567744259634828,-0.005283872129817414,6,SL,False
AUDUSD,A,long,BULL_STRONG,2013-09-26 17:00:00+00:00,2013-09-27 09:00:00+00:00,0.936605,0.9303044166666666,-1.0356044976988261,-0.005178022488494131,4,SL,False
GBPAUD,A,long,BULL_STRONG,2013-11-19 10:00:00+00:00,2013-11-21 06:00:00+00:00,1.710595,1.7317750000000003,1.8992746290762572,0.009496373145381286,11,TP2,True
GBPCHF,A,long,BULL_STRONG,2013-11-26 06:00:00+00:00,2013-11-29 14:00:00+00:00,1.47082,1.4828472,2.416975308983457,0.012084876544917285,20,TP2,True
EURAUD,A,long,BULL_STRONG,2013-12-02 14:00:00+00:00,2013-12-05 06:00:00+00:00,1.48869,1.5099556,2.030489013086015,0.010152445065430076,16,TP2,True
GBPAUD,A,long,BULL_STRONG,2013-12-10 22:00:00+00:00,2013-12-12 10:00:00+00:00,1.79962,1.821569666666667,1.9112805873436258,0.009556402936718129,9,TP2,True
NQ,A,long,BULL_STRONG,2013-12-16 07:00:00+00:00,2013-12-18 15:00:00+00:00,3474.125,3449.375,-1.0267868717948718,-0.0051339343589743595,14,SL,False
GBPCHF,A,short,BEAR_STRONG,2013-12-23 10:00:00+00:00,2013-12-26 10:00:00+00:00,1.461355,1.4715675,-1.0273427632561618,-0.005136713816280809,12,SL,False
AUDNZD,A,short,BEAR_STRONG,2014-01-20 06:00:00+00:00,2014-01-30 02:00:00+00:00,1.067145,1.067315,1.225301330711212,0.00612650665355606,47,BE_STOP,True
CL,A,short,BEAR_STRONG,2014-01-20 07:00:00+00:00,2014-01-21 07:00:00+00:00,93.965,94.80709999999999,-1.0272242775964224,-0.005136121387982112,5,SL,False
GBPUSD,A,long,BULL_STRONG,2014-01-27 02:00:00+00:00,2014-01-31 14:00:00+00:00,1.65125,1.6435024214285712,-1.0576128597160224,-0.005288064298580112,27,SL,False
AUDCAD,A,long,BULL_STRONG,2014-02-18 22:00:00+00:00,2014-02-21 06:00:00+00:00,0.986185,1.0023757000000002,2.6809188114923344,0.013404594057461671,14,TP2,True
USDJPY,A,short,BEAR_STRONG,2014-02-26 06:00:00+00:00,2014-02-26 14:00:00+00:00,102.321,102.61280000000001,-1.08247857142857,-0.005412392857142851,2,SL,False
GBPCAD,A,long,BULL_STRONG,2014-03-12 17:00:00+00:00,2014-03-13 17:00:00+00:00,1.84803,1.8419795095238096,-1.0814088896050955,-0.005407044448025478,6,SL,False
EURCHF,A,short,BEAR_STRONG,2014-03-18 05:00:00+00:00,2014-03-18 13:00:00+00:00,1.2154449999999999,1.2174246666666666,-1.187969589242952,-0.00593984794621476,2,SL,False
NZDCHF,A,long,BULL_STRONG,2014-04-21 13:00:00+00:00,2014-04-23 05:00:00+00:00,0.757655,0.757485,0.5877885405004831,0.0029389427025024156,10,BE_STOP,True
GBPAUD,A,short,BEAR_STRONG,2014-04-22 01:00:00+00:00,2014-04-23 01:00:00+00:00,1.79585,1.8015806333333333,-1.06679436994587,-0.00533397184972935,6,SL,False
AUDJPY,A,long,BULL_STRONG,2014-04-29 05:00:00+00:00,2014-05-05 01:00:00+00:00,95.035,94.512,-1.089535375494063,-0.005447676877470315,23,SL,False
