instrument,model,side,bias,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
EURCHF,C,short,BEAR_STRONG,2013-02-06 14:00:00+00:00,2013-02-11 18:00:00+00:00,1.22947,1.2341086224489797,-1.0429944131986075,-0.0052149720659930374,19,SL,False
EURCAD,C,long,BULL_STRONG,2013-02-06 14:00:00+00:00,2013-02-07 10:00:00+00:00,1.34726,1.3419235357142858,-1.0694123447231836,-0.005347061723615918,5,SL,False
CADCHF,A,short,BEAR_STRONG,2013-02-07 14:00:00+00:00,2013-02-14 06:00:00+00:00,0.91843,0.9186,0.8398770196954914,0.004199385098477457,28,BE_STOP,True
EURCAD,C,long,BULL_STRONG,2013-02-07 14:00:00+00:00,2013-02-14 06:00:00+00:00,1.338655,1.338485,1.4059745132695127,0.007029872566347564,28,BE_STOP,True
EURGBP,C,long,BULL_STRONG,2013-02-11 02:00:00+00:00,2013-02-11 22:00:00+00:00,0.846835,0.8562035637755103,2.5344899970121273,0.012672449985060636,5,TP2,True
EURCAD,C,long,BULL_STRONG,2013-02-14 10:00:00+00:00,2013-02-19 22:00:00+00:00,1.334855,1.3585824642857145,4.086799048047561,0.020433995240237805,21,TP2,True
NZDUSD,A,long,BULL_STRONG,2013-02-19 10:00:00+00:00,2013-02-20 10:00:00+00:00,0.84402,0.8377633999999999,-1.0386214121233797,-0.005193107060616898,6,SL,False
AUDCAD,B,short,NEUTRAL,2013-02-20 10:00:00+00:00,2013-02-22 06:00:00+00:00,1.04663,1.0502080357142856,-1.078205811894161,-0.005391029059470805,11,SL,False
EURCAD,C,long,BULL_STRONG,2013-02-21 06:00:00+00:00,2013-02-25 10:00:00+00:00,1.344925,1.3582038928571432,2.363933756756695,0.011819668783783474,13,TP2,True
EURCHF,C,short,BEAR_STRONG,2013-02-21 14:00:00+00:00,2013-02-25 14:00:00+00:00,1.2296,1.232134030612245,-1.1024284536527438,-0.005512142268263719,12,SL,False
EURCHF,C,short,BEAR_STRONG,2013-02-25 14:00:00+00:00,2013-03-06 02:00:00+00:00,1.22606,1.2293591836734694,-1.0133096693406385,-0.005066548346703193,39,SL,False
EURCAD,C,long,BULL_STRONG,2013-02-25 18:00:00+00:00,2013-03-01 14:00:00+00:00,1.34039,1.3342095714285716,-1.0844622964846842,-0.005422311482423421,23,SL,False
EURUSD,B,long,NEUTRAL,2013-02-27 06:00:00+00:00,2013-03-01 10:00:00+00:00,1.3084950000000002,1.300784821428571,-1.0437246052539246,-0.005218623026269623,13,SL,False
CADCHF,B,short,NEUTRAL,2013-03-04 06:00:00+00:00,2013-03-07 02:00:00+00:00,0.916425,0.9199433928571429,-1.0592222921444203,-0.005296111460722102,17,SL,False
NZDJPY,B,short,NEUTRAL,2013-03-13 09:00:00+00:00,2013-03-14 13:00:00+00:00,79.071,79.088,0.5956981193740437,0.0029784905968702185,7,BE_STOP,True
NZDCAD,B,long,NEUTRAL,2013-03-14 13:00:00+00:00,2013-03-28 13:00:00+00:00,0.84136,0.850015,1.5566235442110072,0.007783117721055036,60,TIME,True
CL,C,short,BEAR_STRONG,2013-03-18 14:00:00+00:00,2013-03-19 18:00:00+00:00,93.915,92.42175649350649,1.8361598667878536,0.009180799333939269,7,TP2,True
AUDCHF,B,long,NEUTRAL,2013-04-08 09:00:00+00:00,2013-04-15 01:00:00+00:00,0.973085,0.972915,0.5590755945912483,0.0027953779729562415,28,BE_STOP,True
CADCHF,B,long,NEUTRAL,2013-04-08 21:00:00+00:00,2013-04-15 01:00:00+00:00,0.91725,0.9129428571428571,-1.1204732389502743,-0.005602366194751371,25,SL,False
GBPCAD,B,short,NEUTRAL,2013-04-10 05:00:00+00:00,2013-04-15 01:00:00+00:00,1.554765,1.5605876785714285,-1.050890404675407,-0.005254452023377035,17,SL,False
EURAUD,B,short,NEUTRAL,2013-04-17 09:00:00+00:00,2013-04-23 01:00:00+00:00,1.27039,1.276562857142857,-1.0329600713945744,-0.005164800356972872,22,SL,False
EURCHF,B,short,NEUTRAL,2013-04-25 13:00:00+00:00,2013-05-07 05:00:00+00:00,1.230025,1.230195,0.6598751627225501,0.0032993758136127503,46,BE_STOP,True
USDJPY,B,long,NEUTRAL,2013-05-01 05:00:00+00:00,2013-05-09 17:00:00+00:00,97.613,99.75710312499999,2.474576015999212,0.012372880079996061,39,TP2,True
USDCHF,B,long,NEUTRAL,2013-05-02 05:00:00+00:00,2013-05-09 17:00:00+00:00,0.9278200000000001,0.9440106562499999,3.9992501631556294,0.019996250815778147,33,TP2,True
EURGBP,B,short,NEUTRAL,2013-05-23 05:00:00+00:00,2013-05-24 05:00:00+00:00,0.85548,0.8575341071428572,-1.1272577310207583,-0.005636288655103792,6,SL,False
NZDJPY,B,long,NEUTRAL,2013-05-27 21:00:00+00:00,2013-05-29 05:00:00+00:00,82.0115,81.9945,0.6560834014350412,0.003280417007175206,8,BE_STOP,True
AUDCHF,A,short,BEAR_STRONG,2013-06-17 21:00:00+00:00,2013-06-19 17:00:00+00:00,0.88257,0.8623676000000001,2.308349605866649,0.011541748029333245,11,TP2,True
GBPUSD,C,long,BULL_STRONG,2013-06-25 13:00:00+00:00,2013-06-26 05:00:00+00:00,1.5427300000000002,1.5373620907142858,-1.0579741301784684,-0.005289870650892342,4,SL,False
NZDCHF,A,short,BEAR_STRONG,2013-06-26 17:00:00+00:00,2013-06-27 09:00:00+00:00,0.73464,0.7415002666666668,-1.0407830679394938,-0.005203915339697469,4,SL,False
EURNZD,A,long,BULL_STRONG,2013-06-26 21:00:00+00:00,2013-06-27 09:00:00+00:00,1.67374,1.6602524892857142,-1.0303602984577502,-0.0051518014922887516,3,SL,False
NZDCHF,A,short,BEAR_STRONG,2013-06-27 13:00:00+00:00,2013-07-04 09:00:00+00:00,0.73537,0.7413609809523811,-1.0125325611948897,-0.0050626628059744485,29,SL,False
EURNZD,A,long,BULL_STRONG,2013-06-27 13:00:00+00:00,2013-07-04 09:00:00+00:00,1.675305,1.660184275,-1.0404356778684647,-0.005202178389342323,29,SL,False
CADJPY,B,short,NEUTRAL,2013-07-02 01:00:00+00:00,2013-07-02 13:00:00+00:00,94.72850000000001,95.23253571428572,-1.0621350531641778,-0.005310675265820889,3,SL,False
EURJPY,B,short,NEUTRAL,2013-07-02 05:00:00+00:00,2013-07-02 13:00:00+00:00,129.903,130.89199999999997,-1.0362000205761284,-0.005181000102880642,2,SL,False
CADJPY,B,short,NEUTRAL,2013-07-04 05:00:00+00:00,2013-07-05 09:00:00+00:00,94.849,95.52355357142856,-1.0384438030578655,-0.005192219015289328,7,SL,False
EURJPY,B,short,NEUTRAL,2013-07-04 05:00:00+00:00,2013-07-09 05:00:00+00:00,129.583,130.56199999999998,-1.0209372349272308,-0.005104686174636154,18,SL,False
AUDCAD,B,long,NEUTRAL,2013-07-04 05:00:00+00:00,2013-07-11 13:00:00+00:00,0.9595,0.9514133928571429,-1.0700211580538206,-0.005350105790269103,32,SL,False
ES,B,short,NEUTRAL,2013-07-10 06:00:00+00:00,2013-07-10 18:00:00+00:00,1643.375,1651.6785714285713,-1.0638790990990998,-0.005319395495495499,3,SL,False
AUDCHF,B,long,NEUTRAL,2013-07-15 01:00:00+00:00,2013-07-29 01:00:00+00:00,0.861925,0.859575,-0.3174094980061515,-0.0015870474900307574,60,TIME,False
GBPUSD,A,short,BEAR_STRONG,2013-07-15 09:00:00+00:00,2013-07-17 05:00:00+00:00,1.5099649999999998,1.519579166666667,-1.0284954169218796,-0.005142477084609398,11,SL,False
USDCHF,A,long,BULL_STRONG,2013-07-15 09:00:00+00:00,2013-07-16 13:00:00+00:00,0.949735,0.9404549999999999,-1.0275258868335184,-0.005137629434167592,7,SL,False
EURGBP,A,long,BULL_STRONG,2013-07-24 05:00:00+00:00,2013-07-25 05:00:00+00:00,0.861605,0.8594584488095237,-1.1723328500882044,-0.005861664250441022,6,SL,False
EURNZD,B,short,NEUTRAL,2013-08-01 09:00:00+00:00,2013-08-01 13:00:00+00:00,1.672365,1.6789798214285714,-1.0627063301100017,-0.005313531650550009,1,SL,False
CHFJPY,B,short,NEUTRAL,2013-08-05 01:00:00+00:00,2013-08-07 05:00:00+00:00,106.21300000000001,104.39354,2.065691260983728,0.01032845630491864,13,TP2,True
CL,B,short,NEUTRAL,2013-08-15 10:00:00+00:00,2013-08-25 22:00:00+00:00,107.155,107.17,0.7460398816178854,0.003730199408089427,39,BE_STOP,True
AUDJPY,A,short,BEAR_STRONG,2013-08-26 05:00:00+00:00,2013-08-27 17:00:00+00:00,88.917,86.95434333333333,2.468378911644709,0.012341894558223545,9,TP2,True
GBPAUD,B,long,NEUTRAL,2013-09-05 05:00:00+00:00,2013-09-06 09:00:00+00:00,1.709295,1.6959324999999998,-1.034815334470343,-0.005174076672351715,7,SL,False
NZDUSD,B,short,NEUTRAL,2013-09-09 01:00:00+00:00,2013-09-10 01:00:00+00:00,0.79799,0.8033603571428571,-1.0325202624281433,-0.005162601312140717,6,SL,False
AUDNZD,A,long,BULL_STRONG,2013-09-09 21:00:00+00:00,2013-09-11 21:00:00+00:00,1.151965,1.1474285404761904,-1.0987699754568514,-0.005493849877284257,12,SL,False
ES,B,short,NEUTRAL,2013-09-12 14:00:00+00:00,2013-09-15 22:00:00+00:00,1685.375,1692.7232142857142,-1.0731126248399494,-0.005365563124199747,8,SL,False
EURJPY,A,long,BULL_STRONG,2013-09-16 01:00:00+00:00,2013-09-19 05:00:00+00:00,132.237,133.70980000000006,1.826961348955025,0.009134806744775124,19,TP2,True
CADJPY,A,long,BULL_STRONG,2013-09-17 05:00:00+00:00,2013-09-18 17:00:00+00:00,96.176,95.73301166666667,-1.0832526086395067,-0.005416263043197533,9,SL,False
CADCHF,B,long,NEUTRAL,2013-09-23 05:00:00+00:00,2013-09-27 05:00:00+00:00,0.88565,0.8799308928571429,-1.0890217087691072,-0.005445108543845536,24,SL,False
EURCAD,B,short,NEUTRAL,2013-09-23 05:00:00+00:00,2013-09-27 09:00:00+00:00,1.391815,1.3985473214285713,-1.025121308334922,-0.00512560654167461,25,SL,False
CADJPY,A,long,BULL_STRONG,2013-09-24 01:00:00+00:00,2013-09-24 13:00:00+00:00,96.0855,95.70876642857142,-1.084651454350131,-0.005423257271750656,3,SL,False
AUDJPY,A,long,BULL_STRONG,2013-09-24 17:00:00+00:00,2013-09-25 05:00:00+00:00,92.75,92.14332,-1.0508496133496061,-0.005254248066748031,3,SL,False
