n,win_rate,avg_r,pf,sum_r,cell,monthly_turnover
1032,0.486,0.845,2.69,872.0,rank|1M|top3,2.29
1871,0.472,0.78,2.51,1458.6,rank|1M|top5,2.85
2613,0.447,0.68,2.25,1778.1,rank|1M|top8,2.24
1032,0.486,0.845,2.69,872.0,rank|3M|top3,1.64
1558,0.454,0.721,2.35,1122.8,rank|3M|top5,1.91
2686,0.46,0.732,2.38,1967.3,rank|3M|top8,1.64
792,0.426,0.572,2.01,452.7,rank|6M|top3,1.18
1427,0.443,0.635,2.16,906.2,rank|6M|top5,1.48
2500,0.453,0.697,2.29,1741.3,rank|6M|top8,1.12
924,0.471,0.791,2.53,731.2,rank|blend|top3,1.8
1559,0.468,0.76,2.46,1184.8,rank|blend|top5,1.8
2482,0.452,0.693,2.29,1721.3,rank|blend|top8,1.41
2686,0.46,0.732,2.38,1967.3,RS>3M|market,2.37
1396,0.473,0.779,2.51,1087.7,RS>blend|market,1.19
4925,0.412,0.543,1.94,2673.6,no_sector_filter,
