instrument,model,side,bias,quintile,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
HBI,S3,long,RISK_ON,1,2013-08-15 00:00:00+00:00,2013-08-16 00:00:00+00:00,15.162647499999999,14.930246428571428,-1.0,-0.005,1,SL,False
TMO,S3,long,RISK_ON,1,2013-08-15 00:00:00+00:00,2013-08-16 00:00:00+00:00,91.39129999999999,90.52111071428571,-1.0,-0.005,1,SL,False
NOC,S3,long,RISK_ON,1,2013-08-15 00:00:00+00:00,2013-08-28 00:00:00+00:00,93.88378999999999,92.75160357142857,-1.0,-0.005,9,SL,False
RTN,S3,long,RISK_ON,1,2013-08-15 00:00:00+00:00,2013-08-27 00:00:00+00:00,75.67559999999999,75.67559999999999,0.5335137732537201,0.0026675688662686,8,STOP_AFTER_TP1,True
ETFC,S3,long,RISK_ON,1,2013-08-15 00:00:00+00:00,2013-08-27 00:00:00+00:00,14.564549999999999,14.282053571428571,-1.0,-0.005,8,SL,False
AKAM,S3,long,RISK_ON,1,2013-08-15 00:00:00+00:00,2013-10-08 00:00:00+00:00,46.23618999999999,50.0,3.437916915035862,0.01718958457517931,37,EMA_TRAIL,True
PCLN,S3,long,RISK_ON,1,2013-08-15 00:00:00+00:00,2013-10-08 00:00:00+00:00,939.7287899999999,998.13,2.6406659034144595,0.013203329517072298,37,EMA_TRAIL,True
FB,S3,long,RISK_ON,1,2013-08-15 00:00:00+00:00,2013-10-08 00:00:00+00:00,36.59656,47.14,3.762228766719318,0.01881114383359659,37,EMA_TRAIL,True
LB,S3,long,RISK_ON,1,2013-08-15 00:00:00+00:00,2013-08-16 00:00:00+00:00,60.130069999999996,59.096071428571435,-1.0,-0.005,1,SL,False
BWA,S3,long,RISK_ON,1,2013-08-15 00:00:00+00:00,2013-08-27 00:00:00+00:00,48.20815999999999,47.36517857142857,-1.0,-0.005,8,SL,False
BSX,S3,long,RISK_ON,1,2013-08-15 00:00:00+00:00,2013-08-27 00:00:00+00:00,11.011,10.798571428571428,-1.0,-0.005,8,SL,False
NFLX,S3,long,RISK_ON,1,2013-08-15 00:00:00+00:00,2013-10-08 00:00:00+00:00,36.237601399999996,43.1885,6.488680863349023,0.03244340431674512,37,EMA_TRAIL,True
