instrument,model,side,bias,quintile,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
TSS,S3,long,RISK_ON,3,2013-08-15 00:00:00+00:00,2013-08-27 00:00:00+00:00,28.138109999999998,27.82,-1.0,-0.005,8,SL,False
STZ,S3,long,RISK_ON,3,2013-08-15 00:00:00+00:00,2013-09-27 00:00:00+00:00,53.66360999999999,56.98,3.7218654706825296,0.018609327353412648,30,EMA_TRAIL,True
SLB,S3,long,RISK_ON,3,2013-08-15 00:00:00+00:00,2013-08-19 00:00:00+00:00,82.07198999999999,80.87214642857143,-1.0,-0.005,2,SL,False
CHK,S3,long,RISK_ON,3,2013-08-15 00:00:00+00:00,2013-09-27 00:00:00+00:00,25.014989999999997,26.21,1.2877302584312664,0.006438651292156332,30,EMA_TRAIL,True
AOS,S3,long,RISK_ON,3,2013-08-15 00:00:00+00:00,2013-08-28 00:00:00+00:00,21.046024999999997,21.046024999999997,0.5125927386930917,0.002562963693465459,9,STOP_AFTER_TP1,True
JEC,S3,long,RISK_ON,3,2013-08-15 00:00:00+00:00,2013-08-20 00:00:00+00:00,61.14107999999999,59.74932142857143,-1.0,-0.005,3,SL,False
MHK,S1,long,DEFENSIVE,3,2013-09-06 00:00:00+00:00,2013-10-07 00:00:00+00:00,121.50137999999998,127.41,0.8390423771098112,0.004195211885549056,21,EMA_TRAIL,True
FCX,S2,long,RISK_ON,3,2013-09-11 00:00:00+00:00,2013-11-27 00:00:00+00:00,32.862829999999995,34.68,0.8435245536913301,0.004217622768456651,55,SMA50_BREAK,False
ADSK,S3,long,RISK_ON,3,2013-09-12 00:00:00+00:00,2013-10-08 00:00:00+00:00,37.91788,40.39,4.460330070655587,0.022301650353277937,18,EMA_TRAIL,True
RE,S3,long,RISK_ON,3,2013-09-12 00:00:00+00:00,2013-10-24 00:00:00+00:00,138.24811,147.87,4.27252667955372,0.0213626333977686,30,EMA_TRAIL,True
DVN,S3,long,RISK_ON,3,2013-09-13 00:00:00+00:00,2013-09-27 00:00:00+00:00,58.448389999999996,58.448389999999996,0.6166437352532305,0.0030832186762661524,10,STOP_AFTER_TP1,True
NUE,S2,long,RISK_ON,3,2013-09-17 00:00:00+00:00,2013-10-09 00:00:00+00:00,49.51946999999999,47.64313214285714,-1.0,-0.005,16,SL,False
APC,S3,long,RISK_ON,3,2013-09-17 00:00:00+00:00,2013-10-08 00:00:00+00:00,93.76366999999999,91.89750000000001,-1.0,-0.005,15,SL,False
SNPS,S2,long,RISK_ON,3,2013-09-18 00:00:00+00:00,2013-10-07 00:00:00+00:00,37.99796,37.0,-0.8505173498005444,-0.004252586749002722,13,SMA50_BREAK,False
MMM,S2,long,RISK_ON,3,2013-09-18 00:00:00+00:00,2013-10-08 00:00:00+00:00,121.41129,117.30316785714285,-1.0,-0.005,14,SL,False
FLS,S3,long,RISK_ON,3,2013-09-23 00:00:00+00:00,2013-09-30 00:00:00+00:00,62.60253999999999,61.293571428571425,-1.0,-0.005,5,SL,False
HES,S3,long,RISK_ON,3,2013-09-23 00:00:00+00:00,2013-09-30 00:00:00+00:00,78.60852999999999,76.85053571428573,-1.0,-0.005,5,SL,False
NOV,S3,long,RISK_ON,3,2013-09-23 00:00:00+00:00,2013-09-30 00:00:00+00:00,78.57849999999999,77.73286071428572,-1.0,-0.005,5,SL,False
MSFT,S3,long,RISK_ON,3,2013-09-23 00:00:00+00:00,2013-09-24 00:00:00+00:00,32.77274,32.21460714285714,-1.0,-0.005,1,SL,False
TSCO,S3,long,RISK_ON,3,2013-09-23 00:00:00+00:00,2013-10-08 00:00:00+00:00,64.98992499999999,65.49,0.7787572542476326,0.003893786271238163,11,EMA_TRAIL,True
ROST,S3,long,RISK_ON,3,2013-09-23 00:00:00+00:00,2013-10-08 00:00:00+00:00,35.870835,35.870835,0.41237957773561856,0.002061897888678093,11,STOP_AFTER_TP1,True
RMD,S3,long,RISK_ON,3,2013-09-23 00:00:00+00:00,2013-10-08 00:00:00+00:00,52.87282,52.87282,0.7069971364654168,0.003534985682327084,11,STOP_AFTER_TP1,True
MRO,S3,long,RISK_ON,3,2013-09-24 00:00:00+00:00,2013-09-25 00:00:00+00:00,35.60556999999999,35.46,-0.2367409809861816,-0.001183704904930908,1,SMA50_BREAK,False
PKI,S3,long,RISK_ON,3,2013-09-24 00:00:00+00:00,2013-10-02 00:00:00+00:00,37.85782,37.32250357142858,-1.0,-0.005,6,SL,False
