instrument,model,side,bias,quintile,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
EW,S3,long,RISK_ON,5,2013-08-15 00:00:00+00:00,2013-08-16 00:00:00+00:00,35.690655,34.96346785714285,-1.0,-0.005,1,SL,False
WMB,S3,long,RISK_ON,5,2013-08-15 00:00:00+00:00,2013-08-19 00:00:00+00:00,35.385349999999995,34.45267857142857,-1.0,-0.005,2,SL,False
CXO,S3,long,RISK_ON,5,2013-08-15 00:00:00+00:00,2013-10-09 00:00:00+00:00,93.65356,107.45,4.307682941861991,0.021538414709309953,38,EMA_TRAIL,True
XEC,S3,long,RISK_ON,5,2013-08-15 00:00:00+00:00,2013-11-01 00:00:00+00:00,79.24916999999999,102.92,10.733136657403328,0.053665683287016645,55,EMA_TRAIL,True
RHI,S3,long,RISK_ON,5,2013-08-15 00:00:00+00:00,2013-08-21 00:00:00+00:00,37.717679999999994,37.25678571428571,-1.0,-0.005,4,SL,False
LLY,S3,long,RISK_ON,5,2013-08-15 00:00:00+00:00,2013-08-16 00:00:00+00:00,53.443389999999994,52.81887857142857,-1.0,-0.005,1,SL,False
DVN,S3,long,RISK_ON,5,2013-08-15 00:00:00+00:00,2013-08-19 00:00:00+00:00,58.078019999999995,56.86363571428571,-1.0,-0.005,2,SL,False
SYMC,S3,long,RISK_ON,5,2013-08-15 00:00:00+00:00,2013-08-20 00:00:00+00:00,26.46644,26.07275,-1.0,-0.005,3,SL,False
RMD,S3,long,RISK_ON,5,2013-08-15 00:00:00+00:00,2013-08-30 00:00:00+00:00,48.77872999999999,47.51927142857143,-1.0,-0.005,11,SL,False
AES,S3,long,RISK_ON,5,2013-08-15 00:00:00+00:00,2013-08-16 00:00:00+00:00,12.822809999999999,12.61375,-1.0,-0.005,1,SL,False
ANSS,S3,long,RISK_ON,5,2013-08-15 00:00:00+00:00,2013-08-20 00:00:00+00:00,86.61653,85.28892857142857,-1.0,-0.005,3,SL,False
CTXS,S3,long,RISK_ON,5,2013-08-15 00:00:00+00:00,2013-08-19 00:00:00+00:00,72.64256999999999,71.41502857142858,-1.0,-0.005,2,SL,False
XYL,S3,long,RISK_ON,5,2013-09-24 00:00:00+00:00,2013-10-08 00:00:00+00:00,27.387359999999997,27.4,0.3596815658748072,0.0017984078293740362,10,EMA_TRAIL,True
SHW,S3,long,RISK_ON,5,2013-09-24 00:00:00+00:00,2013-10-08 00:00:00+00:00,180.17999999999998,180.17999999999998,0.4949870813811211,0.0024749354069056053,10,STOP_AFTER_TP1,True
INTC,S3,long,RISK_ON,5,2013-09-25 00:00:00+00:00,2013-09-26 00:00:00+00:00,23.723699999999997,23.40358571428571,-1.0,-0.005,1,SL,False
MON,S3,long,RISK_ON,5,2013-09-25 00:00:00+00:00,2013-09-30 00:00:00+00:00,105.39528999999999,104.25603928571428,-1.0,-0.005,3,SL,False
EXPE,S3,long,RISK_ON,5,2013-09-26 00:00:00+00:00,2013-10-03 00:00:00+00:00,52.072019999999995,52.072019999999995,0.3986965578690448,0.001993482789345224,5,STOP_AFTER_TP1,True
FAST,S3,long,RISK_ON,5,2013-09-26 00:00:00+00:00,2013-10-08 00:00:00+00:00,49.91986999999999,49.91986999999999,0.5723058992642244,0.002861529496321122,8,STOP_AFTER_TP1,True
