instrument,variant,side,entry_ts,r,bars_held,reason
AUDCAD,M1_fix2R,long,2013-03-27 09:00:00+00:00,-1.0,4,SL
AUDCAD,M2_fix3R,long,2013-03-27 09:00:00+00:00,-1.0,4,SL
AUDCAD,M3_partial,long,2013-03-27 09:00:00+00:00,-1.0,4,SL
AUDCAD,M4_chandelier,long,2013-03-27 09:00:00+00:00,-1.0,4,SL
AUDCAD,M5_mp1,long,2013-03-27 09:00:00+00:00,-1.0,4,SL
AUDCAD,M6_time10,long,2013-03-27 09:00:00+00:00,-1.0,4,SL
AUDCAD,M1_fix2R,long,2013-04-15 01:00:00+00:00,-1.0,4,SL
AUDCAD,M2_fix3R,long,2013-04-15 01:00:00+00:00,-1.0,4,SL
AUDCAD,M3_partial,long,2013-04-15 01:00:00+00:00,-1.0,4,SL
AUDCAD,M4_chandelier,long,2013-04-15 01:00:00+00:00,-1.0,4,SL
AUDCAD,M5_mp1,long,2013-04-15 01:00:00+00:00,-1.0,4,SL
AUDCAD,M6_time10,long,2013-04-15 01:00:00+00:00,-1.0,4,SL
AUDCAD,M1_fix2R,short,2013-05-17 13:00:00+00:00,-1.0,10,SL
AUDCAD,M2_fix3R,short,2013-05-17 13:00:00+00:00,-1.0,10,SL
AUDCAD,M3_partial,short,2013-05-17 13:00:00+00:00,0.5,2,STOP_MOVED
AUDCAD,M4_chandelier,short,2013-05-17 13:00:00+00:00,0.0,2,STOP_MOVED
AUDCAD,M5_mp1,short,2013-05-17 13:00:00+00:00,-1.0,10,SL
AUDCAD,M6_time10,short,2013-05-17 13:00:00+00:00,-1.0,10,SL
AUDCAD,M1_fix2R,short,2013-06-03 09:00:00+00:00,-1.0,1,SL
AUDCAD,M2_fix3R,short,2013-06-03 09:00:00+00:00,-1.0,1,SL
AUDCAD,M3_partial,short,2013-06-03 09:00:00+00:00,-1.0,1,SL
AUDCAD,M4_chandelier,short,2013-06-03 09:00:00+00:00,-1.0,1,SL
AUDCAD,M5_mp1,short,2013-06-03 09:00:00+00:00,-1.0,1,SL
AUDCAD,M6_time10,short,2013-06-03 09:00:00+00:00,-1.0,1,SL
AUDCAD,M1_fix2R,short,2013-07-01 13:00:00+00:00,2.0,9,TP
AUDCAD,M2_fix3R,short,2013-07-01 13:00:00+00:00,3.0,10,TP
AUDCAD,M3_partial,short,2013-07-01 13:00:00+00:00,0.5,5,STOP_MOVED
AUDCAD,M4_chandelier,short,2013-07-01 13:00:00+00:00,0.0,5,STOP_MOVED
AUDCAD,M5_mp1,short,2013-07-01 13:00:00+00:00,1.541213937804401,17,EMA_TRAIL
AUDCAD,M6_time10,short,2013-07-01 13:00:00+00:00,2.0,9,TP
AUDCAD,M1_fix2R,short,2013-07-15 17:00:00+00:00,-1.0,2,SL
AUDCAD,M2_fix3R,short,2013-07-15 17:00:00+00:00,-1.0,2,SL
AUDCAD,M3_partial,short,2013-07-15 17:00:00+00:00,-1.0,2,SL
AUDCAD,M4_chandelier,short,2013-07-15 17:00:00+00:00,-1.0,2,SL
AUDCAD,M5_mp1,short,2013-07-15 17:00:00+00:00,-1.0,2,SL
AUDCAD,M6_time10,short,2013-07-15 17:00:00+00:00,-1.0,2,SL
AUDCAD,M1_fix2R,short,2013-08-06 01:00:00+00:00,-1.0,2,SL
AUDCAD,M2_fix3R,short,2013-08-06 01:00:00+00:00,-1.0,2,SL
AUDCAD,M3_partial,short,2013-08-06 01:00:00+00:00,-1.0,2,SL
AUDCAD,M4_chandelier,short,2013-08-06 01:00:00+00:00,-1.0,2,SL
AUDCAD,M5_mp1,short,2013-08-06 01:00:00+00:00,-1.0,2,SL
AUDCAD,M6_time10,short,2013-08-06 01:00:00+00:00,-1.0,2,SL
AUDCAD,M1_fix2R,short,2013-08-29 01:00:00+00:00,-1.0,13,SL
AUDCAD,M2_fix3R,short,2013-08-29 01:00:00+00:00,-1.0,13,SL
AUDCAD,M3_partial,short,2013-08-29 01:00:00+00:00,0.5,11,STOP_MOVED
AUDCAD,M4_chandelier,short,2013-08-29 01:00:00+00:00,0.0,11,STOP_MOVED
AUDCAD,M5_mp1,short,2013-08-29 01:00:00+00:00,-1.0,13,SL
AUDCAD,M6_time10,short,2013-08-29 01:00:00+00:00,-1.0,13,SL
AUDCAD,M1_fix2R,long,2013-09-25 05:00:00+00:00,2.0,6,TP
AUDCAD,M2_fix3R,long,2013-09-25 05:00:00+00:00,-1.0,13,SL
AUDCAD,M3_partial,long,2013-09-25 05:00:00+00:00,0.5,8,STOP_MOVED
AUDCAD,M4_chandelier,long,2013-09-25 05:00:00+00:00,0.0,8,STOP_MOVED
AUDCAD,M5_mp1,long,2013-09-25 05:00:00+00:00,1.1016586211164774,7,EMA_TRAIL
AUDCAD,M6_time10,long,2013-09-25 05:00:00+00:00,2.0,6,TP
AUDCAD,M1_fix2R,long,2014-02-23 22:00:00+00:00,-1.0,20,SL
AUDCAD,M2_fix3R,long,2014-02-23 22:00:00+00:00,-1.0,20,SL
AUDCAD,M3_partial,long,2014-02-23 22:00:00+00:00,0.5,12,STOP_MOVED
AUDCAD,M4_chandelier,long,2014-02-23 22:00:00+00:00,0.0,12,STOP_MOVED
AUDCAD,M5_mp1,long,2014-02-23 22:00:00+00:00,-1.0,20,SL
AUDCAD,M6_time10,long,2014-02-23 22:00:00+00:00,-1.0,20,SL
AUDCAD,M1_fix2R,long,2014-03-11 13:00:00+00:00,-1.0,1,SL
AUDCAD,M2_fix3R,long,2014-03-11 13:00:00+00:00,-1.0,1,SL
AUDCAD,M3_partial,long,2014-03-11 13:00:00+00:00,-1.0,1,SL
AUDCAD,M4_chandelier,long,2014-03-11 13:00:00+00:00,-1.0,1,SL
AUDCAD,M5_mp1,long,2014-03-11 13:00:00+00:00,-1.0,1,SL
AUDCAD,M6_time10,long,2014-03-11 13:00:00+00:00,-1.0,1,SL
AUDCAD,M1_fix2R,long,2014-03-26 17:00:00+00:00,-1.0,6,SL
AUDCAD,M2_fix3R,long,2014-03-26 17:00:00+00:00,-1.0,6,SL
AUDCAD,M3_partial,long,2014-03-26 17:00:00+00:00,-1.0,6,SL
AUDCAD,M4_chandelier,long,2014-03-26 17:00:00+00:00,-1.0,6,SL
AUDCAD,M5_mp1,long,2014-03-26 17:00:00+00:00,-1.0,6,SL
AUDCAD,M6_time10,long,2014-03-26 17:00:00+00:00,-1.0,6,SL
AUDCAD,M1_fix2R,long,2014-04-24 09:00:00+00:00,-1.0,15,SL
