instrument,variant,side,entry_ts,r,bars_held,reason
A,M1_fix2R,long,2013-09-19 00:00:00+00:00,2.0,63,TP
A,M2_fix3R,long,2013-09-19 00:00:00+00:00,3.0,85,TP
A,M3_partial,long,2013-09-19 00:00:00+00:00,2.0,85,TP
A,M4_chandelier,long,2013-09-19 00:00:00+00:00,2.3066607855235333,87,STOP_MOVED
A,M5_mp1,long,2013-09-19 00:00:00+00:00,1.8862569615063869,87,EMA_TRAIL
A,M6_time10,long,2013-09-19 00:00:00+00:00,0.008823452122437627,10,TIME
A,M1_fix2R,long,2017-03-15 00:00:00+00:00,2.0,52,TP
A,M2_fix3R,long,2017-03-15 00:00:00+00:00,3.0,112,TP
A,M3_partial,long,2017-03-15 00:00:00+00:00,2.0,112,TP
A,M4_chandelier,long,2017-03-15 00:00:00+00:00,0.656612469534505,44,STOP_MOVED
A,M5_mp1,long,2017-03-15 00:00:00+00:00,1.6060409064854855,71,EMA_TRAIL
A,M6_time10,long,2017-03-15 00:00:00+00:00,-0.33733171161347053,10,TIME
AAP,M1_fix2R,long,2014-11-05 00:00:00+00:00,-1.0,1,SL
AAP,M2_fix3R,long,2014-11-05 00:00:00+00:00,-1.0,1,SL
AAP,M3_partial,long,2014-11-05 00:00:00+00:00,-1.0,1,SL
AAP,M4_chandelier,long,2014-11-05 00:00:00+00:00,-1.0,1,SL
AAP,M5_mp1,long,2014-11-05 00:00:00+00:00,-1.0,1,SL
AAP,M6_time10,long,2014-11-05 00:00:00+00:00,-1.0,1,SL
AAPL,M1_fix2R,long,2016-10-25 00:00:00+00:00,-1.0,1,SL
AAPL,M2_fix3R,long,2016-10-25 00:00:00+00:00,-1.0,1,SL
AAPL,M3_partial,long,2016-10-25 00:00:00+00:00,-1.0,1,SL
AAPL,M4_chandelier,long,2016-10-25 00:00:00+00:00,-1.0,1,SL
AAPL,M5_mp1,long,2016-10-25 00:00:00+00:00,-1.0,1,SL
AAPL,M6_time10,long,2016-10-25 00:00:00+00:00,-1.0,1,SL
AAPL,M1_fix2R,long,2017-05-01 00:00:00+00:00,2.0,9,TP
AAPL,M2_fix3R,long,2017-05-01 00:00:00+00:00,-1.0,32,SL
AAPL,M3_partial,long,2017-05-01 00:00:00+00:00,0.5,28,STOP_MOVED
AAPL,M4_chandelier,long,2017-05-01 00:00:00+00:00,0.8318313016775545,12,STOP_MOVED
AAPL,M5_mp1,long,2017-05-01 00:00:00+00:00,0.5,28,STOP_MOVED
AAPL,M6_time10,long,2017-05-01 00:00:00+00:00,2.0,9,TP
ABBV,M1_fix2R,long,2018-01-26 00:00:00+00:00,-1.0,7,SL
ABBV,M2_fix3R,long,2018-01-26 00:00:00+00:00,-1.0,7,SL
ABBV,M3_partial,long,2018-01-26 00:00:00+00:00,-1.0,7,SL
ABBV,M4_chandelier,long,2018-01-26 00:00:00+00:00,-1.0,7,SL
ABBV,M5_mp1,long,2018-01-26 00:00:00+00:00,-1.0,7,SL
ABBV,M6_time10,long,2018-01-26 00:00:00+00:00,-1.0,7,SL
ABT,M1_fix2R,long,2015-07-22 00:00:00+00:00,-1.0,21,SL
ABT,M2_fix3R,long,2015-07-22 00:00:00+00:00,-1.0,21,SL
ABT,M3_partial,long,2015-07-22 00:00:00+00:00,-1.0,21,SL
ABT,M4_chandelier,long,2015-07-22 00:00:00+00:00,-1.0,21,SL
ABT,M5_mp1,long,2015-07-22 00:00:00+00:00,-1.0,21,SL
ABT,M6_time10,long,2015-07-22 00:00:00+00:00,-0.27508552603190123,10,TIME
ABT,M1_fix2R,long,2018-01-02 00:00:00+00:00,2.0,15,TP
ABT,M2_fix3R,long,2018-01-02 00:00:00+00:00,-0.08151906467989949,25,EOS
ABT,M3_partial,long,2018-01-02 00:00:00+00:00,0.5,23,STOP_MOVED
ABT,M4_chandelier,long,2018-01-02 00:00:00+00:00,1.0643776740168867,23,STOP_MOVED
ABT,M5_mp1,long,2018-01-02 00:00:00+00:00,0.5,23,STOP_MOVED
ABT,M6_time10,long,2018-01-02 00:00:00+00:00,0.06438451324710422,10,TIME
ACN,M1_fix2R,long,2015-11-16 00:00:00+00:00,-1.0,23,SL
ACN,M2_fix3R,long,2015-11-16 00:00:00+00:00,-1.0,23,SL
ACN,M3_partial,long,2015-11-16 00:00:00+00:00,-1.0,23,SL
ACN,M4_chandelier,long,2015-11-16 00:00:00+00:00,-1.0,23,SL
ACN,M5_mp1,long,2015-11-16 00:00:00+00:00,-1.0,23,SL
ACN,M6_time10,long,2015-11-16 00:00:00+00:00,0.4129634770650583,10,TIME
ADI,M1_fix2R,long,2015-05-20 00:00:00+00:00,-1.0,32,SL
ADI,M2_fix3R,long,2015-05-20 00:00:00+00:00,-1.0,32,SL
