n,win_rate,avg_r,pf,sum_r,avg_hold_d,cell
6486,0.467,0.377,1.72,2446.9,60.1,B1|extON|TP2R|secALL
3237,0.482,0.414,1.81,1341.2,57.2,B1|extON|TP2R|secTOP5
4925,0.412,0.543,1.94,2673.6,86.6,B1|extON|TP3R|secALL
2610,0.428,0.613,2.09,1599.7,82.6,B1|extON|TP3R|secTOP5
7079,0.464,0.367,1.69,2594.5,60.5,B1|extOFF|TP2R|secALL
3803,0.468,0.374,1.71,1420.7,56.5,B1|extOFF|TP2R|secTOP5
5263,0.414,0.539,1.93,2835.4,85.8,B1|extOFF|TP3R|secALL
2944,0.421,0.564,1.99,1659.2,82.4,B1|extOFF|TP3R|secTOP5
6453,0.356,0.067,1.1,434.1,6.3,B2_50|SLexact|TP2R|secALL
2105,0.357,0.072,1.11,151.0,6.4,B2_50|SLexact|TP2R|secTOP5
6095,0.286,0.142,1.2,867.6,9.4,B2_50|SLexact|TP3R|secALL
2015,0.286,0.144,1.2,290.4,9.8,B2_50|SLexact|TP3R|secTOP5
5928,0.354,0.062,1.1,366.4,8.7,B2_50|SLbuf.25|TP2R|secALL
1972,0.355,0.065,1.1,128.7,8.7,B2_50|SLbuf.25|TP2R|secTOP5
5512,0.284,0.133,1.19,735.3,13.4,B2_50|SLbuf.25|TP3R|secALL
1876,0.284,0.13,1.18,244.8,13.6,B2_50|SLbuf.25|TP3R|secTOP5
3203,0.348,0.044,1.07,142.0,6.8,B2_200|SLexact|TP2R|secALL
965,0.352,0.057,1.09,55.0,6.9,B2_200|SLexact|TP2R|secTOP5
3132,0.284,0.136,1.19,424.8,10.2,B2_200|SLexact|TP3R|secALL
949,0.287,0.142,1.2,134.6,10.7,B2_200|SLexact|TP3R|secTOP5
2944,0.355,0.065,1.1,191.0,9.4,B2_200|SLbuf.25|TP2R|secALL
907,0.352,0.055,1.09,50.0,9.4,B2_200|SLbuf.25|TP2R|secTOP5
2847,0.281,0.118,1.16,336.5,14.4,B2_200|SLbuf.25|TP3R|secALL
885,0.266,0.054,1.07,47.9,14.4,B2_200|SLbuf.25|TP3R|secTOP5
