instrument,ts,side,fcode,r,bars,reason,klass
USDCHF,2013-05-23 00:00:00+00:00,long,1,-1.0137496819787986,1,SL,fx_major
NZDUSD,2013-05-23 00:00:00+00:00,short,3,2.4872093926216863,12,TP,fx_major
AUDUSD,2013-05-23 00:00:00+00:00,short,4,2.4902293706293706,16,TP,fx_major
EURCHF,2013-05-23 00:00:00+00:00,long,1,-1.0270171605176746,0,SAME_BAR_SL,fx_cross
USDCAD,2013-05-23 00:00:00+00:00,long,1,-1.0143732402791623,13,SL,fx_major
AUDCHF,2013-05-28 00:00:00+00:00,short,4,2.492969916427091,8,TP,fx_cross
EURCHF,2013-05-28 00:00:00+00:00,short,3,2.4881893351287663,236,TP,fx_cross
AUDJPY,2013-05-28 00:00:00+00:00,short,4,2.4943270312579937,8,TP,fx_cross
CADCHF,2013-05-28 00:00:00+00:00,short,3,2.490475437675387,8,TP,fx_cross
GBPCHF,2013-05-28 00:00:00+00:00,short,4,2.4822143709468225,12,TP,fx_cross
USDCHF,2013-05-29 00:00:00+00:00,long,2,-1.0441637720377197,1,SL,fx_major
GBPUSD,2013-05-30 00:00:00+00:00,short,3,-1.0159700893781165,3,SL,fx_major
AUDNZD,2013-05-31 00:00:00+00:00,long,2,-1.0127225150042867,16,SL,fx_cross
GBPAUD,2013-06-03 00:00:00+00:00,long,1,2.4893618906372463,3,TP,fx_cross
CL,2013-06-03 00:00:00+00:00,short,4,-1.007148201438849,1,SL,commodities
NQ,2013-06-04 00:00:00+00:00,short,3,2.4950292227979274,14,TP,indices
NZDCAD,2013-06-06 00:00:00+00:00,short,4,-1.0077645600740928,61,SL,fx_cross
EURCAD,2013-06-07 00:00:00+00:00,long,1,2.48544938547486,14,TP,fx_cross
YM,2013-06-07 00:00:00+00:00,short,4,2.49469649122807,14,TP,indices
CADJPY,2013-06-10 00:00:00+00:00,short,4,2.4849082654768546,1,TP,fx_cross
EURNZD,2013-06-12 00:00:00+00:00,long,1,2.488147679734389,7,TP,fx_cross
AUDJPY,2013-06-12 00:00:00+00:00,short,4,2.4922295850529,42,TP,fx_cross
AUDCAD,2013-06-13 00:00:00+00:00,short,4,2.4846064385866518,5,TP,fx_cross
AUDCHF,2013-06-14 00:00:00+00:00,long,2,-1.0051969598992232,4,SL,fx_cross
NZDCHF,2013-06-17 00:00:00+00:00,long,2,-1.0046856066280785,61,SL,fx_cross
EURAUD,2013-06-18 00:00:00+00:00,short,3,-1.0083889833128965,1,SL,fx_cross
USDCAD,2013-06-19 00:00:00+00:00,short,3,-1.0108256129457145,2,SL,fx_major
EURGBP,2013-06-21 00:00:00+00:00,long,2,2.4722678615071283,11,TP,fx_cross
EURUSD,2013-06-24 00:00:00+00:00,long,1,-1.0115927399319564,8,SL,fx_major
GBPCHF,2013-06-25 00:00:00+00:00,short,3,2.4831216921954775,30,TP,fx_cross
EURAUD,2013-06-26 00:00:00+00:00,long,2,2.4902355175641104,14,TP,fx_cross
USDCHF,2013-06-26 00:00:00+00:00,short,4,-1.0054981659206828,11,SL,fx_major
GBPNZD,2013-06-26 00:00:00+00:00,long,1,-1.010940484408415,7,SL,fx_cross
AUDCHF,2013-06-27 00:00:00+00:00,short,3,-1.0100841769694493,10,SL,fx_cross
GBPUSD,2013-06-27 00:00:00+00:00,long,1,-1.0203024169543993,6,SL,fx_major
EURCAD,2013-06-28 00:00:00+00:00,short,3,-1.0155791523017643,34,SL,fx_cross
EURUSD,2013-07-04 00:00:00+00:00,long,1,-1.0151699654414073,1,SL,fx_major
NZDUSD,2013-07-08 00:00:00+00:00,short,4,-1.007650353646706,2,SL,fx_major
CADCHF,2013-07-09 00:00:00+00:00,short,3,-1.0127648904382471,0,SAME_BAR_SL,fx_cross
USDCHF,2013-07-10 00:00:00+00:00,long,1,-1.039117337192475,0,SAME_BAR_SL,fx_major
YM,2013-07-10 00:00:00+00:00,short,3,-1.0048395256916995,12,SL,indices
CADCHF,2013-07-10 00:00:00+00:00,long,1,-1.0167249305214976,5,SL,fx_cross
ES,2013-07-10 00:00:00+00:00,short,3,-1.0044243186582809,4,SL,indices
EURUSD,2013-07-10 00:00:00+00:00,short,4,-1.0214515822130292,0,SAME_BAR_SL,fx_major
GBPCAD,2013-07-10 00:00:00+00:00,short,4,-1.0219103307634916,6,SL,fx_cross
GBPNZD,2013-07-11 00:00:00+00:00,short,4,-1.0072867045682563,35,SL,fx_cross
GBPAUD,2013-07-11 00:00:00+00:00,short,3,-1.0052343614920152,17,SL,fx_cross
EURGBP,2013-07-11 00:00:00+00:00,long,1,2.4793290239726025,17,TP,fx_cross
EURNZD,2013-07-11 00:00:00+00:00,short,4,-1.0149067920618475,19,SL,fx_cross
AUDCAD,2013-07-16 00:00:00+00:00,short,3,2.48778955969133,12,TP,fx_cross
AUDUSD,2013-07-17 00:00:00+00:00,long,1,-1.0045503791448325,12,SL,fx_major
NZDUSD,2013-07-19 00:00:00+00:00,short,4,-1.0112847712913826,5,SL,fx_major
NZDJPY,2013-07-19 00:00:00+00:00,short,4,2.4914371075093507,14,TP,fx_cross
CL,2013-07-23 00:00:00+00:00,long,1,-1.0039045871559633,2,SL,commodities
USDCAD,2013-07-23 00:00:00+00:00,long,1,2.4893507305344924,111,TP,fx_major
GBPUSD,2013-07-23 00:00:00+00:00,short,4,2.4802648408518437,8,TP,fx_major
GBPCAD,2013-07-24 00:00:00+00:00,long,1,-1.0182249287337328,6,SL,fx_cross
EURAUD,2013-07-25 00:00:00+00:00,long,2,2.4889838484765305,5,TP,fx_cross
CL,2013-07-26 00:00:00+00:00,long,1,2.4963911496746203,27,TP,commodities
AUDCHF,2013-07-26 00:00:00+00:00,short,3,2.4884935572228177,4,TP,fx_cross
CADJPY,2013-07-26 00:00:00+00:00,long,0,-1.0173643481074082,3,SL,fx_cross
EURUSD,2013-07-31 00:00:00+00:00,short,3,-1.0176947790022512,17,SL,fx_major
USDCHF,2013-08-02 00:00:00+00:00,long,1,-1.0122451930977814,5,SL,fx_major
EURJPY,2013-08-02 00:00:00+00:00,short,3,2.4760909397278033,3,TP,fx_cross
AUDNZD,2013-08-04 00:00:00+00:00,short,4,-1.0315414802065401,0,SAME_BAR_SL,fx_cross
USDJPY,2013-08-05 00:00:00+00:00,long,2,-1.0227455787947812,1,SL,fx_major
GBPCHF,2013-08-05 00:00:00+00:00,short,4,-1.0333656928213706,2,SL,fx_cross
NQ,2013-08-07 00:00:00+00:00,long,1,-1.011589239766082,7,SL,indices
NZDUSD,2013-08-07 00:00:00+00:00,short,4,-1.0181952039151714,1,SL,fx_major
ES,2013-08-07 00:00:00+00:00,long,1,-1.0085803174603174,7,SL,indices
AUDNZD,2013-08-07 00:00:00+00:00,long,2,2.4801534315261673,13,TP,fx_cross
EURGBP,2013-08-07 00:00:00+00:00,short,4,-1.0636698362802877,0,SAME_BAR_SL,fx_cross
GBPCAD,2013-08-07 00:00:00+00:00,short,4,-1.012724209927464,0,SAME_BAR_SL,fx_cross
EURNZD,2013-08-07 00:00:00+00:00,long,1,-1.0128788062164764,4,SL,fx_cross
CADCHF,2013-08-08 00:00:00+00:00,short,4,-1.0151541764080767,3,SL,fx_cross
GBPAUD,2013-08-09 00:00:00+00:00,long,1,2.482534725983237,9,TP,fx_cross
GBPJPY,2013-08-13 00:00:00+00:00,short,3,-1.0658657542768244,0,SAME_BAR_SL,fx_cross
CADJPY,2013-08-15 00:00:00+00:00,short,4,2.4315213872832375,1,TP,fx_cross
EURCAD,2013-08-15 00:00:00+00:00,long,1,2.478349966063349,4,TP,fx_cross
USDCHF,2013-08-16 00:00:00+00:00,long,2,-1.0185304893350067,3,SL,fx_major
GBPCAD,2013-08-20 00:00:00+00:00,short,3,-1.0354407184693475,0,SAME_BAR_SL,fx_cross
AUDCHF,2013-08-20 00:00:00+00:00,long,2,-1.0074881965382467,6,SL,fx_cross
NZDUSD,2013-08-20 00:00:00+00:00,long,2,-1.018535257048093,1,SL,fx_major
EURAUD,2013-08-20 00:00:00+00:00,short,3,-1.0079214981706144,6,SL,fx_cross
EURNZD,2013-08-20 00:00:00+00:00,short,4,-1.0177907527293624,0,SAME_BAR_SL,fx_cross
CADJPY,2013-08-20 00:00:00+00:00,long,1,-1.0153604918032784,6,SL,fx_cross
CHFJPY,2013-08-20 00:00:00+00:00,short,3,-1.0199011922304086,2,SL,fx_cross
NZDCAD,2013-08-20 00:00:00+00:00,long,1,-1.014394531614106,3,SL,fx_cross
AUDUSD,2013-08-20 00:00:00+00:00,long,1,-1.0092284770508257,7,SL,fx_major
YM,2013-08-22 00:00:00+00:00,short,4,-1.008297816291161,16,SL,indices
USDJPY,2013-08-22 00:00:00+00:00,short,3,-1.0108537094720345,12,SL,fx_major
AUDNZD,2013-08-23 00:00:00+00:00,short,4,2.4834389056507287,22,TP,fx_cross
AUDCAD,2013-08-27 00:00:00+00:00,long,2,-1.014721160066927,1,SL,fx_cross
NQ,2013-08-27 00:00:00+00:00,long,2,2.491736352201258,11,TP,indices
EURJPY,2013-08-27 00:00:00+00:00,long,1,2.490279957537155,72,TP,fx_cross
CHFJPY,2013-08-27 00:00:00+00:00,long,2,2.4903036766623208,72,TP,fx_cross
GBPCHF,2013-08-27 00:00:00+00:00,long,1,-1.0330310067943176,0,SAME_BAR_SL,fx_cross
GBPCAD,2013-08-28 00:00:00+00:00,long,1,2.482084921496988,18,TP,fx_cross
NZDJPY,2013-08-29 00:00:00+00:00,short,3,-1.0084480535327691,3,SL,fx_cross
CL,2013-08-29 00:00:00+00:00,long,1,-1.0025983902809414,21,SL,commodities
USDCHF,2013-08-30 00:00:00+00:00,short,3,-1.014660460415497,5,SL,fx_major
CADJPY,2013-09-02 00:00:00+00:00,short,3,-1.0511315119105489,0,SAME_BAR_SL,fx_cross
AUDJPY,2013-09-02 00:00:00+00:00,short,3,-1.0170486773206386,1,SL,fx_cross
AUDCHF,2013-09-03 00:00:00+00:00,short,4,-1.0112355102524595,1,SL,fx_cross
NZDCAD,2013-09-03 00:00:00+00:00,long,1,2.4886475240681314,10,TP,fx_cross
EURGBP,2013-09-03 00:00:00+00:00,long,1,-1.038050112359551,1,SL,fx_cross
EURCAD,2013-09-04 00:00:00+00:00,long,1,-1.0242280288310868,2,SL,fx_cross
GBPAUD,2013-09-04 00:00:00+00:00,long,1,-1.011349581086686,5,SL,fx_cross
AUDCHF,2013-09-05 00:00:00+00:00,short,3,-1.0115064427771823,34,SL,fx_cross
EURUSD,2013-09-06 00:00:00+00:00,short,4,-1.0245824970828474,2,SL,fx_major
USDCHF,2013-09-06 00:00:00+00:00,long,1,-1.019816849263317,4,SL,fx_major
EURNZD,2013-09-06 00:00:00+00:00,long,2,-1.0077099995844934,6,SL,fx_cross
NZDJPY,2013-09-17 00:00:00+00:00,short,3,-1.0072014714667505,2,SL,fx_cross
NQ,2013-09-17 00:00:00+00:00,short,3,-1.0050104433497538,1,SL,indices
USDJPY,2013-09-19 00:00:00+00:00,short,4,-1.0190988608905764,0,SAME_BAR_SL,fx_major
GBPCAD,2013-09-19 00:00:00+00:00,long,1,2.481464518727346,10,TP,fx_cross
EURCAD,2013-09-19 00:00:00+00:00,short,4,-1.0162812266330603,2,SL,fx_cross
CADJPY,2013-09-22 00:00:00+00:00,long,2,-1.016478215976783,3,SL,fx_cross
GBPJPY,2013-09-24 00:00:00+00:00,long,1,-1.0233383623877446,8,SL,fx_cross
AUDUSD,2013-09-25 00:00:00+00:00,long,1,2.482390807537012,16,TP,fx_major
NZDJPY,2013-09-25 00:00:00+00:00,long,1,-1.0203845277092214,6,SL,fx_cross
NZDUSD,2013-09-25 00:00:00+00:00,long,1,2.4859284596577016,18,TP,fx_major
EURGBP,2013-09-26 00:00:00+00:00,long,2,-1.0207105063848525,2,SL,fx_cross
EURAUD,2013-09-27 00:00:00+00:00,short,4,2.4891047669987296,35,TP,fx_cross
AUDCAD,2013-09-27 00:00:00+00:00,long,2,2.481267382317179,10,TP,fx_cross
