instrument,ts,side,fcode,r,bars,reason,klass
NZDUSD,2013-01-30 02:00:00+00:00,long,1,-1.0216791489361698,3,SL,fx_major
USDJPY,2013-01-30 10:00:00+00:00,long,1,-1.0653777549711319,4,SL,fx_major
EURGBP,2013-01-31 06:00:00+00:00,long,1,2.47565633688483,8,TP,fx_cross
GBPAUD,2013-01-31 10:00:00+00:00,long,1,2.4537888060919237,4,TP,fx_cross
YM,2013-01-31 11:00:00+00:00,short,4,2.4650267716535432,2,TP,indices
CL,2013-01-31 15:00:00+00:00,short,3,-1.0150910144927536,6,SL,commodities
NQ,2013-01-31 15:00:00+00:00,long,1,-1.0072233264887063,12,SL,indices
ES,2013-01-31 15:00:00+00:00,long,2,2.475143896103896,6,TP,indices
EURCAD,2013-01-31 18:00:00+00:00,long,2,2.448327203274213,3,TP,fx_cross
GBPUSD,2013-02-01 06:00:00+00:00,long,1,-1.0292730549595646,2,SL,fx_major
EURNZD,2013-02-01 10:00:00+00:00,long,2,-1.0244238265786993,1,SL,fx_cross
NZDCHF,2013-02-01 10:00:00+00:00,short,3,-1.0175850607370807,3,SL,fx_cross
GBPJPY,2013-02-01 10:00:00+00:00,long,1,-1.041056515609265,1,SL,fx_cross
GBPCAD,2013-02-01 10:00:00+00:00,long,2,-1.0694301060070663,1,SL,fx_cross
EURAUD,2013-02-01 14:00:00+00:00,long,1,-1.049870074779062,0,SAME_BAR_SL,fx_cross
EURUSD,2013-02-01 14:00:00+00:00,long,1,-1.0959996475770888,0,SAME_BAR_SL,fx_major
AUDCAD,2013-02-01 14:00:00+00:00,long,2,-1.017864918032787,14,SL,fx_cross
EURCAD,2013-02-01 14:00:00+00:00,long,1,-1.0738227740058224,4,SL,fx_cross
CADCHF,2013-02-01 18:00:00+00:00,short,3,-1.03660736275565,4,SL,fx_cross
USDCHF,2013-02-03 22:00:00+00:00,short,3,-1.028833255879852,14,SL,fx_major
GBPAUD,2013-02-03 22:00:00+00:00,long,2,2.463030548005262,14,TP,fx_cross
AUDCHF,2013-02-03 22:00:00+00:00,short,3,-1.0178700185591363,50,SL,fx_cross
EURUSD,2013-02-04 06:00:00+00:00,long,1,-1.1001732718893977,1,SL,fx_major
GBPCHF,2013-02-04 06:00:00+00:00,short,4,-1.0456297949886115,6,SL,fx_cross
EURGBP,2013-02-04 06:00:00+00:00,long,1,-1.0287545945945946,2,SL,fx_cross
CL,2013-02-04 07:00:00+00:00,long,2,-1.0080446511627907,1,SL,commodities
EURCAD,2013-02-04 10:00:00+00:00,long,2,-1.051672796725787,2,SL,fx_cross
EURAUD,2013-02-04 10:00:00+00:00,long,2,-1.0388905970149265,0,SAME_BAR_SL,fx_cross
GBPJPY,2013-02-04 10:00:00+00:00,long,2,-1.0163882551143202,48,SL,fx_cross
USDJPY,2013-02-04 10:00:00+00:00,long,1,-1.0348886203423964,2,SL,fx_major
NZDCHF,2013-02-04 10:00:00+00:00,short,4,2.4665535553834244,15,TP,fx_cross
CADJPY,2013-02-04 10:00:00+00:00,long,2,-1.0704799999999957,1,SL,fx_cross
YM,2013-02-04 11:00:00+00:00,long,2,-1.0098322123893806,91,SL,indices
EURUSD,2013-02-04 14:00:00+00:00,long,1,-1.082920415527609,1,SL,fx_major
CADJPY,2013-02-04 18:00:00+00:00,long,1,2.4820531021328245,7,TP,fx_cross
EURGBP,2013-02-04 18:00:00+00:00,long,1,-1.1115452436194944,0,SAME_BAR_SL,fx_cross
EURUSD,2013-02-04 22:00:00+00:00,long,1,-1.1072612633073005,2,SL,fx_major
USDJPY,2013-02-04 22:00:00+00:00,long,1,2.476702787550744,5,TP,fx_major
NZDUSD,2013-02-05 02:00:00+00:00,long,1,-1.0181844444444443,12,SL,fx_major
AUDNZD,2013-02-05 06:00:00+00:00,long,1,-1.0480276399026769,2,SL,fx_cross
AUDJPY,2013-02-05 06:00:00+00:00,short,4,-1.0379206743940994,0,SAME_BAR_SL,fx_cross
EURCHF,2013-02-05 10:00:00+00:00,short,4,-1.0337420895522373,5,SL,fx_cross
EURJPY,2013-02-05 10:00:00+00:00,short,4,-1.025355979899498,1,SL,fx_cross
CL,2013-02-05 11:00:00+00:00,long,2,-1.0061166074950691,6,SL,commodities
ES,2013-02-05 11:00:00+00:00,short,3,-1.0100016666666667,18,SL,indices
GBPCHF,2013-02-05 14:00:00+00:00,long,2,-1.0354657554914557,0,SAME_BAR_SL,fx_cross
EURGBP,2013-02-05 14:00:00+00:00,short,4,-1.0885519781221484,0,SAME_BAR_SL,fx_cross
GBPCAD,2013-02-05 14:00:00+00:00,long,1,-1.0855200779727046,0,SAME_BAR_SL,fx_cross
NQ,2013-02-05 15:00:00+00:00,short,4,-1.015489691629956,17,SL,indices
EURCAD,2013-02-05 18:00:00+00:00,long,2,-1.0153531349929161,10,SL,fx_cross
NZDCAD,2013-02-05 22:00:00+00:00,long,2,-1.0251824672196954,5,SL,fx_cross
EURJPY,2013-02-06 10:00:00+00:00,long,1,-1.0214684844796105,7,SL,fx_cross
USDCAD,2013-02-06 14:00:00+00:00,long,2,-1.053711784511785,5,SL,fx_major
